Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Freq (Hz)	Call Type	Energy Diff	Energy Par	Energy Diff (wl)	Energy Par (wl)	AHR	Exception
1	Spectrogram 1	1	13.620000	13.880000	4000.000000	18000.000000	8000.000000	Trill	7.911816	19.754470	NaN	NaN	103.813630	0.000000
2	Spectrogram 1	1	17.890000	18.210000	4000.000000	18000.000000	8000.000000	Trill	18.001451	24.117388	NaN	NaN	145.631408	0.000000
3	Spectrogram 1	1	22.270000	22.290000	4000.000000	18000.000000	8000.000000	Trill	7.897871	11.563124	NaN	NaN	71.478315	0.000000
4	Spectrogram 1	1	22.350000	22.920000	4000.000000	18000.000000	8000.000000	Trill	9.868484	17.862456	NaN	NaN	90.935598	0.000000
5	Spectrogram 1	1	25.470000	25.490000	4000.000000	18000.000000	8000.000000	Trillphee	5.267742	9.567987	NaN	NaN	55.780059	0.000000
6	Spectrogram 1	1	31.150000	31.400000	4000.000000	18000.000000	8000.000000	Trill	14.500695	17.065994	NaN	NaN	94.082733	0.000000
7	Spectrogram 1	1	68.650000	68.980000	4000.000000	18000.000000	8000.000000	Trill	13.423578	17.119124	NaN	NaN	102.004305	0.000000
8	Spectrogram 1	1	71.940000	72.090000	4000.000000	18000.000000	8000.000000	Trill	15.332839	19.326099	NaN	NaN	142.384057	0.000000
9	Spectrogram 1	1	72.400000	72.710000	4000.000000	18000.000000	8000.000000	Phee	19.029189	21.433600	NaN	NaN	171.385870	0.000000
10	Spectrogram 1	1	80.420000	81.540000	4000.000000	18000.000000	8000.000000	Trillphee	14.006467	20.287169	NaN	NaN	136.299350	0.000000
11	Spectrogram 1	1	113.370000	113.660000	4000.000000	18000.000000	8000.000000	Trill	16.856794	24.040556	NaN	NaN	148.606856	0.000000
12	Spectrogram 1	1	115.390000	115.620000	4000.000000	18000.000000	8000.000000	Trill	12.423112	18.643077	NaN	NaN	74.161528	0.000000
13	Spectrogram 1	1	119.080000	119.420000	4000.000000	18000.000000	8000.000000	Trill	12.723928	19.134182	NaN	NaN	84.776935	0.000000
14	Spectrogram 1	1	125.790000	125.950000	4000.000000	18000.000000	8000.000000	Trill	13.996561	17.757952	NaN	NaN	117.647130	0.000000
15	Spectrogram 1	1	133.580000	133.870000	4000.000000	18000.000000	8000.000000	Trill	7.543521	14.187084	NaN	NaN	60.721565	0.000000
16	Spectrogram 1	1	194.860000	195.070000	4000.000000	18000.000000	8000.000000	Trill	9.960148	13.905613	NaN	NaN	81.838329	0.000000
17	Spectrogram 1	1	195.110000	195.140000	4000.000000	18000.000000	8000.000000	Trill	8.123135	9.910975	NaN	NaN	57.653216	0.000000
18	Spectrogram 1	1	202.570000	202.810000	4000.000000	18000.000000	8000.000000	Trill	10.927466	16.487131	NaN	NaN	85.589425	0.000000
19	Spectrogram 1	1	207.820000	207.970000	4000.000000	18000.000000	8000.000000	Trill	11.421099	17.041886	NaN	NaN	100.415974	0.000000
20	Spectrogram 1	1	210.430000	210.540000	4000.000000	18000.000000	8000.000000	Trill	13.062576	24.395321	NaN	NaN	150.546876	0.000000
21	Spectrogram 1	1	210.640000	210.870000	4000.000000	18000.000000	8000.000000	Twitter	9.122189	20.928459	NaN	NaN	82.854275	0.000000
22	Spectrogram 1	1	210.920000	211.270000	4000.000000	18000.000000	8000.000000	Twitter	8.845324	21.727148	NaN	NaN	72.568374	0.000000
23	Spectrogram 1	1	211.330000	211.400000	4000.000000	18000.000000	8000.000000	Twitter	13.677247	19.140251	NaN	NaN	115.829080	0.000000
24	Spectrogram 1	1	216.660000	217.040000	4000.000000	18000.000000	8000.000000	Trill	16.332292	22.479685	NaN	NaN	145.546272	0.000000
25	Spectrogram 1	1	223.570000	223.600000	4000.000000	18000.000000	8000.000000	Trill	10.342911	12.335666	NaN	NaN	88.340789	0.000000
26	Spectrogram 1	1	223.750000	223.830000	4000.000000	18000.000000	8000.000000	Trill	14.969752	15.485154	NaN	NaN	109.166057	0.000000
27	Spectrogram 1	1	226.530000	226.660000	4000.000000	18000.000000	8000.000000	Trill	12.038163	15.045492	NaN	NaN	105.587081	0.000000
28	Spectrogram 1	1	226.790000	226.870000	4000.000000	18000.000000	8000.000000	Phee	8.293411	11.935197	NaN	NaN	82.464204	0.000000
29	Spectrogram 1	1	226.940000	227.330000	4000.000000	18000.000000	8000.000000	Phee	9.148966	16.536860	NaN	NaN	97.566339	0.000000
30	Spectrogram 1	1	239.000000	239.090000	4000.000000	18000.000000	8000.000000	Trill	10.935682	16.605499	NaN	NaN	73.962959	0.000000
31	Spectrogram 1	1	266.910000	267.180000	4000.000000	18000.000000	8000.000000	Trill	20.084254	25.046747	NaN	NaN	168.598209	0.000000
32	Spectrogram 1	1	273.670000	273.860000	4000.000000	18000.000000	8000.000000	Trill	17.922675	23.249861	NaN	NaN	151.271329	0.000000
33	Spectrogram 1	1	274.040000	274.800000	4000.000000	18000.000000	8000.000000	Phee	19.309243	29.396170	NaN	NaN	191.975055	0.000000
34	Spectrogram 1	1	289.030000	289.300000	4000.000000	18000.000000	8000.000000	Trill	16.236100	21.845561	NaN	NaN	152.343569	0.000000
35	Spectrogram 1	1	291.800000	292.020000	4000.000000	18000.000000	8000.000000	Trill	14.100048	20.291608	NaN	NaN	124.710092	0.000000
36	Spectrogram 1	1	292.220000	292.420000	4000.000000	18000.000000	8000.000000	Trill	11.979232	16.636390	NaN	NaN	106.376787	0.000000
37	Spectrogram 1	1	299.200000	299.490000	4000.000000	18000.000000	8000.000000	Trill	14.322481	20.087195	NaN	NaN	118.931684	0.000000
38	Spectrogram 1	1	300.930000	300.980000	4000.000000	18000.000000	8000.000000	Twitter	6.774868	14.589646	NaN	NaN	72.327488	0.000000
39	Spectrogram 1	1	301.070000	301.150000	4000.000000	18000.000000	8000.000000	Twitter	8.820064	23.730166	NaN	NaN	95.507091	0.000000
40	Spectrogram 1	1	301.200000	301.290000	4000.000000	18000.000000	8000.000000	Twitter	8.176188	20.737574	NaN	NaN	86.232771	0.000000
41	Spectrogram 1	1	301.330000	301.530000	4000.000000	18000.000000	8000.000000	Twitter	7.879552	19.263142	NaN	NaN	95.314351	0.000000
42	Spectrogram 1	1	301.600000	301.640000	4000.000000	18000.000000	8000.000000	Twitter	8.010367	10.541219	NaN	NaN	65.615046	0.000000
43	Spectrogram 1	1	312.560000	312.970000	4000.000000	18000.000000	8000.000000	Trill	16.481187	18.480669	NaN	NaN	130.011492	0.000000
44	Spectrogram 1	1	313.130000	313.220000	4000.000000	18000.000000	8000.000000	Phee	15.945996	17.055573	NaN	NaN	119.771961	0.000000
45	Spectrogram 1	1	313.330000	313.500000	4000.000000	18000.000000	8000.000000	Phee	16.591411	19.861791	NaN	NaN	138.321168	0.000000
46	Spectrogram 1	1	317.210000	317.310000	4000.000000	18000.000000	8000.000000	Trill	7.293578	11.256569	NaN	NaN	32.022418	0.000000
47	Spectrogram 1	1	318.660000	318.700000	4000.000000	18000.000000	8000.000000	Trill	13.068447	12.616400	NaN	NaN	31.692435	0.000000
48	Spectrogram 1	1	318.770000	318.810000	4000.000000	18000.000000	8000.000000	Trill	12.407981	11.720289	NaN	NaN	34.174474	0.000000
49	Spectrogram 1	1	318.890000	318.920000	4000.000000	18000.000000	8000.000000	Trill	14.635397	13.068097	NaN	NaN	36.742064	0.000000
50	Spectrogram 1	1	326.690000	326.780000	4000.000000	18000.000000	8000.000000	Trill	8.916881	11.257701	NaN	NaN	54.998382	0.000000
51	Spectrogram 1	1	335.880000	336.110000	4000.000000	18000.000000	8000.000000	Trill	17.305503	21.395008	NaN	NaN	143.002320	0.000000
52	Spectrogram 1	1	340.750000	341.170000	4000.000000	18000.000000	8000.000000	Trill	18.844276	23.304877	NaN	NaN	169.261124	0.000000
