Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Freq (Hz)	Call Type	Energy Diff	Energy Par	AHR	Exception
1	Spectrogram 1	1	4.200000	4.472000	4000.000000	18000.000000	8000.000000	Trill	14.415467	-30.921302	53.392026	0
2	Spectrogram 1	1	35.316000	35.702000	4000.000000	18000.000000	8000.000000	Trill	7.938476	-34.956598	67.838079	0
3	Spectrogram 1	1	38.076000	38.330000	4000.000000	18000.000000	8000.000000	Trill	8.720981	-36.906315	57.864605	0
4	Spectrogram 1	1	66.540000	66.776000	4000.000000	18000.000000	8000.000000	Trill	12.530526	-31.769693	117.859946	0
5	Spectrogram 1	1	101.194000	101.556000	4000.000000	18000.000000	8000.000000	Trill	9.884683	-33.890921	78.592923	0
6	Spectrogram 1	1	102.184000	102.222000	4000.000000	18000.000000	8000.000000	Twitter	7.428381	-29.725687	44.261861	0
7	Spectrogram 1	1	102.316000	102.414000	4000.000000	18000.000000	8000.000000	Twitter	4.423195	-27.789567	60.789030	1
8	Spectrogram 1	1	102.454000	102.528000	4000.000000	18000.000000	8000.000000	Twitter	5.717828	-25.656212	64.459980	0
9	Spectrogram 1	1	102.580000	102.654000	4000.000000	18000.000000	8000.000000	Twitter	5.374396	-26.469232	60.923035	0
10	Spectrogram 1	1	102.706000	102.780000	4000.000000	18000.000000	8000.000000	Twitter	5.700669	-26.531148	63.798484	0
11	Spectrogram 1	1	102.826000	102.912000	4000.000000	18000.000000	8000.000000	Twitter	6.312838	-26.657417	69.031052	0
12	Spectrogram 1	1	102.946000	103.044000	4000.000000	18000.000000	8000.000000	Twitter	6.597680	-29.064693	85.007170	0
13	Spectrogram 1	1	103.084000	103.158000	4000.000000	18000.000000	8000.000000	Trill	8.489157	-32.990707	86.581701	0
14	Spectrogram 1	1	121.582000	121.704000	4000.000000	18000.000000	8000.000000	Trill	6.861545	-32.669036	83.254293	0
15	Spectrogram 1	1	121.804000	123.282000	4000.000000	18000.000000	8000.000000	Phee	6.102845	-24.755782	99.732765	0
16	Spectrogram 1	1	126.178000	126.474000	4000.000000	18000.000000	8000.000000	Trill	11.631377	-35.385411	89.439387	0
17	Spectrogram 1	1	136.168000	136.416000	4000.000000	18000.000000	8000.000000	Trill	12.359704	-31.909046	96.533794	0
18	Spectrogram 1	1	142.822000	144.246000	4000.000000	18000.000000	8000.000000	Trillphee	7.365546	-23.268110	126.909331	0
19	Spectrogram 1	1	175.264000	175.596000	4000.000000	18000.000000	8000.000000	Trill	8.931344	-34.092254	85.441423	0
20	Spectrogram 1	1	177.022000	177.108000	4000.000000	18000.000000	8000.000000	Twitter	4.168437	-27.499096	70.548221	1
21	Spectrogram 1	1	177.160000	177.264000	4000.000000	18000.000000	8000.000000	Twitter	5.926586	-26.976036	80.430794	0
22	Spectrogram 1	1	177.304000	177.402000	4000.000000	18000.000000	8000.000000	Twitter	6.240943	-27.640773	77.110462	0
23	Spectrogram 1	1	177.406000	177.522000	4000.000000	18000.000000	8000.000000	Twitter	7.044461	-29.186600	89.899869	0
24	Spectrogram 1	1	177.526000	177.552000	4000.000000	18000.000000	8000.000000	Trill	4.205520	-39.174423	42.737640	1
25	Spectrogram 1	1	177.580000	177.672000	4000.000000	18000.000000	8000.000000	Trill	11.564341	-30.804931	109.444870	0
26	Spectrogram 1	1	211.508000	213.262000	4000.000000	18000.000000	8000.000000	Phee	7.527647	-19.966269	155.701131	0
27	Spectrogram 1	1	230.540000	230.632000	4000.000000	18000.000000	8000.000000	Trill	12.204534	-34.731929	76.621113	0
28	Spectrogram 1	1	231.674000	231.760000	4000.000000	18000.000000	8000.000000	Trill	10.023356	-36.996271	56.225887	0
29	Spectrogram 1	1	235.160000	235.450000	4000.000000	18000.000000	8000.000000	Trill	6.403397	-36.763097	48.878059	0
30	Spectrogram 1	1	235.658000	236.332000	4000.000000	18000.000000	8000.000000	Phee	8.136966	-28.109411	98.192060	0
31	Spectrogram 1	1	273.176000	273.394000	4000.000000	18000.000000	8000.000000	Trill	8.110374	-35.992620	66.461026	0
32	Spectrogram 1	1	275.930000	275.980000	4000.000000	18000.000000	8000.000000	Phee	11.049597	-37.934368	31.113559	0
33	Spectrogram 1	1	276.146000	277.462000	4000.000000	18000.000000	8000.000000	Trillphee	7.324188	-28.521936	98.625307	0
34	Spectrogram 1	1	280.610000	280.942000	4000.000000	18000.000000	8000.000000	Trill	6.883746	-36.455352	49.913767	0
35	Spectrogram 1	1	290.726000	292.462000	4000.000000	18000.000000	8000.000000	Trillphee	12.065604	-21.967874	169.900335	0
36	Spectrogram 1	1	333.102000	333.140000	4000.000000	18000.000000	8000.000000	Trill	10.693742	-38.517690	47.375295	0
37	Spectrogram 1	1	337.998000	338.030000	4000.000000	18000.000000	8000.000000	Phee	15.868747	-35.839226	31.480363	0
38	Spectrogram 1	1	339.462000	339.740000	4000.000000	18000.000000	8000.000000	Trill	15.265408	-32.163588	108.115059	0
39	Spectrogram 1	1	343.656000	345.308000	4000.000000	18000.000000	8000.000000	Phee	14.838650	-19.894862	217.327072	0
40	Spectrogram 1	1	356.406000	356.504000	4000.000000	18000.000000	8000.000000	Trill	13.784726	-33.744565	82.634674	0
41	Spectrogram 1	1	357.186000	358.796000	4000.000000	18000.000000	8000.000000	Trillphee	19.280250	-24.579925	229.172770	0
42	Spectrogram 1	1	374.160000	374.426000	4000.000000	18000.000000	8000.000000	Trill	14.765275	-30.650496	108.456179	0
43	Spectrogram 1	1	382.728000	383.030000	4000.000000	18000.000000	8000.000000	Trill	4.785305	-39.768559	34.306562	1
44	Spectrogram 1	1	383.406000	385.220000	4000.000000	18000.000000	8000.000000	Trillphee	12.184271	-24.328785	165.874002	0
