Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Freq (Hz)	Call Type
1	Spectrogram 1	1	12.024000	12.182000	4000.000000	18000.000000	8000.000000	
2	Spectrogram 1	1	16.434000	17.582000	4000.000000	18000.000000	8000.000000	
3	Spectrogram 1	1	20.724000	21.338000	4000.000000	18000.000000	8000.000000	
4	Spectrogram 1	1	24.012000	24.086000	4000.000000	18000.000000	8000.000000	
5	Spectrogram 1	1	24.198000	24.272000	4000.000000	18000.000000	8000.000000	
6	Spectrogram 1	1	24.600000	24.818000	4000.000000	18000.000000	8000.000000	
7	Spectrogram 1	1	28.998000	29.240000	4000.000000	18000.000000	8000.000000	
8	Spectrogram 1	1	39.378000	39.626000	4000.000000	18000.000000	8000.000000	
9	Spectrogram 1	1	42.078000	42.206000	4000.000000	18000.000000	8000.000000	
10	Spectrogram 1	1	52.206000	53.300000	4000.000000	18000.000000	8000.000000	
11	Spectrogram 1	1	61.068000	61.268000	4000.000000	18000.000000	8000.000000	
12	Spectrogram 1	1	65.640000	65.960000	4000.000000	18000.000000	8000.000000	
13	Spectrogram 1	1	73.032000	73.340000	4000.000000	18000.000000	8000.000000	
14	Spectrogram 1	1	76.020000	76.070000	4000.000000	18000.000000	8000.000000	
15	Spectrogram 1	1	76.164000	76.226000	4000.000000	18000.000000	8000.000000	
16	Spectrogram 1	1	76.296000	76.364000	4000.000000	18000.000000	8000.000000	
17	Spectrogram 1	1	76.416000	76.514000	4000.000000	18000.000000	8000.000000	
18	Spectrogram 1	1	76.536000	76.634000	4000.000000	18000.000000	8000.000000	
19	Spectrogram 1	1	76.674000	76.760000	4000.000000	18000.000000	8000.000000	
20	Spectrogram 1	1	76.782000	76.904000	4000.000000	18000.000000	8000.000000	
21	Spectrogram 1	1	76.950000	77.006000	4000.000000	18000.000000	8000.000000	
22	Spectrogram 1	1	79.650000	80.306000	4000.000000	18000.000000	8000.000000	
23	Spectrogram 1	1	99.192000	99.404000	4000.000000	18000.000000	8000.000000	
24	Spectrogram 1	1	124.840000	125.016000	4000.000000	18000.000000	8000.000000	
25	Spectrogram 1	1	129.742000	129.918000	4000.000000	18000.000000	8000.000000	
26	Spectrogram 1	1	141.808000	141.900000	4000.000000	18000.000000	8000.000000	
27	Spectrogram 1	1	142.000000	142.092000	4000.000000	18000.000000	8000.000000	
28	Spectrogram 1	1	142.144000	142.248000	4000.000000	18000.000000	8000.000000	
29	Spectrogram 1	1	142.300000	142.410000	4000.000000	18000.000000	8000.000000	
