Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Freq (Hz)	Call Type	Energy Diff	Energy Par	Energy Diff (wl)	Energy Par (wl)	AHR	Exception
1	Spectrogram 1	1	6.030000	6.280000	4000.000000	18000.000000	8000.000000	Trill	9.932137	15.000000	NaN	NaN	57.271460	0.000000
2	Spectrogram 1	1	12.430000	12.620000	4000.000000	18000.000000	8000.000000	Trill	11.077315	15.000000	NaN	NaN	93.593994	0.000000
3	Spectrogram 1	1	18.350000	18.450000	4000.000000	18000.000000	8000.000000	Trill	11.629488	15.000000	NaN	NaN	90.208227	0.000000
4	Spectrogram 1	1	23.150000	23.380000	4000.000000	18000.000000	8000.000000	Twitter	7.537906	15.524278	NaN	NaN	66.078480	0.000000
5	Spectrogram 1	1	23.440000	23.520000	4000.000000	18000.000000	8000.000000	Twitter	10.544627	23.981399	NaN	NaN	53.499742	0.000000
6	Spectrogram 1	1	23.560000	24.380000	4000.000000	18000.000000	8000.000000	Twitter	9.821429	20.426055	NaN	NaN	78.699692	0.000000
7	Spectrogram 1	1	31.100000	31.430000	4000.000000	18000.000000	8000.000000	Trill	5.424936	13.192085	NaN	NaN	57.003426	0.000000
8	Spectrogram 1	1	43.010000	43.040000	4000.000000	18000.000000	8000.000000	Trill	9.275281	10.092705	NaN	NaN	38.979238	0.000000
9	Spectrogram 1	1	57.720000	57.880000	4000.000000	18000.000000	8000.000000	Trill	7.997963	13.461889	NaN	NaN	74.393446	0.000000
10	Spectrogram 1	1	76.960000	77.160000	4000.000000	18000.000000	8000.000000	Trill	7.906689	15.000000	NaN	NaN	113.857854	0.000000
11	Spectrogram 1	1	85.290000	85.430000	4000.000000	18000.000000	8000.000000	Trill	5.538588	14.217423	NaN	NaN	67.611044	0.000000
12	Spectrogram 1	1	118.340000	118.500000	4000.000000	18000.000000	8000.000000	Trill	5.772258	13.867355	NaN	NaN	52.602862	0.000000
13	Spectrogram 1	1	120.750000	121.340000	4000.000000	18000.000000	8000.000000	Trill	7.422399	15.000000	NaN	NaN	50.061417	0.000000
14	Spectrogram 1	1	121.500000	121.720000	4000.000000	18000.000000	8000.000000	Phee	8.102305	15.000000	NaN	NaN	103.558558	0.000000
15	Spectrogram 1	1	121.920000	121.960000	4000.000000	18000.000000	8000.000000	Trillphee	6.483298	12.233689	NaN	NaN	62.117461	0.000000
16	Spectrogram 1	1	139.390000	139.490000	4000.000000	18000.000000	8000.000000	Trill	8.551825	15.000000	NaN	NaN	120.584662	0.000000
17	Spectrogram 1	1	156.270000	156.390000	4000.000000	18000.000000	8000.000000	Twitter	9.049861	23.118593	NaN	NaN	112.532079	0.000000
18	Spectrogram 1	1	156.470000	156.580000	4000.000000	18000.000000	8000.000000	Twitter	8.662961	21.879640	NaN	NaN	86.279091	0.000000
19	Spectrogram 1	1	156.620000	156.830000	4000.000000	18000.000000	8000.000000	Twitter	7.907715	20.264656	NaN	NaN	73.128615	0.000000
20	Spectrogram 1	1	156.880000	156.960000	4000.000000	18000.000000	8000.000000	Twitter	12.197493	20.989928	NaN	NaN	124.713384	0.000000
21	Spectrogram 1	1	157.040000	157.100000	4000.000000	18000.000000	8000.000000	Trill	7.428341	13.216479	NaN	NaN	75.324944	0.000000
22	Spectrogram 1	1	163.800000	163.900000	4000.000000	18000.000000	8000.000000	Trill	9.659402	15.000000	NaN	NaN	78.798472	0.000000
23	Spectrogram 1	1	219.390000	219.500000	4000.000000	18000.000000	8000.000000	Trill	9.728594	15.000000	NaN	NaN	110.788082	0.000000
24	Spectrogram 1	1	224.750000	225.040000	4000.000000	18000.000000	8000.000000	Trill	6.764986	15.000000	NaN	NaN	81.904173	0.000000
25	Spectrogram 1	1	226.630000	227.720000	4000.000000	18000.000000	8000.000000	Trillphee	14.817687	27.155184	NaN	NaN	144.701133	0.000000
26	Spectrogram 1	1	259.840000	260.050000	4000.000000	18000.000000	8000.000000	Trill	9.593146	15.000000	NaN	NaN	85.475191	0.000000
27	Spectrogram 1	1	264.510000	264.890000	4000.000000	18000.000000	8000.000000	Trill	6.545435	15.000000	NaN	NaN	65.693364	0.000000
28	Spectrogram 1	1	266.060000	267.180000	4000.000000	18000.000000	8000.000000	Twitter	5.632213	22.800212	NaN	NaN	38.326352	0.000000
