Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Freq (Hz)	Call Type	Energy Diff	Energy Par	Exception
1	Spectrogram 1	2	17.820000	17.990000	4000.000000	18000.000000	8000.000000	Trill	16.292884	-28.280753	0
2	Spectrogram 1	2	72.798000	73.088000	4000.000000	18000.000000	8000.000000	Trill	14.589567	-34.840437	0
3	Spectrogram 1	2	73.842000	74.222000	4000.000000	18000.000000	8000.000000	Trill	10.775441	-30.970254	0
4	Spectrogram 1	2	74.274000	75.110000	4000.000000	18000.000000	8000.000000	Trillphee	8.135209	-22.060575	0
5	Spectrogram 1	2	84.558000	84.698000	4000.000000	18000.000000	8000.000000	Trill	12.675921	-30.848015	0
6	Spectrogram 1	2	103.516000	103.686000	4000.000000	18000.000000	8000.000000	Trill	12.667863	-29.731754	0
7	Spectrogram 1	2	104.968000	105.330000	4000.000000	18000.000000	8000.000000	Trill	14.533835	-30.569340	0
8	Spectrogram 1	2	111.160000	111.432000	4000.000000	18000.000000	8000.000000	Trill	12.204867	-31.974727	0
9	Spectrogram 1	2	112.390000	112.482000	4000.000000	18000.000000	8000.000000	Twitter	4.887126	-26.054309	1
10	Spectrogram 1	2	112.552000	112.644000	4000.000000	18000.000000	8000.000000	Twitter	5.476481	-26.528777	0
11	Spectrogram 1	2	112.690000	112.782000	4000.000000	18000.000000	8000.000000	Twitter	5.972582	-26.820247	0
12	Spectrogram 1	2	112.804000	112.920000	4000.000000	18000.000000	8000.000000	Twitter	6.178043	-27.119798	0
13	Spectrogram 1	2	112.924000	113.040000	4000.000000	18000.000000	8000.000000	Twitter	6.777355	-26.975983	0
14	Spectrogram 1	2	113.062000	113.136000	4000.000000	18000.000000	8000.000000	Twitter	8.374881	-25.806519	0
15	Spectrogram 1	2	113.134000	113.154000	4000.000000	18000.000000	8000.000000	Twitter	6.039735	-38.537804	2
16	Spectrogram 1	2	113.194000	113.250000	4000.000000	18000.000000	8000.000000	Twitter	14.257950	-27.820295	0
17	Spectrogram 1	2	137.320000	137.400000	4000.000000	18000.000000	8000.000000	Trill	13.162831	-32.765036	0
18	Spectrogram 1	2	137.482000	137.688000	4000.000000	18000.000000	8000.000000	Trill	13.254161	-35.321445	0
19	Spectrogram 1	2	164.116000	164.358000	4000.000000	18000.000000	8000.000000	Trill	11.973844	-33.121889	0
20	Spectrogram 1	2	180.370000	180.552000	4000.000000	18000.000000	8000.000000	Trill	16.198444	-27.069259	0
21	Spectrogram 1	2	180.598000	180.672000	4000.000000	18000.000000	8000.000000	Trill	14.065944	-31.093707	0
22	Spectrogram 1	2	192.664000	192.990000	4000.000000	18000.000000	8000.000000	Trill	11.966404	-30.254201	0
23	Spectrogram 1	2	204.596000	204.832000	4000.000000	18000.000000	8000.000000	Trill	13.221959	-32.103352	0
24	Spectrogram 1	2	206.930000	207.310000	4000.000000	18000.000000	8000.000000	Trill	13.000792	-31.803269	0
25	Spectrogram 1	2	213.380000	213.664000	4000.000000	18000.000000	8000.000000	Trill	4.464036	-35.434189	1
26	Spectrogram 1	2	214.958000	216.028000	4000.000000	18000.000000	8000.000000	Phee	16.374737	-20.397326	0
27	Spectrogram 1	2	219.932000	220.228000	4000.000000	18000.000000	8000.000000	Trill	14.610490	-30.531912	0
28	Spectrogram 1	2	221.834000	222.010000	4000.000000	18000.000000	8000.000000	Phee	12.250150	-23.012527	0
29	Spectrogram 1	2	222.074000	222.286000	4000.000000	18000.000000	8000.000000	Phee	7.086271	-25.457654	0
30	Spectrogram 1	2	222.308000	222.388000	4000.000000	18000.000000	8000.000000	Trillphee	11.820121	-26.513045	0
31	Spectrogram 1	2	222.422000	222.484000	4000.000000	18000.000000	8000.000000	Phee	16.860409	-25.757946	0
32	Spectrogram 1	2	222.608000	222.676000	4000.000000	18000.000000	8000.000000	Phee	7.071218	-25.866189	0
33	Spectrogram 1	2	222.722000	222.772000	4000.000000	18000.000000	8000.000000	Phee	11.506469	-25.823683	0
34	Spectrogram 1	2	228.860000	229.912000	4000.000000	18000.000000	8000.000000	Trillphee	14.209796	-24.206861	0
35	Spectrogram 1	2	229.952000	230.146000	4000.000000	18000.000000	8000.000000	Phee	16.246919	-25.452987	0
36	Spectrogram 1	2	232.322000	232.624000	4000.000000	18000.000000	8000.000000	Trill	13.145132	-34.228374	0
37	Spectrogram 1	2	235.178000	235.240000	4000.000000	18000.000000	8000.000000	Twitter	9.634994	-25.474302	0
38	Spectrogram 1	2	235.316000	235.390000	4000.000000	18000.000000	8000.000000	Twitter	6.719019	-23.095646	0
39	Spectrogram 1	2	235.460000	235.522000	4000.000000	18000.000000	8000.000000	Twitter	7.407535	-21.966608	0
40	Spectrogram 1	2	235.586000	235.654000	4000.000000	18000.000000	8000.000000	Twitter	6.963787	-22.544601	0
41	Spectrogram 1	2	235.712000	235.780000	4000.000000	18000.000000	8000.000000	Twitter	7.244409	-23.015752	0
42	Spectrogram 1	2	235.838000	235.912000	4000.000000	18000.000000	8000.000000	Twitter	7.546604	-23.516152	0
43	Spectrogram 1	2	235.964000	236.044000	4000.000000	18000.000000	8000.000000	Twitter	6.300525	-25.103555	0
44	Spectrogram 1	2	236.102000	236.164000	4000.000000	18000.000000	8000.000000	Twitter	5.786839	-27.949061	0
45	Spectrogram 1	2	239.876000	240.310000	4000.000000	18000.000000	8000.000000	Trill	12.491879	-33.777894	0
46	Spectrogram 1	2	241.424000	241.516000	4000.000000	18000.000000	8000.000000	Twitter	3.947186	-26.636256	1
47	Spectrogram 1	2	241.556000	241.666000	4000.000000	18000.000000	8000.000000	Twitter	5.232887	-25.409132	0
48	Spectrogram 1	2	241.700000	241.798000	4000.000000	18000.000000	8000.000000	Twitter	5.510339	-25.431063	0
49	Spectrogram 1	2	241.820000	241.912000	4000.000000	18000.000000	8000.000000	Twitter	5.942269	-24.420645	0
50	Spectrogram 1	2	241.928000	242.038000	4000.000000	18000.000000	8000.000000	Twitter	5.903712	-26.115404	0
51	Spectrogram 1	2	242.078000	242.188000	4000.000000	18000.000000	8000.000000	Twitter	5.645390	-26.189589	0
52	Spectrogram 1	2	242.192000	242.302000	4000.000000	18000.000000	8000.000000	Twitter	6.333882	-26.789998	0
53	Spectrogram 1	2	242.378000	242.422000	4000.000000	18000.000000	8000.000000	Twitter	19.975303	-26.063413	0
54	Spectrogram 1	2	246.656000	247.060000	4000.000000	18000.000000	8000.000000	Trill	11.038110	-33.772827	0
55	Spectrogram 1	2	249.596000	249.676000	4000.000000	18000.000000	8000.000000	Twitter	4.307429	-26.752756	1
56	Spectrogram 1	2	249.728000	249.826000	4000.000000	18000.000000	8000.000000	Twitter	5.107021	-24.708336	0
57	Spectrogram 1	2	249.878000	249.964000	4000.000000	18000.000000	8000.000000	Twitter	5.355384	-24.729556	0
58	Spectrogram 1	2	250.010000	250.090000	4000.000000	18000.000000	8000.000000	Twitter	5.708402	-23.680759	0
59	Spectrogram 1	2	250.148000	250.246000	4000.000000	18000.000000	8000.000000	Twitter	5.241602	-25.280462	0
60	Spectrogram 1	2	250.280000	250.384000	4000.000000	18000.000000	8000.000000	Twitter	5.511663	-25.264851	0
61	Spectrogram 1	2	250.400000	250.522000	4000.000000	18000.000000	8000.000000	Twitter	5.734881	-26.131125	0
62	Spectrogram 1	2	250.544000	250.660000	4000.000000	18000.000000	8000.000000	Twitter	6.311436	-25.476056	0
63	Spectrogram 1	2	250.688000	250.786000	4000.000000	18000.000000	8000.000000	Twitter	8.229807	-25.643035	0
64	Spectrogram 1	2	271.736000	272.068000	4000.000000	18000.000000	8000.000000	Trill	12.765682	-33.247930	0
