Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Freq (Hz)	Call Type	Energy Diff	Energy Par	Exception
1	Spectrogram 1	3	2.610000	2.792000	4000.000000	18000.000000	8000.000000	Trill	14.763726	-37.371788	0
2	Spectrogram 1	3	9.246000	9.296000	4000.000000	18000.000000	8000.000000	Trill	14.557767	-38.064589	0
3	Spectrogram 1	3	9.660000	9.740000	4000.000000	18000.000000	8000.000000	Phee	15.142352	-37.678464	0
4	Spectrogram 1	3	13.038000	13.094000	4000.000000	18000.000000	8000.000000	Trill	11.613811	-35.617627	1
5	Spectrogram 1	3	30.774000	30.842000	4000.000000	18000.000000	8000.000000	Trill	9.821346	-37.123177	1
6	Spectrogram 1	3	37.632000	37.670000	4000.000000	18000.000000	8000.000000	Phee	16.126072	-38.364782	0
7	Spectrogram 1	3	53.208000	53.282000	4000.000000	18000.000000	8000.000000	Trill	9.013321	-34.637471	1
8	Spectrogram 1	3	53.472000	53.540000	4000.000000	18000.000000	8000.000000	Trill	9.527911	-34.885814	1
9	Spectrogram 1	3	54.012000	54.194000	4000.000000	18000.000000	8000.000000	Trillphee	11.980962	-32.096442	1
10	Spectrogram 1	3	58.152000	58.286000	4000.000000	18000.000000	8000.000000	Trill	12.453714	-30.456041	0
11	Spectrogram 1	3	60.612000	60.650000	4000.000000	18000.000000	8000.000000	Phee	15.590540	-38.723824	0
12	Spectrogram 1	3	75.390000	75.476000	4000.000000	18000.000000	8000.000000	Trill	12.224286	-38.405600	0
13	Spectrogram 1	3	76.422000	76.502000	4000.000000	18000.000000	8000.000000	Trill	10.714590	-37.865593	1
14	Spectrogram 1	3	103.612000	103.650000	4000.000000	18000.000000	8000.000000	Trill	23.574597	-38.905763	0
15	Spectrogram 1	3	104.980000	105.048000	4000.000000	18000.000000	8000.000000	Trill	16.891870	-33.226869	0
16	Spectrogram 1	3	105.088000	105.336000	4000.000000	18000.000000	8000.000000	Trill	16.174759	-34.939335	0
17	Spectrogram 1	3	108.136000	108.216000	4000.000000	18000.000000	8000.000000	Trill	9.909255	-29.966255	1
18	Spectrogram 1	3	108.310000	108.402000	4000.000000	18000.000000	8000.000000	Trill	10.827316	-29.378072	1
19	Spectrogram 1	3	108.466000	108.570000	4000.000000	18000.000000	8000.000000	Trill	11.248672	-29.633726	1
20	Spectrogram 1	3	108.622000	108.732000	4000.000000	18000.000000	8000.000000	Trill	12.231066	-29.045720	0
21	Spectrogram 1	3	108.766000	108.882000	4000.000000	18000.000000	8000.000000	Trill	12.564462	-28.931951	0
22	Spectrogram 1	3	108.916000	109.038000	4000.000000	18000.000000	8000.000000	Trill	12.314218	-29.575247	0
23	Spectrogram 1	3	109.060000	109.446000	4000.000000	18000.000000	8000.000000	Trill	12.439076	-29.906131	0
24	Spectrogram 1	3	109.468000	109.578000	4000.000000	18000.000000	8000.000000	Trill	11.694647	-30.858791	1
25	Spectrogram 1	3	109.786000	109.836000	4000.000000	18000.000000	8000.000000	Trill	9.081119	-36.190533	1
26	Spectrogram 1	3	109.918000	109.962000	4000.000000	18000.000000	8000.000000	Trill	9.226533	-36.045582	1
27	Spectrogram 1	3	115.840000	115.896000	4000.000000	18000.000000	8000.000000	Trill	10.296034	-37.937500	1
28	Spectrogram 1	3	119.224000	119.274000	4000.000000	18000.000000	8000.000000	Trill	16.880577	-37.770324	0
29	Spectrogram 1	3	120.412000	120.462000	4000.000000	18000.000000	8000.000000	Phee	15.917703	-38.285515	0
30	Spectrogram 1	3	124.726000	124.770000	4000.000000	18000.000000	8000.000000	Phee	14.724102	-37.245824	0
31	Spectrogram 1	3	137.098000	137.142000	4000.000000	18000.000000	8000.000000	Trill	17.603692	-38.338088	0
32	Spectrogram 1	3	142.090000	142.122000	4000.000000	18000.000000	8000.000000	Trill	14.558330	-38.535939	0
33	Spectrogram 1	3	142.270000	142.308000	4000.000000	18000.000000	8000.000000	Phee	13.946219	-38.243670	0
34	Spectrogram 1	3	145.108000	145.146000	4000.000000	18000.000000	8000.000000	Trill	10.096499	-36.513796	1
35	Spectrogram 1	3	154.066000	154.290000	4000.000000	18000.000000	8000.000000	Trill	20.087619	-31.747318	0
36	Spectrogram 1	3	167.656000	167.724000	4000.000000	18000.000000	8000.000000	Trill	12.532648	-38.910125	0
37	Spectrogram 1	3	168.766000	168.900000	4000.000000	18000.000000	8000.000000	Trill	12.550577	-38.628139	0
38	Spectrogram 1	3	170.128000	170.214000	4000.000000	18000.000000	8000.000000	Trill	12.745225	-34.266951	0
39	Spectrogram 1	3	170.584000	170.646000	4000.000000	18000.000000	8000.000000	Trill	9.574220	-34.279264	1
40	Spectrogram 1	3	170.716000	170.772000	4000.000000	18000.000000	8000.000000	Trill	10.235741	-33.598550	1
41	Spectrogram 1	3	170.842000	170.904000	4000.000000	18000.000000	8000.000000	Trill	11.597382	-34.550896	1
42	Spectrogram 1	3	171.076000	171.180000	4000.000000	18000.000000	8000.000000	Trill	10.833786	-38.696979	1
43	Spectrogram 1	3	172.204000	172.338000	4000.000000	18000.000000	8000.000000	Trill	10.419554	-38.068576	1
44	Spectrogram 1	3	172.612000	172.680000	4000.000000	18000.000000	8000.000000	Trill	9.705213	-36.736060	1
45	Spectrogram 1	3	175.216000	175.260000	4000.000000	18000.000000	8000.000000	Trill	20.418919	-38.947052	0
46	Spectrogram 1	3	175.576000	175.692000	4000.000000	18000.000000	8000.000000	Trill	10.804895	-34.137270	1
47	Spectrogram 1	3	175.786000	175.854000	4000.000000	18000.000000	8000.000000	Phee	18.883016	-37.498929	0
48	Spectrogram 1	3	176.338000	176.448000	4000.000000	18000.000000	8000.000000	Trill	14.472260	-36.529498	0
49	Spectrogram 1	3	185.266000	185.424000	4000.000000	18000.000000	8000.000000	Trill	10.346098	-36.413408	1
50	Spectrogram 1	3	186.946000	186.984000	4000.000000	18000.000000	8000.000000	Trill	15.084441	-38.681412	0
51	Spectrogram 1	3	188.002000	188.148000	4000.000000	18000.000000	8000.000000	Trill	12.532023	-29.974743	0
52	Spectrogram 1	3	188.206000	188.280000	4000.000000	18000.000000	8000.000000	Trill	12.173246	-28.943456	0
53	Spectrogram 1	3	188.350000	188.424000	4000.000000	18000.000000	8000.000000	Trill	12.413207	-28.861012	0
54	Spectrogram 1	3	188.482000	188.562000	4000.000000	18000.000000	8000.000000	Trill	12.209194	-30.023847	0
55	Spectrogram 1	3	188.602000	188.670000	4000.000000	18000.000000	8000.000000	Trill	11.254237	-32.773357	1
56	Spectrogram 1	3	191.278000	191.310000	4000.000000	18000.000000	8000.000000	Trill	9.740695	-36.781328	1
57	Spectrogram 1	3	197.362000	197.400000	4000.000000	18000.000000	8000.000000	Phee	13.235751	-36.741701	0
58	Spectrogram 1	3	197.518000	197.556000	4000.000000	18000.000000	8000.000000	Phee	13.510971	-38.973235	0
59	Spectrogram 1	3	198.142000	198.174000	4000.000000	18000.000000	8000.000000	Trill	15.682966	-38.936352	0
60	Spectrogram 1	3	198.532000	198.696000	4000.000000	18000.000000	8000.000000	Trill	9.805613	-38.224275	1
61	Spectrogram 1	3	198.988000	199.050000	4000.000000	18000.000000	8000.000000	Trill	9.136535	-33.933333	1
62	Spectrogram 1	3	199.114000	199.182000	4000.000000	18000.000000	8000.000000	Trill	9.191277	-33.724800	1
63	Spectrogram 1	3	199.246000	199.314000	4000.000000	18000.000000	8000.000000	Trill	9.889427	-34.488044	1
64	Spectrogram 1	3	199.384000	199.440000	4000.000000	18000.000000	8000.000000	Trill	10.078238	-34.826277	1
65	Spectrogram 1	3	202.658000	202.708000	4000.000000	18000.000000	8000.000000	Trill	16.318200	-38.735949	0
66	Spectrogram 1	3	215.564000	215.596000	4000.000000	18000.000000	8000.000000	Trill	16.208249	-38.498260	0
67	Spectrogram 1	3	219.536000	219.580000	4000.000000	18000.000000	8000.000000	Trill	15.341761	-38.351667	0
68	Spectrogram 1	3	244.784000	244.846000	4000.000000	18000.000000	8000.000000	Trill	17.432093	-38.447248	0
