Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Freq (Hz)	Call Type	Energy Diff	Energy Par	Energy Diff (wl)	Energy Par (wl)	AHR	Exception
1	Spectrogram 1	5	324.240000	324.590000	4000.000000	18000.000000	8000.000000	Phee	2.191069	7.185298	2.606146	3.604987	41.086890	2.000000
2	Spectrogram 1	5	327.330000	327.530000	4000.000000	18000.000000	8000.000000	Phee	6.235712	10.905234	11.210008	5.695856	61.139722	0.000000
3	Spectrogram 1	5	347.280000	348.340000	4000.000000	18000.000000	8000.000000	Trill	2.935083	8.391224	5.651228	2.552583	51.201356	0.000000
4	Spectrogram 1	5	353.400000	354.280000	4000.000000	18000.000000	8000.000000	Phee	4.889867	11.222675	2.061512	6.342127	67.164153	0.000000
5	Spectrogram 1	5	373.340000	373.910000	4000.000000	18000.000000	8000.000000	Trillphee	3.435337	7.963124	2.152997	3.519592	47.886606	0.000000
6	Spectrogram 1	5	375.040000	375.800000	4000.000000	18000.000000	8000.000000	P-peep	2.098431	7.529866	2.850330	4.073292	44.273917	0.000000
7	Spectrogram 1	5	390.360000	391.070000	4000.000000	18000.000000	8000.000000	Trill	7.110406	12.550414	2.523192	2.996466	81.604121	0.000000
8	Spectrogram 1	5	405.080000	406.080000	4000.000000	18000.000000	8000.000000	Phee	8.101981	15.000000	1.335703	4.246765	145.153666	1.000000
9	Spectrogram 1	5	406.410000	406.810000	4000.000000	18000.000000	8000.000000	Phee	9.580365	15.000000	3.046258	6.295926	170.159295	0.000000
10	Spectrogram 1	5	411.680000	412.710000	4000.000000	18000.000000	8000.000000	Phee	8.932541	15.000000	5.783549	7.249620	140.267813	0.000000
11	Spectrogram 1	5	412.830000	412.950000	4000.000000	18000.000000	8000.000000	Trill	7.289307	11.538381	8.961186	2.680949	79.936804	0.000000
12	Spectrogram 1	5	419.160000	419.980000	4000.000000	18000.000000	8000.000000	Phee	7.847962	15.000000	7.575241	12.111054	134.385433	0.000000
13	Spectrogram 1	5	420.010000	420.060000	4000.000000	18000.000000	8000.000000	P-peep	10.754934	17.591370	7.315221	8.489025	129.058069	0.000000
14	Spectrogram 1	5	474.240000	474.290000	4000.000000	18000.000000	8000.000000	P-peep	3.096966	6.359763	0.877804	2.206152	36.419213	1.000000
15	Spectrogram 1	5	506.170000	506.930000	4000.000000	18000.000000	8000.000000	P-peep	3.526592	7.915302	2.190868	2.717606	52.227099	1.000000
16	Spectrogram 1	5	507.040000	507.610000	4000.000000	18000.000000	8000.000000	P-peep	2.818968	7.913620	2.327396	3.346723	54.112574	1.000000
17	Spectrogram 1	5	646.960000	647.310000	4000.000000	18000.000000	8000.000000	Trill	3.744458	7.880789	0.882748	2.338399	43.426960	1.000000
18	Spectrogram 1	5	659.250000	659.810000	4000.000000	18000.000000	8000.000000	Trill	2.705024	5.554900	6.825482	1.519144	36.528235	0.000000
19	Spectrogram 1	5	665.180000	666.010000	4000.000000	18000.000000	8000.000000	Trillphee	7.497847	14.293001	5.544970	5.711754	88.380983	0.000000
20	Spectrogram 1	5	666.120000	666.210000	4000.000000	18000.000000	8000.000000	Phee	6.786348	10.106862	4.891644	3.942246	65.933662	0.000000
21	Spectrogram 1	5	679.480000	680.210000	4000.000000	18000.000000	8000.000000	Phee	6.260696	9.734258	7.359467	3.336401	66.054372	0.000000
22	Spectrogram 1	6	864.700000	865.400000	4000.000000	18000.000000	8000.000000	Trill	4.610401	15.000000	-0.724153	5.361553	60.828550	1.000000
23	Spectrogram 1	6	865.470000	866.210000	4000.000000	18000.000000	8000.000000	Phee	3.579303	13.054169	-1.080139	9.891913	68.500888	1.000000
24	Spectrogram 1	5	1071.370000	1072.590000	4000.000000	18000.000000	8000.000000	Phee	2.843872	15.000000	1.561782	8.018209	63.593689	1.000000
25	Spectrogram 1	5	1072.750000	1073.330000	4000.000000	18000.000000	8000.000000	Phee	3.125837	12.960201	1.819270	6.271107	57.537957	0.000000
26	Spectrogram 1	5	1103.430000	1104.120000	4000.000000	18000.000000	8000.000000	Trillphee	5.356538	11.159636	1.746914	2.381000	59.166104	1.000000
27	Spectrogram 1	5	1107.910000	1108.930000	4000.000000	18000.000000	8000.000000	Phee	6.714333	15.000000	2.046092	8.735305	91.344711	0.000000
28	Spectrogram 1	5	1115.540000	1116.780000	4000.000000	18000.000000	8000.000000	Phee	5.709537	15.000000	3.363911	16.735631	167.735317	0.000000
29	Spectrogram 1	5	1129.180000	1130.300000	4000.000000	18000.000000	8000.000000	Trill	3.860875	12.336430	2.240877	3.791042	60.533472	0.000000
30	Spectrogram 1	6	1158.860000	1159.780000	4000.000000	18000.000000	8000.000000	Trill	6.314015	15.000000	-1.795796	4.118542	76.050672	0.000000
31	Spectrogram 1	6	1216.570000	1217.300000	4000.000000	18000.000000	8000.000000	Trill	4.457993	10.738162	-0.347893	3.703733	59.304385	1.000000
32	Spectrogram 1	5	1224.390000	1225.500000	4000.000000	18000.000000	8000.000000	Phee	5.548907	14.968707	2.423528	7.466732	81.565243	0.000000
33	Spectrogram 1	5	1225.700000	1226.430000	4000.000000	18000.000000	8000.000000	Phee	2.652248	12.212040	3.107139	5.907092	71.667517	0.000000
34	Spectrogram 1	5	1273.190000	1273.310000	4000.000000	18000.000000	8000.000000	Trill	5.484188	13.970346	1.375577	5.196372	65.648380	0.000000
35	Spectrogram 1	5	1273.400000	1273.440000	4000.000000	18000.000000	8000.000000	Tse	3.092885	11.497558	0.542201	2.815622	51.749460	1.000000
36	Spectrogram 1	6	1392.200000	1392.790000	4000.000000	18000.000000	8000.000000	Trill	4.098040	14.123352	-2.009291	2.352666	71.993193	1.000000
37	Spectrogram 1	5	1395.580000	1396.400000	4000.000000	18000.000000	8000.000000	Trill	4.779591	12.091650	2.113831	4.400668	67.106771	0.000000
38	Spectrogram 1	5	1396.570000	1396.930000	4000.000000	18000.000000	8000.000000	Phee	3.932870	11.741702	1.496447	3.575215	62.319446	1.000000
39	Spectrogram 1	6	1398.990000	1400.670000	4000.000000	18000.000000	8000.000000	Phee	1.866832	15.000000	-4.984631	3.939989	63.357208	0.000000
