Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Freq (Hz)	Call Type	Energy Diff	Energy Par	Energy Diff (wl)	Energy Par (wl)	AHR	Exception
1	Spectrogram 1	5	57.410000	58.070000	4000.000000	18000.000000	8000.000000	Trill	3.754859	8.245713	1.099219	3.270680	49.874237	1.000000
2	Spectrogram 1	6	105.560000	106.130000	4000.000000	18000.000000	8000.000000	Trill	4.041111	6.690705	-2.625325	5.209390	39.439127	0.000000
3	Spectrogram 1	5	114.420000	115.050000	4000.000000	18000.000000	8000.000000	Trill	7.452559	8.594922	5.305436	2.052264	44.927719	0.000000
4	Spectrogram 1	5	121.160000	121.810000	4000.000000	18000.000000	8000.000000	Phee	6.687004	12.342310	6.941795	3.232611	80.741813	0.000000
5	Spectrogram 1	5	121.950000	122.370000	4000.000000	18000.000000	8000.000000	P-peep	5.870235	10.227666	7.450294	2.670948	60.181050	0.000000
6	Spectrogram 1	5	123.640000	125.640000	4000.000000	18000.000000	8000.000000	Trill	2.174110	15.000000	2.174178	4.903516	52.383533	2.000000
7	Spectrogram 1	6	152.110000	153.590000	4000.000000	18000.000000	8000.000000	Trill	3.440937	15.000000	-0.989100	4.216880	73.458776	1.000000
8	Spectrogram 1	5	169.580000	169.680000	4000.000000	18000.000000	8000.000000	Trill	5.350843	7.027793	1.162647	2.450020	42.721176	1.000000
9	Spectrogram 1	5	175.100000	175.320000	4000.000000	18000.000000	8000.000000	Trill	11.697827	15.000000	6.584659	5.259168	152.941235	0.000000
10	Spectrogram 1	5	198.310000	198.940000	4000.000000	18000.000000	8000.000000	Trill	8.923713	10.130209	1.780675	1.946367	62.589907	1.000000
11	Spectrogram 1	5	209.480000	211.520000	4000.000000	18000.000000	8000.000000	Phee	1.570061	15.000000	5.538138	6.734321	58.435987	0.000000
12	Spectrogram 1	5	214.190000	214.910000	4000.000000	18000.000000	8000.000000	Phee	6.566192	11.283868	7.276380	6.230517	67.603793	0.000000
13	Spectrogram 1	6	231.470000	232.460000	4000.000000	18000.000000	8000.000000	Phee	3.831673	9.872558	-4.712831	9.497243	59.073287	0.000000
14	Spectrogram 1	5	232.620000	232.850000	4000.000000	18000.000000	8000.000000	Phee	4.047394	6.397045	0.568748	3.555932	45.948873	1.000000
15	Spectrogram 1	6	295.560000	295.750000	4000.000000	18000.000000	8000.000000	Sd-peep	5.122670	13.451031	-1.709042	3.026816	72.176999	0.000000
16	Spectrogram 1	5	302.810000	302.850000	4000.000000	18000.000000	8000.000000	Twitter	2.634182	11.581616	4.914494	1.295619	54.527311	2.000000
17	Spectrogram 1	6	310.430000	310.540000	4000.000000	18000.000000	8000.000000	Trill	4.721090	6.510695	-0.268878	6.880135	50.538647	1.000000
18	Spectrogram 1	5	318.620000	319.200000	4000.000000	18000.000000	8000.000000	Trill	6.876859	8.975218	3.775871	5.669171	56.647976	0.000000
19	Spectrogram 1	5	437.310000	437.380000	4000.000000	18000.000000	8000.000000	Trill	4.063015	8.847690	3.272495	6.204130	50.915835	0.000000
20	Spectrogram 1	5	450.540000	450.880000	4000.000000	18000.000000	8000.000000	Trill	3.905325	5.470781	1.990279	1.897260	37.864084	1.000000
21	Spectrogram 1	5	470.690000	470.780000	4000.000000	18000.000000	8000.000000	Trill	3.535052	5.526440	1.038217	2.076360	38.871948	1.000000
22	Spectrogram 1	6	480.900000	480.980000	4000.000000	18000.000000	8000.000000	Trill	5.742451	6.976655	-1.596009	2.794668	50.688633	0.000000
23	Spectrogram 1	5	487.320000	487.410000	4000.000000	18000.000000	8000.000000	Trill	7.058639	8.496405	2.016714	3.565786	58.209552	0.000000
24	Spectrogram 1	5	496.440000	496.530000	4000.000000	18000.000000	8000.000000	Trill	6.737822	10.105976	0.504519	5.375447	60.331467	1.000000
25	Spectrogram 1	5	510.280000	510.560000	4000.000000	18000.000000	8000.000000	Trill	4.863344	6.087202	8.532136	1.563710	38.609429	0.000000
26	Spectrogram 1	5	618.740000	618.870000	4000.000000	18000.000000	8000.000000	Trill	4.610828	5.949657	1.583041	2.553149	37.853466	1.000000
27	Spectrogram 1	6	715.570000	715.800000	4000.000000	18000.000000	8000.000000	Trill	3.705221	10.373913	-1.823733	2.735875	63.564930	1.000000
28	Spectrogram 1	6	783.650000	784.030000	4000.000000	18000.000000	8000.000000	Trill	3.432149	15.000000	-3.880805	2.642502	81.076445	0.000000
29	Spectrogram 1	6	784.060000	784.870000	4000.000000	18000.000000	8000.000000	Trill	2.073436	13.383853	-2.902305	2.682230	54.938374	2.000000
30	Spectrogram 1	5	831.880000	832.290000	4000.000000	18000.000000	8000.000000	Trill	4.957293	6.973234	1.876275	3.851766	43.783096	0.000000
31	Spectrogram 1	6	848.300000	849.510000	4000.000000	18000.000000	8000.000000	Trill	3.427078	11.055639	-0.417063	2.908281	59.018509	1.000000
32	Spectrogram 1	5	856.640000	857.040000	4000.000000	18000.000000	8000.000000	Trill	11.942906	15.000000	4.492511	7.648402	129.659050	0.000000
33	Spectrogram 1	5	874.250000	874.520000	4000.000000	18000.000000	8000.000000	Twitter	4.771593	14.376887	1.247768	3.187018	47.935741	1.000000
34	Spectrogram 1	5	877.490000	877.980000	4000.000000	18000.000000	8000.000000	Trill	6.653436	11.473554	2.681110	3.363489	66.844766	0.000000
35	Spectrogram 1	5	891.550000	891.900000	4000.000000	18000.000000	8000.000000	Trill	4.819216	7.829639	4.327624	6.116261	51.862730	0.000000
36	Spectrogram 1	5	892.140000	892.170000	4000.000000	18000.000000	8000.000000	P-peep	4.993167	4.511956	3.669937	3.944473	51.152517	0.000000
37	Spectrogram 1	5	892.210000	892.430000	4000.000000	18000.000000	8000.000000	P-peep	8.936320	12.459211	11.264184	10.233086	105.130557	0.000000
38	Spectrogram 1	5	908.480000	908.920000	4000.000000	18000.000000	8000.000000	Trill	6.892161	8.226766	9.057959	1.617848	52.892835	0.000000
39	Spectrogram 1	6	952.860000	952.970000	4000.000000	18000.000000	8000.000000	Trill	4.225016	15.000000	-0.677499	4.628991	53.531386	1.000000
40	Spectrogram 1	6	953.030000	953.130000	4000.000000	18000.000000	8000.000000	Trill	2.301630	10.321333	-2.068965	4.565209	43.761921	2.000000
41	Spectrogram 1	6	985.420000	986.840000	4000.000000	18000.000000	8000.000000	Sd-peep	3.471920	20.840716	-3.042125	10.242653	89.245370	0.000000
42	Spectrogram 1	5	991.320000	991.900000	4000.000000	18000.000000	8000.000000	Trill	4.750486	11.870795	0.084865	3.098818	60.107741	1.000000
43	Spectrogram 1	6	995.360000	995.750000	4000.000000	18000.000000	8000.000000	Phee	3.600931	14.071282	-1.001519	4.202003	52.245329	1.000000
44	Spectrogram 1	6	999.700000	999.820000	4000.000000	18000.000000	8000.000000	Sd-peep	6.240388	14.484542	-0.205694	3.129137	89.538742	1.000000
45	Spectrogram 1	6	1062.840000	1063.000000	4000.000000	18000.000000	8000.000000	Sd-peep	5.696093	14.428290	-0.497244	2.677216	80.060089	1.000000
46	Spectrogram 1	6	1152.760000	1152.830000	4000.000000	18000.000000	8000.000000	Trill	2.761887	6.575807	-0.838181	4.737480	44.834477	1.000000
47	Spectrogram 1	5	1152.870000	1153.190000	4000.000000	18000.000000	8000.000000	P-peep	2.231124	5.901507	1.671367	4.790062	37.145356	2.000000
48	Spectrogram 1	5	1205.410000	1205.630000	4000.000000	18000.000000	8000.000000	Phee	3.408686	13.519283	1.193965	2.036085	64.947017	1.000000
49	Spectrogram 1	6	1213.710000	1213.810000	4000.000000	18000.000000	8000.000000	Phee	5.887115	15.000000	-1.777514	3.528341	89.054679	0.000000
50	Spectrogram 1	5	1239.380000	1239.510000	4000.000000	18000.000000	8000.000000	Sd-peep	3.822969	11.825183	0.473450	2.947017	62.682527	1.000000
51	Spectrogram 1	5	1316.620000	1316.690000	4000.000000	18000.000000	8000.000000	Trill	7.776070	7.471509	3.078418	7.475511	47.492168	0.000000
52	Spectrogram 1	5	1316.790000	1316.830000	4000.000000	18000.000000	8000.000000	Trill	4.965163	4.926770	2.240465	5.156196	41.105988	0.000000
53	Spectrogram 1	5	1391.190000	1391.280000	4000.000000	18000.000000	8000.000000	Trill	3.209111	3.643514	3.936465	4.130130	37.988562	0.000000
54	Spectrogram 1	5	1395.020000	1395.240000	4000.000000	18000.000000	8000.000000	Trill	2.309198	3.822378	4.269552	4.682536	33.122685	0.000000
55	Spectrogram 1	5	1395.280000	1395.500000	4000.000000	18000.000000	8000.000000	Phee	3.737096	3.937108	5.205013	5.227330	30.889233	0.000000
56	Spectrogram 1	5	1398.790000	1399.030000	4000.000000	18000.000000	8000.000000	Trill	4.881482	12.148124	2.757987	8.677517	71.484550	0.000000
57	Spectrogram 1	5	1400.560000	1400.680000	4000.000000	18000.000000	8000.000000	Trill	2.761822	6.048065	5.286133	5.169031	38.876153	0.000000
58	Spectrogram 1	5	1400.760000	1400.830000	4000.000000	18000.000000	8000.000000	Trill	3.278867	5.685092	5.071094	5.171612	38.905162	0.000000
59	Spectrogram 1	5	1400.900000	1400.980000	4000.000000	18000.000000	8000.000000	Trill	4.703350	7.460120	5.884312	5.645944	42.374481	0.000000
60	Spectrogram 1	5	1401.050000	1401.130000	4000.000000	18000.000000	8000.000000	Trill	4.003595	8.641942	7.249000	6.612699	46.106705	0.000000
61	Spectrogram 1	5	1401.190000	1401.270000	4000.000000	18000.000000	8000.000000	Trill	3.980104	8.590263	6.493336	7.032603	45.729417	0.000000
62	Spectrogram 1	5	1401.320000	1401.410000	4000.000000	18000.000000	8000.000000	Trill	4.550704	7.981492	6.592758	6.325271	46.339791	0.000000
63	Spectrogram 1	5	1401.440000	1401.540000	4000.000000	18000.000000	8000.000000	Trill	4.075126	6.196715	5.436730	5.845758	37.377820	0.000000
64	Spectrogram 1	5	1402.190000	1402.300000	4000.000000	18000.000000	8000.000000	P-peep	6.634691	17.759713	11.450138	15.198631	99.656203	0.000000
65	Spectrogram 1	5	1402.530000	1403.780000	4000.000000	18000.000000	8000.000000	Trill	4.425405	13.334816	4.564125	6.737937	75.170979	0.000000
66	Spectrogram 1	5	1403.990000	1404.040000	4000.000000	18000.000000	8000.000000	Trill	3.953617	5.429850	3.209142	3.675004	40.317544	0.000000
67	Spectrogram 1	5	1404.120000	1404.660000	4000.000000	18000.000000	8000.000000	Trill	3.873727	10.121360	4.098433	4.934252	52.823475	0.000000
68	Spectrogram 1	5	1405.130000	1405.320000	4000.000000	18000.000000	8000.000000	Trill	2.939371	6.493761	5.993025	6.436457	44.023962	0.000000
69	Spectrogram 1	5	1407.290000	1407.390000	4000.000000	18000.000000	8000.000000	Trill	1.642390	8.421978	1.789122	6.058129	54.562994	2.000000
70	Spectrogram 1	5	1407.650000	1407.740000	4000.000000	18000.000000	8000.000000	Trill	1.644311	8.248963	4.373769	6.747319	50.434161	0.000000
71	Spectrogram 1	5	1407.770000	1408.310000	4000.000000	18000.000000	8000.000000	Trill	1.292053	7.901281	3.214521	4.462545	42.512283	2.000000
72	Spectrogram 1	5	1408.870000	1408.950000	4000.000000	18000.000000	8000.000000	Phee	4.274882	6.877643	11.079298	12.560012	40.480133	0.000000
73	Spectrogram 1	5	1409.000000	1410.390000	4000.000000	18000.000000	8000.000000	Trill	2.806009	9.084496	4.031551	6.346936	48.611583	0.000000
74	Spectrogram 1	5	1411.010000	1412.060000	4000.000000	18000.000000	8000.000000	Trill	2.703366	10.268080	3.799135	5.757955	56.724117	0.000000
75	Spectrogram 1	5	1412.140000	1412.180000	4000.000000	18000.000000	8000.000000	P-peep	5.653454	5.273179	4.680297	4.198958	45.144785	0.000000
76	Spectrogram 1	5	1412.580000	1412.800000	4000.000000	18000.000000	8000.000000	Sd-peep	5.334028	12.391221	3.074142	5.825897	81.054684	0.000000
77	Spectrogram 1	5	1413.580000	1415.050000	4000.000000	18000.000000	8000.000000	Trill	3.600554	10.476965	5.823128	7.163677	45.698923	0.000000
78	Spectrogram 1	5	1415.080000	1415.130000	4000.000000	18000.000000	8000.000000	Trill	4.541587	9.403205	7.223778	8.255473	50.361771	0.000000
79	Spectrogram 1	6	1417.570000	1418.970000	4000.000000	18000.000000	8000.000000	Trillphee	1.394192	21.589922	-2.370343	9.146747	74.993839	2.000000
80	Spectrogram 1	5	1421.470000	1421.720000	4000.000000	18000.000000	8000.000000	Phee	6.501932	8.809655	7.523410	8.800089	52.654153	0.000000
81	Spectrogram 1	5	1422.500000	1422.740000	4000.000000	18000.000000	8000.000000	Trill	3.540724	8.423550	4.229385	4.960813	46.660899	0.000000
82	Spectrogram 1	5	1424.170000	1424.580000	4000.000000	18000.000000	8000.000000	Trill	4.152438	5.746651	5.312724	5.172943	37.958291	0.000000
83	Spectrogram 1	5	1424.790000	1424.930000	4000.000000	18000.000000	8000.000000	P-peep	3.561375	3.980707	4.420980	4.279158	38.159611	0.000000
84	Spectrogram 1	5	1426.000000	1426.900000	4000.000000	18000.000000	8000.000000	Trill	3.309459	10.419188	4.070834	7.118593	60.607573	0.000000
85	Spectrogram 1	5	1427.140000	1427.190000	4000.000000	18000.000000	8000.000000	Trill	2.329947	3.742658	8.104074	5.167003	35.505462	0.000000
86	Spectrogram 1	5	1429.690000	1429.890000	4000.000000	18000.000000	8000.000000	Sd-peep	5.170024	9.971393	5.171229	5.388523	62.648700	0.000000
87	Spectrogram 1	5	1436.190000	1436.280000	4000.000000	18000.000000	8000.000000	Trill	2.719688	5.967295	4.366195	4.582247	41.778045	0.000000
88	Spectrogram 1	5	1436.360000	1437.250000	4000.000000	18000.000000	8000.000000	Trill	6.115360	13.537320	2.795286	4.718862	88.865299	0.000000
89	Spectrogram 1	5	1438.610000	1438.790000	4000.000000	18000.000000	8000.000000	Phee	4.764367	15.000000	2.329357	3.898727	82.399726	0.000000
90	Spectrogram 1	6	1450.570000	1452.270000	4000.000000	18000.000000	8000.000000	Phee	1.286049	15.000000	-2.064604	10.161438	91.620564	2.000000
