Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Freq (Hz)	Call Type	Energy Diff	Energy Par	Energy Diff (wl)	Energy Par (wl)	AHR	Exception
1	Spectrogram 1	5	6.320000	6.720000	4000.000000	18000.000000	8000.000000	Trill	1.318968	13.839486	3.136459	6.162664	47.946244	2.000000
2	Spectrogram 1	6	27.150000	27.180000	4000.000000	18000.000000	8000.000000	Tse	14.589217	17.510654	-2.474716	-0.990312	60.177797	1.000000
3	Spectrogram 1	5	30.840000	30.910000	4000.000000	18000.000000	8000.000000	Trill	7.978622	10.673649	3.808673	2.118928	62.285107	0.000000
4	Spectrogram 1	5	42.100000	42.190000	4000.000000	18000.000000	8000.000000	Trill	9.261445	14.572590	0.951771	2.897148	77.175434	1.000000
5	Spectrogram 1	6	65.580000	65.700000	4000.000000	18000.000000	8000.000000	Trill	6.338721	9.522009	-11.906841	15.420122	70.497121	0.000000
6	Spectrogram 1	6	139.300000	139.370000	4000.000000	18000.000000	8000.000000	Sd-peep	8.959713	11.510073	-0.130326	0.035379	31.358696	1.000000
7	Spectrogram 1	6	142.680000	142.750000	4000.000000	18000.000000	8000.000000	Tse	7.692699	11.493240	-2.147884	0.650049	28.667349	1.000000
8	Spectrogram 1	6	182.230000	182.370000	4000.000000	18000.000000	8000.000000	Trill	1.741041	5.452736	-4.609302	3.849817	32.480765	2.000000
9	Spectrogram 1	5	267.520000	267.550000	4000.000000	18000.000000	8000.000000	Twitter	7.088281	15.064777	0.602382	2.695532	53.054749	1.000000
10	Spectrogram 1	5	307.100000	307.240000	4000.000000	18000.000000	8000.000000	Phee	13.460454	21.641884	4.355072	3.621057	122.135497	0.000000
11	Spectrogram 1	5	307.500000	307.620000	4000.000000	18000.000000	8000.000000	Sd-peep	5.681417	10.006827	5.227057	1.220146	55.766993	0.000000
12	Spectrogram 1	5	331.960000	332.010000	4000.000000	18000.000000	8000.000000	Sd-peep	4.666922	13.133307	2.410555	3.215994	63.911510	0.000000
13	Spectrogram 1	5	431.550000	431.570000	4000.000000	18000.000000	8000.000000	Tse	12.916688	20.384239	11.946584	0.194225	64.298044	0.000000
14	Spectrogram 1	5	431.680000	431.700000	4000.000000	18000.000000	8000.000000	Tse	8.088069	14.555989	8.072003	0.014445	49.081292	0.000000
15	Spectrogram 1	5	431.810000	431.840000	4000.000000	18000.000000	8000.000000	Twitter	8.244135	16.224705	8.594456	0.781212	62.964261	1.000000
16	Spectrogram 1	5	432.340000	432.460000	4000.000000	18000.000000	8000.000000	Trill	1.061278	7.930649	10.165232	8.869678	33.365615	0.000000
17	Spectrogram 1	5	432.500000	432.930000	4000.000000	18000.000000	8000.000000	Trill	1.483892	6.761182	9.180925	4.596321	28.395376	2.000000
18	Spectrogram 1	6	441.150000	441.200000	4000.000000	18000.000000	8000.000000	Trill	3.702154	7.261844	-3.675468	3.449975	46.142656	0.000000
19	Spectrogram 1	5	476.040000	477.320000	4000.000000	18000.000000	8000.000000	Phee	-4.557004	25.906535	3.061487	11.889338	34.438073	2.000000
20	Spectrogram 1	6	481.860000	481.960000	4000.000000	18000.000000	8000.000000	P-peep	3.489408	11.228553	-4.060071	4.160810	58.058172	0.000000
21	Spectrogram 1	6	491.730000	492.790000	4000.000000	18000.000000	8000.000000	Phee	-3.155361	21.618966	-2.761356	9.934622	31.492666	2.000000
22	Spectrogram 1	5	492.980000	493.030000	4000.000000	18000.000000	8000.000000	Sd-peep	8.608796	13.254885	0.406510	1.561176	58.968270	1.000000
23	Spectrogram 1	6	501.820000	501.870000	4000.000000	18000.000000	8000.000000	P-peep	2.274210	8.832073	-6.896563	6.579260	52.578333	0.000000
24	Spectrogram 1	6	505.590000	505.690000	4000.000000	18000.000000	8000.000000	Trill	6.738954	13.178973	-1.294416	3.556135	58.387912	0.000000
25	Spectrogram 1	5	509.860000	510.020000	4000.000000	18000.000000	8000.000000	Trill	5.364374	12.850841	2.009444	4.089946	51.898914	0.000000
26	Spectrogram 1	5	510.340000	510.410000	4000.000000	18000.000000	8000.000000	Sd-peep	8.430010	15.172997	2.497669	3.824903	51.603832	0.000000
27	Spectrogram 1	5	514.000000	514.070000	4000.000000	18000.000000	8000.000000	Trill	6.694103	11.105048	1.618253	2.907962	62.131117	0.000000
28	Spectrogram 1	5	588.780000	588.850000	4000.000000	18000.000000	8000.000000	Trill	4.625967	8.791629	2.568224	3.675693	41.765991	0.000000
29	Spectrogram 1	5	748.670000	748.770000	4000.000000	18000.000000	8000.000000	Tse	6.947148	13.907712	1.058465	2.764955	62.113129	1.000000
30	Spectrogram 1	5	752.470000	752.680000	4000.000000	18000.000000	8000.000000	Trill	5.405127	9.624001	2.326533	5.291695	44.428620	0.000000
31	Spectrogram 1	5	760.740000	760.810000	4000.000000	18000.000000	8000.000000	Trill	5.887326	11.633715	3.197166	9.374950	42.377927	0.000000
32	Spectrogram 1	5	760.910000	760.950000	4000.000000	18000.000000	8000.000000	Trill	4.402984	7.809387	3.541983	5.850105	38.431569	0.000000
33	Spectrogram 1	5	761.020000	761.150000	4000.000000	18000.000000	8000.000000	Trill	3.752847	7.000593	3.180942	4.824842	35.245391	0.000000
