Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Freq (Hz)	Call Type	Energy Diff	Energy Par	Energy Diff (wl)	Energy Par (wl)	AHR	Exception
1	Spectrogram 1	4	0.900000	1.680000	4000.000000	18000.000000	8000.000000	Trill	3.289958	10.721447	6.356393	6.133742	66.254282	0.000000
2	Spectrogram 1	4	1.790000	2.310000	4000.000000	18000.000000	8000.000000	Phee	1.491896	10.449631	7.839009	7.229048	70.483666	0.000000
3	Spectrogram 1	5	64.630000	64.860000	4000.000000	18000.000000	8000.000000	Trill	4.437366	8.162847	-2.131199	2.722956	50.916139	0.000000
4	Spectrogram 1	4	71.570000	71.630000	4000.000000	18000.000000	8000.000000	Sd-peep	6.089477	8.451205	0.903145	2.976576	69.275951	1.000000
5	Spectrogram 1	4	71.670000	71.720000	4000.000000	18000.000000	8000.000000	Trill	3.755006	6.086116	1.655429	2.577979	47.946103	1.000000
6	Spectrogram 1	4	71.810000	72.130000	4000.000000	18000.000000	8000.000000	Trill	5.913068	8.493065	2.038417	2.901546	48.487679	0.000000
7	Spectrogram 1	5	72.230000	72.390000	4000.000000	18000.000000	8000.000000	Trill	6.304215	11.157961	-2.685505	5.451441	43.591978	0.000000
8	Spectrogram 1	5	72.560000	72.660000	4000.000000	18000.000000	8000.000000	Twitter	4.932174	5.984179	-6.012179	4.617667	53.833831	0.000000
9	Spectrogram 1	5	72.730000	72.830000	4000.000000	18000.000000	8000.000000	Tse	9.964241	15.111114	-5.395789	11.124581	127.685864	0.000000
10	Spectrogram 1	5	72.900000	73.080000	4000.000000	18000.000000	8000.000000	Trill	3.840037	5.403294	-2.724456	4.670386	53.904012	0.000000
11	Spectrogram 1	5	73.220000	73.300000	4000.000000	18000.000000	8000.000000	Tse	9.461207	13.534841	-2.437113	11.874291	100.805830	0.000000
12	Spectrogram 1	5	73.360000	73.810000	4000.000000	18000.000000	8000.000000	Trill	6.009427	9.049124	-4.824833	7.308560	41.139957	0.000000
13	Spectrogram 1	4	73.900000	74.000000	4000.000000	18000.000000	8000.000000	Tse	6.646874	11.639954	5.474859	9.948332	66.591456	0.000000
14	Spectrogram 1	5	74.110000	74.610000	4000.000000	18000.000000	8000.000000	Trill	5.962114	10.451025	-6.473832	7.129664	48.345335	0.000000
15	Spectrogram 1	5	74.680000	74.780000	4000.000000	18000.000000	8000.000000	Tse	4.988076	15.255310	-0.750952	6.096007	76.928342	0.000000
16	Spectrogram 1	5	74.840000	75.370000	4000.000000	18000.000000	8000.000000	Trill	7.877820	14.261816	-3.918918	7.589696	58.763257	0.000000
17	Spectrogram 1	5	75.500000	75.610000	4000.000000	18000.000000	8000.000000	Tse	6.920109	18.977463	-4.876462	12.445379	98.565839	0.000000
18	Spectrogram 1	5	75.660000	76.390000	4000.000000	18000.000000	8000.000000	Trill	9.038309	16.330165	-7.361025	8.816883	56.311766	0.000000
19	Spectrogram 1	5	76.450000	76.690000	4000.000000	18000.000000	8000.000000	Tse	4.253787	14.993714	-5.909952	7.237965	67.640113	0.000000
20	Spectrogram 1	5	76.730000	77.110000	4000.000000	18000.000000	8000.000000	Trill	9.135052	14.712308	-3.163243	5.327030	81.302553	0.000000
21	Spectrogram 1	5	77.190000	77.340000	4000.000000	18000.000000	8000.000000	Tse	5.988929	18.590134	-4.295883	8.799711	87.793636	0.000000
22	Spectrogram 1	4	78.950000	79.440000	4000.000000	18000.000000	8000.000000	Trill	7.942056	14.776935	4.991442	3.585384	59.340545	0.000000
23	Spectrogram 1	4	80.740000	81.230000	4000.000000	18000.000000	8000.000000	Trill	5.877310	11.262818	0.709066	3.915846	64.194256	1.000000
24	Spectrogram 1	5	88.850000	89.210000	4000.000000	18000.000000	8000.000000	Trill	2.078486	8.910866	-3.864051	5.466964	44.261317	0.000000
25	Spectrogram 1	4	92.210000	92.440000	4000.000000	18000.000000	8000.000000	Trill	7.182282	12.573586	1.829183	4.959031	85.610429	0.000000
26	Spectrogram 1	5	93.950000	94.160000	4000.000000	18000.000000	8000.000000	Trill	3.058675	7.301583	-1.622408	2.140399	40.217162	1.000000
27	Spectrogram 1	4	94.490000	94.890000	4000.000000	18000.000000	8000.000000	Trill	5.119154	8.703887	2.001264	3.658585	49.015484	0.000000
28	Spectrogram 1	4	95.720000	96.000000	4000.000000	18000.000000	8000.000000	Trill	2.050713	6.167953	3.499680	4.303107	46.565139	0.000000
29	Spectrogram 1	4	98.260000	98.640000	4000.000000	18000.000000	8000.000000	Trill	1.550442	6.229625	3.194958	2.181093	33.468463	2.000000
30	Spectrogram 1	4	99.170000	99.600000	4000.000000	18000.000000	8000.000000	Trill	5.918782	9.677417	4.394046	5.237058	60.229866	0.000000
31	Spectrogram 1	4	99.780000	100.020000	4000.000000	18000.000000	8000.000000	Trill	3.355228	7.887720	3.849291	4.580474	51.876913	0.000000
32	Spectrogram 1	4	100.640000	101.120000	4000.000000	18000.000000	8000.000000	Trill	8.296277	13.030646	2.146713	4.335459	73.214176	0.000000
33	Spectrogram 1	4	102.030000	102.380000	4000.000000	18000.000000	8000.000000	Trill	7.954142	12.126943	2.334356	4.051715	70.571575	0.000000
