Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Freq (Hz)	Call Type	Energy Diff	Energy Par	AHR	Exception
1	Spectrogram 1	1	3.720000	4.106000	4000.000000	18000.000000	8000.000000	Trillphee	8.141062	-37.367989	34.956911	0
2	Spectrogram 1	1	4.176000	4.694000	4000.000000	18000.000000	8000.000000	Trillphee	12.109653	-34.089994	54.420625	0
3	Spectrogram 1	1	11.292000	11.966000	4000.000000	18000.000000	8000.000000	Trillphee	9.589696	-36.364593	38.777966	0
4	Spectrogram 1	1	19.758000	20.408000	4000.000000	18000.000000	8000.000000	Trillphee	13.817266	-34.015967	68.463611	0
5	Spectrogram 1	1	29.430000	30.242000	4000.000000	18000.000000	8000.000000	Trillphee	20.425702	-27.482575	100.683438	0
6	Spectrogram 1	1	58.200000	58.622000	4000.000000	18000.000000	8000.000000	Trillphee	17.494318	-33.847948	73.894712	0
7	Spectrogram 1	1	64.398000	64.964000	4000.000000	18000.000000	8000.000000	Trillphee	14.971651	-37.249975	44.162553	0
8	Spectrogram 1	1	65.316000	65.498000	4000.000000	18000.000000	8000.000000	Trillphee	15.101745	-36.707791	45.889346	0
9	Spectrogram 1	1	66.702000	66.752000	4000.000000	18000.000000	8000.000000	Trill	15.094237	-38.995404	33.495248	0
10	Spectrogram 1	1	68.160000	68.618000	4000.000000	18000.000000	8000.000000	Trill	5.385839	-37.922918	35.430366	0
11	Spectrogram 1	1	68.850000	69.200000	4000.000000	18000.000000	8000.000000	Trill	12.002338	-36.451374	35.332620	0
12	Spectrogram 1	1	69.342000	69.392000	4000.000000	18000.000000	8000.000000	Trill	16.225949	-36.755665	40.938991	0
13	Spectrogram 1	1	69.720000	69.926000	4000.000000	18000.000000	8000.000000	Trill	11.130299	-34.739526	31.598415	3
14	Spectrogram 1	1	70.038000	70.196000	4000.000000	18000.000000	8000.000000	Trillphee	15.637413	-30.813521	51.602785	0
15	Spectrogram 1	1	70.488000	70.790000	4000.000000	18000.000000	8000.000000	Trill	13.070501	-37.641770	36.732779	0
16	Spectrogram 1	1	71.196000	71.264000	4000.000000	18000.000000	8000.000000	Trill	13.686066	-38.540008	34.485986	0
17	Spectrogram 1	1	71.316000	71.372000	4000.000000	18000.000000	8000.000000	Trill	13.797006	-37.431986	36.695544	0
18	Spectrogram 1	1	71.772000	72.116000	4000.000000	18000.000000	8000.000000	Trill	14.341752	-37.249031	39.105749	0
19	Spectrogram 1	1	72.558000	72.782000	4000.000000	18000.000000	8000.000000	Trill	12.140904	-35.188305	46.938492	0
20	Spectrogram 1	1	72.894000	73.172000	4000.000000	18000.000000	8000.000000	Trillphee	11.567837	-31.688050	58.785286	0
21	Spectrogram 1	1	73.992000	74.318000	4000.000000	18000.000000	8000.000000	Trill	12.206653	-36.834739	41.647631	0
22	Spectrogram 1	1	74.514000	74.618000	4000.000000	18000.000000	8000.000000	Trill	9.862233	-36.218095	40.971791	0
23	Spectrogram 1	1	74.922000	74.990000	4000.000000	18000.000000	8000.000000	Trill	10.698148	-37.143351	32.857565	0
24	Spectrogram 1	1	76.914000	77.072000	4000.000000	18000.000000	8000.000000	Trillphee	15.564876	-36.173449	46.627429	0
25	Spectrogram 1	1	77.166000	77.270000	4000.000000	18000.000000	8000.000000	Trill	12.192540	-36.035519	44.533174	0
26	Spectrogram 1	1	77.778000	77.852000	4000.000000	18000.000000	8000.000000	Trill	12.973615	-35.849172	39.031531	0
27	Spectrogram 1	1	79.956000	80.042000	4000.000000	18000.000000	8000.000000	Trill	10.371199	-32.229307	44.168433	0
28	Spectrogram 1	1	82.914000	83.018000	4000.000000	18000.000000	8000.000000	Trillphee	15.132404	-39.020339	31.219036	3
29	Spectrogram 1	1	90.306000	90.380000	4000.000000	18000.000000	8000.000000	Trill	16.963429	-37.650731	45.855758	0
30	Spectrogram 1	1	90.462000	91.202000	4000.000000	18000.000000	8000.000000	Trillphee	14.252980	-34.931713	56.285538	0
31	Spectrogram 1	1	97.656000	97.808000	4000.000000	18000.000000	8000.000000	Trillphee	15.128727	-37.449732	34.120280	0
32	Spectrogram 1	1	97.860000	97.946000	4000.000000	18000.000000	8000.000000	Trillphee	11.410429	-36.948351	34.868550	0
33	Spectrogram 1	2	67.206000	67.358000	4000.000000	18000.000000	8000.000000	Trill	14.615727	-36.925158	38.365653	0
34	Spectrogram 1	2	67.380000	67.484000	4000.000000	18000.000000	8000.000000	Trill	15.146123	-35.944156	48.513021	0
35	Spectrogram 1	2	67.524000	67.598000	4000.000000	18000.000000	8000.000000	Trill	13.388896	-36.812962	39.456912	0
36	Spectrogram 1	2	67.770000	67.862000	4000.000000	18000.000000	8000.000000	Trill	13.003623	-35.138204	57.284139	0
37	Spectrogram 1	2	67.914000	68.018000	4000.000000	18000.000000	8000.000000	Trill	14.072501	-34.425997	66.648080	0
38	Spectrogram 1	2	68.058000	68.318000	4000.000000	18000.000000	8000.000000	Trill	10.824075	-36.371105	46.176595	0
39	Spectrogram 1	2	68.370000	68.462000	4000.000000	18000.000000	8000.000000	Trill	13.543743	-36.744606	52.347532	0
40	Spectrogram 1	2	68.514000	68.606000	4000.000000	18000.000000	8000.000000	Trill	13.418806	-35.911464	58.159993	0
41	Spectrogram 1	2	68.658000	68.768000	4000.000000	18000.000000	8000.000000	Trill	15.177060	-35.746163	41.943054	0
42	Spectrogram 1	2	68.838000	68.930000	4000.000000	18000.000000	8000.000000	Trill	17.242979	-35.174724	66.916293	0
43	Spectrogram 1	4	7.302000	7.412000	4000.000000	18000.000000	8000.000000	Trill	6.142148	-35.710508	56.723493	0
