Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Freq (Hz)	Call Type	Energy Diff	Energy Par	AHR	Exception
1	Spectrogram 1	1	0.006000	0.254000	4000.000000	18000.000000	8000.000000	Phee	5.908341	-34.668010	65.728590	1
2	Spectrogram 1	1	0.330000	0.518000	4000.000000	18000.000000	8000.000000	Phee	4.912809	-34.969361	58.018486	1
3	Spectrogram 1	1	8.346000	8.528000	4000.000000	18000.000000	8000.000000	Trillphee	11.527115	-31.120476	95.150281	0
4	Spectrogram 1	1	8.550000	9.434000	4000.000000	18000.000000	8000.000000	Phee	10.313010	-30.664780	132.116100	0
5	Spectrogram 1	1	15.810000	17.156000	4000.000000	18000.000000	8000.000000	Phee	6.219444	-33.029096	73.893585	0
6	Spectrogram 1	1	18.468000	18.596000	4000.000000	18000.000000	8000.000000	Trillphee	17.753556	-36.566632	43.782326	0
7	Spectrogram 1	1	18.636000	18.746000	4000.000000	18000.000000	8000.000000	Trillphee	9.627950	-35.335804	42.404341	0
8	Spectrogram 1	1	18.858000	19.262000	4000.000000	18000.000000	8000.000000	Trillphee	6.991415	-35.825532	49.728678	0
9	Spectrogram 1	1	19.518000	19.862000	4000.000000	18000.000000	8000.000000	Trillphee	8.844822	-34.469813	63.807868	0
10	Spectrogram 1	1	20.196000	20.684000	4000.000000	18000.000000	8000.000000	Trill	11.105430	-34.223916	67.058016	0
11	Spectrogram 1	1	20.994000	21.230000	4000.000000	18000.000000	8000.000000	Trill	5.818278	-37.845901	44.861240	1
12	Spectrogram 1	1	21.744000	21.878000	4000.000000	18000.000000	8000.000000	Trillphee	9.162841	-31.412730	67.704017	0
13	Spectrogram 1	1	22.098000	22.172000	4000.000000	18000.000000	8000.000000	Trill	7.038431	-36.938913	36.494531	0
14	Spectrogram 1	1	22.260000	22.316000	4000.000000	18000.000000	8000.000000	Trill	13.547479	-35.132119	93.123411	0
15	Spectrogram 1	1	22.692000	23.000000	4000.000000	18000.000000	8000.000000	Trill	12.269082	-36.199915	44.993948	0
16	Spectrogram 1	1	29.490000	31.676000	4000.000000	18000.000000	8000.000000	Phee	6.622284	-26.858205	103.784856	0
17	Spectrogram 1	1	34.494000	34.622000	4000.000000	18000.000000	8000.000000	Trillphee	10.882843	-32.066664	74.847417	0
18	Spectrogram 1	1	34.662000	34.916000	4000.000000	18000.000000	8000.000000	Phee	13.226732	-34.783739	58.921869	0
19	Spectrogram 1	1	35.034000	35.264000	4000.000000	18000.000000	8000.000000	Phee	8.610112	-33.499382	64.259327	0
20	Spectrogram 1	1	35.730000	35.990000	4000.000000	18000.000000	8000.000000	Trill	10.116783	-33.365843	61.410832	0
21	Spectrogram 1	1	38.826000	40.616000	4000.000000	18000.000000	8000.000000	Trillphee	5.214133	-24.587437	86.180043	1
22	Spectrogram 1	1	40.854000	41.270000	4000.000000	18000.000000	8000.000000	Phee	8.414654	-31.702408	67.741085	0
23	Spectrogram 1	1	47.292000	49.454000	4000.000000	18000.000000	8000.000000	Phee	10.139836	-29.088102	123.643737	0
24	Spectrogram 1	1	60.966000	62.690000	4000.000000	18000.000000	8000.000000	Phee	7.342071	-23.946606	115.571508	0
25	Spectrogram 1	1	78.102000	78.194000	4000.000000	18000.000000	8000.000000	Trill	9.723501	-36.230771	34.078145	0
26	Spectrogram 1	1	78.300000	78.950000	4000.000000	18000.000000	8000.000000	Phee	10.051105	-28.620190	93.175070	0
27	Spectrogram 1	1	117.112000	118.116000	4000.000000	18000.000000	8000.000000	Phee	7.244649	-34.108969	70.957922	0
28	Spectrogram 1	1	124.858000	125.400000	4000.000000	18000.000000	8000.000000	Trillphee	5.218989	-34.429219	56.723595	1
29	Spectrogram 1	1	126.046000	126.120000	4000.000000	18000.000000	8000.000000	Trill	9.728571	-37.119852	36.971217	0
30	Spectrogram 1	1	132.556000	132.684000	4000.000000	18000.000000	8000.000000	Trillphee	11.312838	-34.622029	67.767878	0
31	Spectrogram 1	1	132.736000	132.984000	4000.000000	18000.000000	8000.000000	Phee	11.788847	-26.785612	106.672187	0
32	Spectrogram 1	1	133.030000	133.230000	4000.000000	18000.000000	8000.000000	Phee	14.501403	-26.114315	159.748288	0
33	Spectrogram 1	1	148.288000	148.464000	4000.000000	18000.000000	8000.000000	Trill	9.706504	-30.476481	82.371381	0
34	Spectrogram 1	1	148.510000	149.250000	4000.000000	18000.000000	8000.000000	Phee	12.985700	-24.341397	146.094480	0
35	Spectrogram 1	1	157.810000	159.612000	4000.000000	18000.000000	8000.000000	Phee	7.768570	-31.773404	66.723597	0
36	Spectrogram 1	1	165.724000	165.786000	4000.000000	18000.000000	8000.000000	Trill	8.445761	-37.766364	31.977508	3
37	Spectrogram 1	1	168.436000	170.226000	4000.000000	18000.000000	8000.000000	Phee	10.774421	-26.152718	139.278884	0
38	Spectrogram 1	1	180.820000	182.418000	4000.000000	18000.000000	8000.000000	Phee	13.535574	-26.178171	156.565227	0
39	Spectrogram 1	1	189.580000	189.822000	4000.000000	18000.000000	8000.000000	Phee	13.524593	-32.747985	93.974309	0
40	Spectrogram 1	1	189.874000	191.034000	4000.000000	18000.000000	8000.000000	Phee	5.704429	-33.002663	65.044076	1
41	Spectrogram 1	1	195.796000	196.314000	4000.000000	18000.000000	8000.000000	Phee	6.778248	-33.986846	60.022719	0
42	Spectrogram 1	1	197.728000	197.958000	4000.000000	18000.000000	8000.000000	Phee	9.183820	-33.932138	68.694473	0
43	Spectrogram 1	1	198.034000	198.114000	4000.000000	18000.000000	8000.000000	Trillphee	9.544161	-35.423623	53.737762	0
44	Spectrogram 1	1	200.438000	200.674000	4000.000000	18000.000000	8000.000000	Trillphee	10.648018	-33.235482	65.990911	0
45	Spectrogram 1	1	200.888000	201.142000	4000.000000	18000.000000	8000.000000	Phee	7.660016	-32.131608	51.600897	0
46	Spectrogram 1	1	201.422000	201.466000	4000.000000	18000.000000	8000.000000	Trill	6.783696	-29.887881	34.868210	0
47	Spectrogram 1	1	203.204000	203.584000	4000.000000	18000.000000	8000.000000	Phee	12.247046	-29.956641	84.139750	0
48	Spectrogram 1	1	204.638000	204.778000	4000.000000	18000.000000	8000.000000	Trillphee	9.568411	-32.812793	65.228695	0
49	Spectrogram 1	1	204.800000	204.874000	4000.000000	18000.000000	8000.000000	Trill	11.177954	-35.339518	45.213916	0
50	Spectrogram 1	1	204.902000	204.976000	4000.000000	18000.000000	8000.000000	Trillphee	9.740783	-32.975852	42.088541	0
51	Spectrogram 1	1	205.046000	205.132000	4000.000000	18000.000000	8000.000000	Trillphee	10.852771	-30.250266	67.733674	0
52	Spectrogram 1	1	205.190000	205.282000	4000.000000	18000.000000	8000.000000	Trillphee	7.646045	-33.809398	51.353579	0
53	Spectrogram 1	1	205.340000	205.414000	4000.000000	18000.000000	8000.000000	Trillphee	15.691289	-31.750382	85.975530	0
