Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Freq (Hz)	Call Type	Energy Diff	Energy Par	Energy Diff (wl)	Energy Par (wl)	AHR	Exception
1	Spectrogram 1	1	47.610000	48.620000	4000.000000	18000.000000	8000.000000	Trill	16.227511	33.135471	NaN	NaN	170.944809	0.000000
2	Spectrogram 1	1	60.010000	60.160000	4000.000000	18000.000000	8000.000000	Phee	6.545788	30.569741	NaN	NaN	171.205145	0.000000
3	Spectrogram 1	1	61.260000	62.520000	4000.000000	18000.000000	8000.000000	Twitter	6.562371	23.079873	NaN	NaN	40.103755	0.000000
4	Spectrogram 1	1	84.560000	85.590000	4000.000000	18000.000000	8000.000000	Phee	17.763407	39.636333	NaN	NaN	28.516948	0.000000
5	Spectrogram 1	1	86.950000	87.900000	4000.000000	18000.000000	8000.000000	Phee	21.641044	36.889853	NaN	NaN	39.030478	0.000000
6	Spectrogram 1	1	136.360000	137.250000	4000.000000	18000.000000	8000.000000	Trillphee	9.437835	25.861490	NaN	NaN	48.079636	0.000000
7	Spectrogram 1	1	137.510000	138.470000	4000.000000	18000.000000	8000.000000	Phee	10.732456	25.046648	NaN	NaN	41.178922	0.000000
8	Spectrogram 1	1	138.770000	139.640000	4000.000000	18000.000000	8000.000000	Phee	8.910505	24.519388	NaN	NaN	36.442515	0.000000
9	Spectrogram 1	1	161.980000	163.080000	4000.000000	18000.000000	8000.000000	Trill	11.348654	28.517822	NaN	NaN	74.780264	0.000000
10	Spectrogram 1	1	163.130000	163.480000	4000.000000	18000.000000	8000.000000	Trill	12.340339	28.179690	NaN	NaN	83.238874	0.000000
11	Spectrogram 1	1	163.550000	163.720000	4000.000000	18000.000000	8000.000000	Trill	13.231614	24.663804	NaN	NaN	121.023831	0.000000
12	Spectrogram 1	1	173.410000	173.880000	4000.000000	18000.000000	8000.000000	Trill	11.677058	31.315011	NaN	NaN	79.959935	0.000000
13	Spectrogram 1	1	174.000000	174.620000	4000.000000	18000.000000	8000.000000	Trill	15.182413	38.461709	NaN	NaN	108.109851	0.000000
14	Spectrogram 1	1	174.770000	175.140000	4000.000000	18000.000000	8000.000000	Trill	12.557650	32.068132	NaN	NaN	122.461281	0.000000
15	Spectrogram 1	1	175.180000	175.410000	4000.000000	18000.000000	8000.000000	Phee	5.074763	9.754740	NaN	NaN	63.438563	0.000000
16	Spectrogram 1	1	176.470000	178.610000	4000.000000	18000.000000	8000.000000	Trill	6.610598	23.958451	NaN	NaN	56.974486	0.000000
17	Spectrogram 1	1	178.700000	179.130000	4000.000000	18000.000000	8000.000000	Trill	9.990054	28.295966	NaN	NaN	106.601179	0.000000
18	Spectrogram 1	1	180.060000	180.340000	4000.000000	18000.000000	8000.000000	Trill	4.739008	20.386270	NaN	NaN	49.576405	0.000000
19	Spectrogram 1	1	181.120000	181.260000	4000.000000	18000.000000	8000.000000	Sd-peep	7.307886	30.178746	NaN	NaN	41.280036	0.000000
20	Spectrogram 1	1	186.760000	186.980000	4000.000000	18000.000000	8000.000000	Phee	9.104168	11.231575	NaN	NaN	41.140639	0.000000
21	Spectrogram 1	1	187.500000	188.090000	4000.000000	18000.000000	8000.000000	Trill	14.462753	35.506437	NaN	NaN	118.171776	0.000000
22	Spectrogram 1	1	188.280000	188.750000	4000.000000	18000.000000	8000.000000	Trill	17.524685	36.874448	NaN	NaN	89.324777	0.000000
23	Spectrogram 1	1	188.870000	189.330000	4000.000000	18000.000000	8000.000000	Trill	18.169483	35.468323	NaN	NaN	94.957935	0.000000
24	Spectrogram 1	1	189.440000	189.900000	4000.000000	18000.000000	8000.000000	Trill	15.297539	36.066924	NaN	NaN	123.056002	0.000000
25	Spectrogram 1	1	190.020000	190.360000	4000.000000	18000.000000	8000.000000	Trill	13.182739	34.791062	NaN	NaN	153.740311	0.000000
26	Spectrogram 1	1	193.430000	193.550000	4000.000000	18000.000000	8000.000000	Trill	12.885830	12.742984	NaN	NaN	46.390808	0.000000
27	Spectrogram 1	1	194.360000	194.650000	4000.000000	18000.000000	8000.000000	Sd-peep	6.560743	22.077855	NaN	NaN	41.403543	0.000000
28	Spectrogram 1	1	195.080000	195.240000	4000.000000	18000.000000	8000.000000	Sd-peep	6.595845	28.456434	NaN	NaN	37.970605	0.000000
29	Spectrogram 1	1	196.780000	196.990000	4000.000000	18000.000000	8000.000000	Phee	12.685957	13.794850	NaN	NaN	39.191814	0.000000
30	Spectrogram 1	1	202.810000	203.240000	4000.000000	18000.000000	8000.000000	Phee	6.117909	15.027730	NaN	NaN	39.164831	0.000000
31	Spectrogram 1	1	203.530000	203.790000	4000.000000	18000.000000	8000.000000	Sd-peep	7.775940	22.814549	NaN	NaN	30.851446	0.000000
32	Spectrogram 1	1	205.210000	206.000000	4000.000000	18000.000000	8000.000000	Trill	10.204822	27.751674	NaN	NaN	59.398803	0.000000
33	Spectrogram 1	1	206.090000	206.730000	4000.000000	18000.000000	8000.000000	Trill	12.843667	34.562444	NaN	NaN	69.394693	0.000000
34	Spectrogram 1	1	206.900000	207.450000	4000.000000	18000.000000	8000.000000	Trill	14.755482	37.205996	NaN	NaN	96.370669	0.000000
35	Spectrogram 1	1	207.580000	208.100000	4000.000000	18000.000000	8000.000000	Trill	12.103518	31.528222	NaN	NaN	81.975356	0.000000
36	Spectrogram 1	1	210.020000	210.230000	4000.000000	18000.000000	8000.000000	Sd-peep	8.753463	27.515478	NaN	NaN	32.081503	0.000000
37	Spectrogram 1	1	210.640000	210.790000	4000.000000	18000.000000	8000.000000	Sd-peep	10.440620	27.953047	NaN	NaN	49.211414	0.000000
38	Spectrogram 1	1	215.170000	215.440000	4000.000000	18000.000000	8000.000000	Trill	10.074809	14.695283	NaN	NaN	39.457834	0.000000
39	Spectrogram 1	1	222.420000	222.710000	4000.000000	18000.000000	8000.000000	Twitter	6.725077	19.298791	NaN	NaN	33.688700	0.000000
40	Spectrogram 1	1	222.750000	222.880000	4000.000000	18000.000000	8000.000000	Trillphee	4.130959	16.040993	NaN	NaN	48.863324	0.000000
41	Spectrogram 1	1	224.120000	224.330000	4000.000000	18000.000000	8000.000000	Phee	9.610162	12.199264	NaN	NaN	42.827050	0.000000
42	Spectrogram 1	1	224.950000	225.600000	4000.000000	18000.000000	8000.000000	Trill	11.958736	35.128217	NaN	NaN	115.044164	0.000000
43	Spectrogram 1	1	225.750000	226.410000	4000.000000	18000.000000	8000.000000	Trill	13.031769	35.474263	NaN	NaN	81.592394	0.000000
44	Spectrogram 1	1	226.510000	226.960000	4000.000000	18000.000000	8000.000000	Trill	12.008088	30.388175	NaN	NaN	79.453595	0.000000
45	Spectrogram 1	1	229.790000	229.890000	4000.000000	18000.000000	8000.000000	Trill	9.264780	13.262588	NaN	NaN	43.922501	0.000000
46	Spectrogram 1	1	230.360000	230.660000	4000.000000	18000.000000	8000.000000	Trill	9.291921	24.406925	NaN	NaN	31.991815	0.000000
47	Spectrogram 1	1	231.210000	231.580000	4000.000000	18000.000000	8000.000000	Trillphee	4.433348	13.811997	NaN	NaN	43.674344	0.000000
48	Spectrogram 1	1	233.530000	233.830000	4000.000000	18000.000000	8000.000000	Trill	10.328887	12.622446	NaN	NaN	37.996290	0.000000
49	Spectrogram 1	1	238.010000	238.300000	4000.000000	18000.000000	8000.000000	Trill	10.062531	13.039544	NaN	NaN	37.365287	0.000000
50	Spectrogram 1	1	247.120000	247.630000	4000.000000	18000.000000	8000.000000	Trill	12.173162	30.537894	NaN	NaN	50.112136	0.000000
51	Spectrogram 1	1	247.700000	248.270000	4000.000000	18000.000000	8000.000000	Trill	17.358387	36.129562	NaN	NaN	86.257624	0.000000
52	Spectrogram 1	1	248.410000	249.030000	4000.000000	18000.000000	8000.000000	Trill	16.690367	36.834106	NaN	NaN	96.413941	0.000000
