Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Freq (Hz)	Call Type	Energy Diff	Energy Par	AHR	Exception
1	Spectrogram 1	1	74.154000	74.210000	4000.000000	18000.000000	8000.000000	Phee	5.658502	12.820724	88.228345	2.942770
2	Spectrogram 1	1	154.870000	155.310000	4000.000000	18000.000000	8000.000000	Trill	9.124204	20.798133	82.139387	4.005236
3	Spectrogram 1	1	155.458000	155.874000	4000.000000	18000.000000	8000.000000	Trill	9.736641	26.404563	111.186392	4.947490
4	Spectrogram 1	1	155.944000	156.666000	4000.000000	18000.000000	8000.000000	Trill	8.574025	23.773858	80.033784	3.768332
5	Spectrogram 1	1	161.248000	162.162000	4000.000000	18000.000000	8000.000000	Trill	12.835144	32.298235	92.031109	5.396242
6	Spectrogram 1	1	162.262000	162.912000	4000.000000	18000.000000	8000.000000	Trill	11.814238	29.331658	102.456094	5.415284
7	Spectrogram 1	1	162.946000	163.464000	4000.000000	18000.000000	8000.000000	Trill	9.598930	27.610034	97.061648	4.576660
8	Spectrogram 1	1	163.498000	163.902000	4000.000000	18000.000000	8000.000000	Trill	10.522620	30.124978	100.275208	4.957859
9	Spectrogram 1	1	163.954000	164.148000	4000.000000	18000.000000	8000.000000	Trill	8.847722	19.725443	83.753753	3.968696
10	Spectrogram 1	1	166.576000	166.704000	4000.000000	18000.000000	8000.000000	Phee	11.388710	15.377598	44.383610	2.082206
11	Spectrogram 1	1	170.062000	170.166000	4000.000000	18000.000000	8000.000000	Phee	8.796965	13.757851	47.696877	2.110728
12	Spectrogram 1	1	171.052000	171.174000	4000.000000	18000.000000	8000.000000	Sd-peep	8.702110	29.912977	51.873282	2.456053
13	Spectrogram 1	1	171.202000	171.234000	4000.000000	18000.000000	8000.000000	Twitter	6.744355	23.852620	27.323654	0.198807
14	Spectrogram 1	1	171.448000	171.504000	4000.000000	18000.000000	8000.000000	Trill	5.700689	9.831910	42.390558	1.068951
15	Spectrogram 1	1	171.538000	171.702000	4000.000000	18000.000000	8000.000000	Sd-peep	8.163910	30.197981	44.294549	1.643767
16	Spectrogram 1	1	171.712000	172.440000	4000.000000	18000.000000	8000.000000	Twitter	9.727588	29.669781	96.192129	4.596662
17	Spectrogram 1	1	172.546000	173.184000	4000.000000	18000.000000	8000.000000	Trill	6.823076	27.655778	80.627483	3.206475
18	Spectrogram 1	1	173.260000	174.174000	4000.000000	18000.000000	8000.000000	Trill	8.410208	24.860393	80.286821	3.724800
19	Spectrogram 1	1	174.220000	174.552000	4000.000000	18000.000000	8000.000000	Trill	12.846696	27.083303	141.148510	6.591138
20	Spectrogram 1	1	174.574000	174.774000	4000.000000	18000.000000	8000.000000	Trill	14.590563	28.247567	142.555470	7.171679
21	Spectrogram 1	1	175.840000	176.064000	4000.000000	18000.000000	8000.000000	Sd-peep	8.342542	23.152937	40.563009	1.131677
22	Spectrogram 1	1	176.944000	178.704000	4000.000000	18000.000000	8000.000000	Trill	6.516315	24.310807	48.850105	1.783407
23	Spectrogram 1	1	178.780000	179.646000	4000.000000	18000.000000	8000.000000	Phee	11.972920	31.470363	73.444094	4.452395
24	Spectrogram 1	1	179.686000	180.330000	4000.000000	18000.000000	8000.000000	Phee	12.002009	31.190316	78.393081	4.674636
25	Spectrogram 1	1	180.412000	180.996000	4000.000000	18000.000000	8000.000000	Trill	10.559572	29.448533	78.021388	4.278741
26	Spectrogram 1	1	181.042000	181.632000	4000.000000	18000.000000	8000.000000	Trill	10.224295	30.091911	89.974196	4.581713
27	Spectrogram 1	1	181.696000	181.872000	4000.000000	18000.000000	8000.000000	Trill	12.210347	24.430007	119.810511	5.958201
28	Spectrogram 1	1	184.864000	185.088000	4000.000000	18000.000000	8000.000000	Sd-peep	8.569972	24.704111	38.709676	0.783928
29	Spectrogram 1	1	185.122000	185.178000	4000.000000	18000.000000	8000.000000	Trill	9.575704	12.810592	57.618562	3.042166
30	Spectrogram 1	1	185.242000	186.516000	4000.000000	18000.000000	8000.000000	Sd-peep	8.714296	27.139244	53.932744	2.609707
31	Spectrogram 1	1	186.538000	187.242000	4000.000000	18000.000000	8000.000000	Sd-peep	8.905884	21.780031	51.824801	2.492711
32	Spectrogram 1	1	187.312000	187.506000	4000.000000	18000.000000	8000.000000	Sd-peep	6.465970	22.054553	41.597395	1.079043
33	Spectrogram 1	1	188.080000	188.280000	4000.000000	18000.000000	8000.000000	Sd-peep	10.523464	18.138879	46.303896	2.226744
34	Spectrogram 1	1	189.856000	190.020000	4000.000000	18000.000000	8000.000000	Sd-peep	9.428865	27.766425	43.584969	1.723511
35	Spectrogram 1	1	190.048000	190.098000	4000.000000	18000.000000	8000.000000	Trillphee	12.182889	14.484530	45.514853	2.345000
36	Spectrogram 1	1	190.156000	190.206000	4000.000000	18000.000000	8000.000000	Trillphee	8.674677	11.961822	64.444882	3.199867
37	Spectrogram 1	1	190.264000	190.980000	4000.000000	18000.000000	8000.000000	Sd-peep	10.185021	28.901849	52.951766	2.830197
38	Spectrogram 1	1	191.296000	191.430000	4000.000000	18000.000000	8000.000000	Sd-peep	11.593504	23.843915	59.322408	3.582282
39	Spectrogram 1	1	193.594000	193.758000	4000.000000	18000.000000	8000.000000	Sd-peep	8.249319	26.664183	40.840435	1.169640
40	Spectrogram 1	1	193.966000	194.118000	4000.000000	18000.000000	8000.000000	Sd-peep	11.500518	26.598323	60.701916	3.654604
41	Spectrogram 1	1	194.218000	194.358000	4000.000000	18000.000000	8000.000000	Sd-peep	11.743723	26.872899	77.658025	4.578306
42	Spectrogram 1	1	194.578000	194.754000	4000.000000	18000.000000	8000.000000	Sd-peep	8.653224	22.389820	48.809132	2.190741
43	Spectrogram 1	1	198.082000	198.564000	4000.000000	18000.000000	8000.000000	Sd-peep	7.063270	24.020838	42.725251	1.299091
44	Spectrogram 1	1	198.814000	199.464000	4000.000000	18000.000000	8000.000000	Trill	10.523707	27.167816	98.458854	4.911086
45	Spectrogram 1	1	199.534000	199.980000	4000.000000	18000.000000	8000.000000	Trill	14.438641	34.633069	100.330785	6.092208
46	Spectrogram 1	1	200.006000	200.332000	4000.000000	18000.000000	8000.000000	Trill	10.469454	27.119030	81.888202	4.394489
47	Spectrogram 1	1	200.366000	200.908000	4000.000000	18000.000000	8000.000000	Phee	13.362584	29.952040	76.666495	4.932798
48	Spectrogram 1	1	200.936000	201.454000	4000.000000	18000.000000	8000.000000	Phee	14.160951	29.675658	93.330651	5.789443
49	Spectrogram 1	1	201.500000	201.730000	4000.000000	18000.000000	8000.000000	Trill	13.227073	31.309110	142.165255	6.734408
50	Spectrogram 1	1	203.684000	203.824000	4000.000000	18000.000000	8000.000000	Sd-peep	9.209280	28.291949	39.125623	0.920578
51	Spectrogram 1	1	203.864000	203.920000	4000.000000	18000.000000	8000.000000	Trill	6.536819	13.922776	55.249695	2.187824
52	Spectrogram 1	1	203.966000	204.010000	4000.000000	18000.000000	8000.000000	Trill	6.016074	11.985559	64.991877	2.462659
53	Spectrogram 1	1	204.242000	204.418000	4000.000000	18000.000000	8000.000000	Sd-peep	7.890181	25.016112	42.799078	1.418599
54	Spectrogram 1	1	204.440000	204.580000	4000.000000	18000.000000	8000.000000	Sd-peep	12.639015	22.304439	67.091889	4.283848
55	Spectrogram 1	1	205.244000	206.008000	4000.000000	18000.000000	8000.000000	Sd-peep	8.089528	23.270501	44.075785	1.606877
56	Spectrogram 1	1	206.066000	206.110000	4000.000000	18000.000000	8000.000000	Trill	10.349996	12.158604	38.172888	0.749700
57	Spectrogram 1	1	206.348000	206.488000	4000.000000	18000.000000	8000.000000	Sd-peep	8.694893	24.903267	65.044200	3.233171
58	Spectrogram 1	1	206.864000	207.016000	4000.000000	18000.000000	8000.000000	Sd-peep	9.404079	23.009875	49.297864	2.368884
59	Spectrogram 1	1	207.140000	207.448000	4000.000000	18000.000000	8000.000000	Sd-peep	8.805497	22.090034	53.113087	2.570137
60	Spectrogram 1	1	208.808000	208.960000	4000.000000	18000.000000	8000.000000	Sd-peep	8.436061	25.627942	46.557607	1.935999
61	Spectrogram 1	1	217.820000	217.942000	4000.000000	18000.000000	8000.000000	Sd-peep	10.801022	18.910434	41.059539	1.453939
62	Spectrogram 1	1	218.198000	218.248000	4000.000000	18000.000000	8000.000000	Trillphee	8.433304	12.411932	42.789859	1.486793
63	Spectrogram 1	1	218.390000	218.416000	4000.000000	18000.000000	8000.000000	Twitter	10.975011	10.183709	33.590524	-1.657838
64	Spectrogram 1	1	218.768000	218.938000	4000.000000	18000.000000	8000.000000	Sd-peep	10.343793	30.905638	51.900456	2.771241
65	Spectrogram 1	1	238.784000	238.822000	4000.000000	18000.000000	8000.000000	Twitter	13.554801	11.465641	37.280816	0.573063
66	Spectrogram 1	1	239.174000	239.860000	4000.000000	18000.000000	8000.000000	Trill	9.435825	25.238388	90.897119	4.361194
67	Spectrogram 1	1	239.882000	240.502000	4000.000000	18000.000000	8000.000000	Trill	9.608120	30.658438	72.015401	3.781548
68	Spectrogram 1	1	240.554000	241.216000	4000.000000	18000.000000	8000.000000	Phee	10.763979	31.228990	80.224554	4.417405
69	Spectrogram 1	1	241.262000	241.738000	4000.000000	18000.000000	8000.000000	Phee	10.304185	31.634361	86.761388	4.507838
70	Spectrogram 1	1	241.778000	242.158000	4000.000000	18000.000000	8000.000000	Trill	8.073893	20.548109	80.717967	3.630355
71	Spectrogram 1	1	259.070000	259.138000	4000.000000	18000.000000	8000.000000	Twitter	7.134248	11.834589	41.932287	1.206821
72	Spectrogram 1	1	259.202000	259.258000	4000.000000	18000.000000	8000.000000	Trill	6.528517	9.628682	40.542526	0.942303
73	Spectrogram 1	1	259.400000	260.002000	4000.000000	18000.000000	8000.000000	Trill	17.911908	34.352572	156.322546	8.406409
74	Spectrogram 1	1	260.096000	260.584000	4000.000000	18000.000000	8000.000000	Trill	17.590161	37.223941	85.549394	6.278609
75	Spectrogram 1	1	260.690000	261.136000	4000.000000	18000.000000	8000.000000	Phee	15.439269	34.438988	98.878672	6.301862
76	Spectrogram 1	1	261.188000	261.568000	4000.000000	18000.000000	8000.000000	Trill	15.008640	34.159791	88.502259	5.822437
77	Spectrogram 1	1	261.650000	262.108000	4000.000000	18000.000000	8000.000000	Trill	10.461660	27.140237	45.796633	2.155033
78	Spectrogram 1	1	268.892000	269.032000	4000.000000	18000.000000	8000.000000	Sd-peep	9.028811	29.555070	36.783549	0.281284
79	Spectrogram 1	1	269.174000	269.224000	4000.000000	18000.000000	8000.000000	Trillphee	7.520979	12.347570	61.215418	2.742861
80	Spectrogram 1	1	269.450000	269.638000	4000.000000	18000.000000	8000.000000	Sd-peep	7.538443	24.105575	46.389160	1.768916
81	Spectrogram 1	1	269.828000	270.004000	4000.000000	18000.000000	8000.000000	Sd-peep	7.161718	25.944659	41.263548	1.117501
82	Spectrogram 1	1	270.230000	270.430000	4000.000000	18000.000000	8000.000000	Sd-peep	7.291992	24.555945	50.373365	2.055924
83	Spectrogram 1	1	270.530000	270.598000	4000.000000	18000.000000	8000.000000	Phee	7.468955	8.678962	51.021171	2.139991
84	Spectrogram 1	1	271.094000	271.516000	4000.000000	18000.000000	8000.000000	Sd-peep	10.407133	20.113701	42.050857	1.598011
85	Spectrogram 1	1	271.688000	271.816000	4000.000000	18000.000000	8000.000000	Sd-peep	10.559473	23.765316	42.036228	1.611266
86	Spectrogram 1	1	272.558000	272.740000	4000.000000	18000.000000	8000.000000	Sd-peep	7.680000	21.933857	45.116458	1.663370
87	Spectrogram 1	1	275.054000	275.140000	4000.000000	18000.000000	8000.000000	Twitter	11.231049	12.883291	48.828764	2.622922
88	Spectrogram 1	1	276.668000	276.790000	4000.000000	18000.000000	8000.000000	Sd-peep	8.474381	20.309904	53.312076	2.515338
89	Spectrogram 1	1	276.884000	277.030000	4000.000000	18000.000000	8000.000000	Sd-peep	8.700802	21.011690	76.715850	3.698105
90	Spectrogram 1	1	277.340000	277.414000	4000.000000	18000.000000	8000.000000	Sd-peep	8.727067	17.199081	40.284561	1.117771
91	Spectrogram 1	1	278.096000	278.236000	4000.000000	18000.000000	8000.000000	Sd-peep	6.095025	19.061569	48.623045	1.679262
92	Spectrogram 1	1	278.432000	278.548000	4000.000000	18000.000000	8000.000000	Sd-peep	8.580292	17.465265	53.555631	2.554888
93	Spectrogram 1	1	278.618000	278.854000	4000.000000	18000.000000	8000.000000	Sd-peep	6.636690	19.231597	50.717362	1.940264
94	Spectrogram 1	1	278.894000	279.004000	4000.000000	18000.000000	8000.000000	Sd-peep	9.144581	21.528979	65.876516	3.389451
95	Spectrogram 1	1	279.080000	279.340000	4000.000000	18000.000000	8000.000000	Trill	8.256032	19.922871	63.028114	3.023195
96	Spectrogram 1	1	284.504000	284.614000	4000.000000	18000.000000	8000.000000	Sd-peep	7.082405	20.072845	43.604871	1.405727
97	Spectrogram 1	1	291.500000	291.610000	4000.000000	18000.000000	8000.000000	Sd-peep	9.096818	19.725431	49.649134	2.346375
98	Spectrogram 1	1	291.848000	291.958000	4000.000000	18000.000000	8000.000000	Sd-peep	7.856309	24.914832	77.909280	3.474892
99	Spectrogram 1	1	293.486000	293.578000	4000.000000	18000.000000	8000.000000	Sd-peep	9.925616	21.416984	71.895260	3.862158
100	Spectrogram 1	1	293.966000	294.208000	4000.000000	18000.000000	8000.000000	Sd-peep	7.618597	19.330868	64.301393	2.908633
101	Spectrogram 1	1	298.460000	298.708000	4000.000000	18000.000000	8000.000000	Sd-peep	7.895821	17.545183	52.205051	2.314623
102	Spectrogram 1	1	298.772000	298.912000	4000.000000	18000.000000	8000.000000	Sd-peep	6.407532	15.562367	47.082984	1.625231
