Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Freq (Hz)	Call Type	Energy Diff	Energy Par	Energy Diff (wl)	Energy Par (wl)	AHR	Exception
1	Spectrogram 1	1	2.360000	2.380000	4000.000000	18000.000000	8000.000000	Sd-peep	11.253023	13.966286	NaN	NaN	36.065203	0.000000
2	Spectrogram 1	1	15.600000	15.790000	4000.000000	18000.000000	8000.000000	Trill	5.284912	14.518379	NaN	NaN	76.856936	0.000000
3	Spectrogram 1	1	19.680000	19.710000	4000.000000	18000.000000	8000.000000	Trillphee	4.613468	7.772561	NaN	NaN	44.717661	0.000000
4	Spectrogram 1	1	21.880000	22.710000	4000.000000	18000.000000	8000.000000	Trill	7.243486	27.629467	NaN	NaN	89.488655	0.000000
5	Spectrogram 1	1	46.640000	46.790000	4000.000000	18000.000000	8000.000000	Trill	4.648863	9.523519	NaN	NaN	54.907628	0.000000
6	Spectrogram 1	1	71.370000	71.410000	4000.000000	18000.000000	8000.000000	Trillphee	7.579537	12.807137	NaN	NaN	81.381021	0.000000
7	Spectrogram 1	1	100.790000	100.840000	4000.000000	18000.000000	8000.000000	Trill	5.123506	9.926005	NaN	NaN	50.915817	0.000000
8	Spectrogram 1	1	101.010000	101.070000	4000.000000	18000.000000	8000.000000	Trill	4.275451	7.943857	NaN	NaN	48.524980	0.000000
9	Spectrogram 1	1	133.060000	133.090000	4000.000000	18000.000000	8000.000000	Sd-peep	4.992673	22.383546	NaN	NaN	44.353281	0.000000
10	Spectrogram 1	1	188.780000	188.850000	4000.000000	18000.000000	8000.000000	Trill	4.387952	11.672290	NaN	NaN	34.003235	0.000000
11	Spectrogram 1	1	189.310000	189.360000	4000.000000	18000.000000	8000.000000	Trill	4.779587	9.740971	NaN	NaN	41.589971	0.000000
12	Spectrogram 1	1	212.290000	212.490000	4000.000000	18000.000000	8000.000000	Trillphee	5.248296	10.234432	NaN	NaN	36.368749	0.000000
13	Spectrogram 1	1	215.440000	216.220000	4000.000000	18000.000000	8000.000000	Trill	13.035468	28.309362	NaN	NaN	133.327082	0.000000
14	Spectrogram 1	1	220.400000	220.470000	4000.000000	18000.000000	8000.000000	Trillphee	4.337719	6.751396	NaN	NaN	42.600007	0.000000
15	Spectrogram 1	1	238.180000	238.220000	4000.000000	18000.000000	8000.000000	Phee	5.053151	10.512350	NaN	NaN	39.424964	0.000000
16	Spectrogram 1	1	250.910000	252.540000	4000.000000	18000.000000	8000.000000	Phee	11.013609	26.277012	NaN	NaN	37.993089	0.000000
17	Spectrogram 1	1	252.740000	253.630000	4000.000000	18000.000000	8000.000000	Phee	12.818819	30.000000	NaN	NaN	32.641414	0.000000
18	Spectrogram 1	1	253.790000	254.690000	4000.000000	18000.000000	8000.000000	Phee	13.591223	30.000000	NaN	NaN	37.868178	0.000000
19	Spectrogram 1	1	265.430000	265.450000	4000.000000	18000.000000	8000.000000	Sd-peep	13.619197	13.426057	NaN	NaN	37.992023	0.000000
20	Spectrogram 1	1	275.690000	276.760000	4000.000000	18000.000000	8000.000000	Phee	7.823554	26.473941	NaN	NaN	37.694910	0.000000
21	Spectrogram 1	1	277.100000	277.900000	4000.000000	18000.000000	8000.000000	Phee	9.094667	30.000000	NaN	NaN	39.207709	0.000000
22	Spectrogram 1	1	278.230000	279.110000	4000.000000	18000.000000	8000.000000	Phee	8.663469	27.349372	NaN	NaN	39.110012	0.000000
23	Spectrogram 1	1	279.190000	280.130000	4000.000000	18000.000000	8000.000000	Phee	6.315893	25.390625	NaN	NaN	41.073572	0.000000
24	Spectrogram 1	1	288.300000	289.150000	4000.000000	18000.000000	8000.000000	Phee	8.773296	27.935194	NaN	NaN	33.771991	0.000000
25	Spectrogram 1	1	289.380000	290.180000	4000.000000	18000.000000	8000.000000	Phee	9.018551	27.814088	NaN	NaN	33.573648	0.000000
26	Spectrogram 1	1	290.380000	291.200000	4000.000000	18000.000000	8000.000000	Phee	8.616735	27.516045	NaN	NaN	32.056078	0.000000
27	Spectrogram 1	1	291.250000	292.170000	4000.000000	18000.000000	8000.000000	Trill	8.462792	29.173591	NaN	NaN	34.806481	0.000000
28	Spectrogram 1	1	296.900000	296.920000	4000.000000	18000.000000	8000.000000	Sd-peep	5.716485	14.094774	NaN	NaN	44.408946	0.000000
29	Spectrogram 1	1	305.850000	306.070000	4000.000000	18000.000000	8000.000000	Trillphee	4.219924	8.262629	NaN	NaN	48.460588	0.000000
30	Spectrogram 1	1	323.350000	324.310000	4000.000000	18000.000000	8000.000000	Phee	10.106329	29.520699	NaN	NaN	37.029099	0.000000
31	Spectrogram 1	1	324.560000	325.420000	4000.000000	18000.000000	8000.000000	Phee	9.736345	29.980245	NaN	NaN	33.503483	0.000000
32	Spectrogram 1	1	325.680000	326.540000	4000.000000	18000.000000	8000.000000	Phee	9.882537	29.692138	NaN	NaN	36.867448	0.000000
33	Spectrogram 1	1	399.270000	399.850000	4000.000000	18000.000000	8000.000000	Trill	7.130285	19.873326	NaN	NaN	60.856825	0.000000
