Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Freq (Hz)	Call Type	Energy Diff	Energy Par	AHR	Exception
1	Spectrogram 1	1	17.886	18.248	4000.0	18000.0	6250.0	Trill	17.076855	22.610906	135.481712	7.912859
2	Spectrogram 1	1	22.344	22.958	4000.0	18000.0	6835.9	Trill	9.204481	17.147744	86.720947	4.386676
3	Spectrogram 1	1	31.140	31.424	4000.0	18000.0	6640.6	Trill	13.124410	15.721346	87.332535	5.582169
4	Spectrogram 1	1	68.640	68.984	4000.0	18000.0	6250.0	Trill	13.051203	16.753869	99.682950	5.920969
5	Spectrogram 1	1	71.934	72.104	4000.0	18000.0	6640.6	Trill	14.331117	17.980167	131.559036	7.033168
6	Spectrogram 1	1	72.390	72.710	4000.0	18000.0	7617.2	Phee	18.733094	21.134180	168.756101	9.011689
7	Spectrogram 1	1	80.412	81.548	4000.0	18000.0	6835.9	Trillphee	13.865138	20.121641	135.107795	6.956622
8	Spectrogram 1	1	113.362	113.658	4000.0	18000.0	6640.6	Trill	16.735489	23.885847	147.799968	8.064168
9	Spectrogram 1	1	115.384	115.620	4000.0	18000.0	7421.9	Trill	12.286002	18.533594	73.658163	4.878273
10	Spectrogram 1	1	119.074	119.424	4000.0	18000.0	6640.6	Trill	12.645336	18.997221	83.929790	5.341316
11	Spectrogram 1	1	125.782	125.958	4000.0	18000.0	6640.6	Trill	13.165860	16.808712	111.059766	6.237805
12	Spectrogram 1	1	133.582	133.902	4000.0	18000.0	6054.7	Trill	7.415262	13.592445	60.232728	3.008458
13	Spectrogram 1	1	194.848	195.150	4000.0	18000.0	6445.3	Trill	9.381255	12.771896	74.646763	4.099910
14	Spectrogram 1	1	202.562	202.792	4000.0	18000.0	5273.4	Trill	11.023331	16.568567	87.037043	4.971458
15	Spectrogram 1	1	207.812	208.042	4000.0	18000.0	5273.4	Trill	9.729162	15.433860	89.462674	4.629637
16	Spectrogram 1	1	210.326	210.370	4000.0	18000.0	4492.2	Trill	7.010250	8.700186	58.982745	2.840355
17	Spectrogram 1	1	210.422	210.544	4000.0	18000.0	7812.5	Trill	12.341846	23.101836	142.326770	6.579258
18	Spectrogram 1	1	210.632	210.724	4000.0	18000.0	7812.5	Twitter	10.445235	23.475000	105.725802	5.245794
19	Spectrogram 1	1	210.782	210.880	4000.0	18000.0	7226.6	Twitter	10.421589	24.327356	84.133841	4.705130
20	Spectrogram 1	1	210.914	211.036	4000.0	18000.0	7226.6	Twitter	8.444367	20.764214	76.224641	3.853152
21	Spectrogram 1	1	211.046	211.126	4000.0	18000.0	7031.2	Twitter	12.080035	28.053579	99.287452	5.621887
22	Spectrogram 1	1	211.178	211.264	4000.0	18000.0	7031.2	Twitter	11.960768	25.382368	74.946392	4.842278
23	Spectrogram 1	1	211.322	211.396	4000.0	18000.0	7031.2	Twitter	13.636495	19.101946	115.024861	6.471031
24	Spectrogram 1	1	216.656	217.048	4000.0	18000.0	6250.0	Trill	15.999384	22.079072	143.033926	7.758573
25	Spectrogram 1	1	223.562	223.612	4000.0	18000.0	4101.6	Trill	7.382037	9.617802	69.239356	3.300646
26	Spectrogram 1	1	223.742	223.828	4000.0	18000.0	6250.0	Trill	14.601328	15.209839	107.094900	6.557748
27	Spectrogram 1	1	226.520	226.660	4000.0	18000.0	6054.7	Trill	11.507185	14.480098	101.972587	5.510091
28	Spectrogram 1	1	226.778	226.876	4000.0	18000.0	7812.5	Phee	7.462410	10.831820	74.684954	3.482851
29	Spectrogram 1	1	226.928	227.344	4000.0	18000.0	7617.2	Phee	8.776809	15.874391	93.690796	4.404888
30	Spectrogram 1	1	238.988	239.110	4000.0	18000.0	5468.7	Trill	8.556341	13.988557	64.590800	3.507935
31	Spectrogram 1	1	266.900	267.190	4000.0	18000.0	6640.6	Trill	18.922493	23.806556	160.314047	8.912651
32	Spectrogram 1	1	273.662	273.868	4000.0	18000.0	7226.6	Trill	16.926454	22.165830	144.003071	8.045427
33	Spectrogram 1	1	274.028	274.804	4000.0	18000.0	7421.9	Phee	19.021546	29.014029	189.354675	9.428907
34	Spectrogram 1	1	289.028	289.300	4000.0	18000.0	6445.3	Trill	16.356259	21.994973	153.288096	8.054306
35	Spectrogram 1	1	291.794	292.030	4000.0	18000.0	6250.0	Trill	13.568972	19.507090	119.782002	6.555863
36	Spectrogram 1	1	292.208	292.420	4000.0	18000.0	7812.5	Trill	11.565585	16.106249	103.449564	5.563500
37	Spectrogram 1	1	299.198	299.518	4000.0	18000.0	6250.0	Trill	13.702521	19.155026	113.012137	6.444403
38	Spectrogram 1	1	300.930	300.986	4000.0	18000.0	8593.7	Twitter	6.614116	14.437268	70.633965	3.080166
39	Spectrogram 1	1	301.062	301.160	4000.0	18000.0	7226.6	Twitter	7.845266	21.462489	86.264552	3.904815
40	Spectrogram 1	1	301.200	301.292	4000.0	18000.0	7226.6	Twitter	8.233575	21.066760	87.256446	4.066424
41	Spectrogram 1	1	301.326	301.430	4000.0	18000.0	7226.6	Twitter	7.416207	20.549452	88.967038	3.805980
42	Spectrogram 1	1	301.452	301.532	4000.0	18000.0	7226.6	Twitter	9.467157	19.694399	114.438969	5.068308
43	Spectrogram 1	1	301.596	301.646	4000.0	18000.0	7226.6	Trill	7.205998	9.678983	61.178238	2.980203
44	Spectrogram 1	1	312.558	312.974	4000.0	18000.0	6445.3	Trill	16.418393	18.401053	129.557563	7.601747
45	Spectrogram 1	1	313.122	313.232	4000.0	18000.0	7617.2	Phee	13.854379	15.111396	106.691485	6.335364
46	Spectrogram 1	1	313.326	313.508	4000.0	18000.0	7617.2	Phee	15.943081	19.187685	133.720074	7.556083
47	Spectrogram 1	1	316.572	316.652	4000.0	18000.0	4687.5	Trill	10.040762	10.588657	28.393718	0.158899
48	Spectrogram 1	1	316.692	316.754	4000.0	18000.0	4492.2	Trill	11.023786	10.838114	30.642811	0.914547
49	Spectrogram 1	1	317.580	317.624	4000.0	18000.0	7617.2	Trill	11.692441	10.391008	30.749111	0.980782
50	Spectrogram 1	1	317.688	317.744	4000.0	18000.0	7812.5	Trill	10.771602	9.727368	28.126187	0.055137
51	Spectrogram 1	1	318.114	318.158	4000.0	18000.0	4687.5	Trill	10.325121	9.337562	29.300813	0.485730
52	Spectrogram 1	1	318.330	318.368	4000.0	18000.0	5664.1	Trill	8.746926	8.558487	30.467577	0.738856
53	Spectrogram 1	1	318.552	318.590	4000.0	18000.0	4101.6	Trill	9.537244	8.301309	29.160884	0.416273
54	Spectrogram 1	1	318.654	318.710	4000.0	18000.0	4101.6	Trill	11.063103	10.938959	29.215740	0.479628
