Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Freq (Hz)	Call Type
1	Spectrogram 1	2	176.819	177.051	4000.0	18000.0	7421.9	Trill
2	Spectrogram 1	2	178.969	179.178	4000.0	18000.0	7421.9	Trill
3	Spectrogram 1	2	296.889	297.247	724.6	21014.5	6835.9	Trill
4	Spectrogram 1	2	397.531	397.718	1630.4	20833.3	8007.8	Trill
5	Spectrogram 1	2	480.064	480.276	4000.0	18000.0	7226.6	Trill
6	Spectrogram 1	2	511.558	511.853	4000.0	18000.0	12695.3	Trill
7	Spectrogram 1	2	529.140	529.235	4000.0	18000.0	6835.9	Trill
8	Spectrogram 1	2	540.071	540.408	4000.0	18000.0	7226.6	Trill
9	Spectrogram 1	2	565.869	566.088	4000.0	18000.0	6835.9	Trill
10	Spectrogram 1	2	629.856	629.936	4000.0	18000.0	8984.4	Twitter
11	Spectrogram 1	2	630.025	630.085	0.0	21558.0	8203.1	Twitter
12	Spectrogram 1	2	630.164	630.217	0.0	23188.4	8203.1	Twitter
13	Spectrogram 1	2	630.286	630.342	0.0	23188.4	7617.2	Twitter
14	Spectrogram 1	2	630.416	630.471	0.0	22101.4	7421.9	Twitter
15	Spectrogram 1	2	630.545	630.591	0.0	15036.2	8007.8	Twitter
16	Spectrogram 1	2	717.058	717.430	4000.0	18000.0	6640.6	Trill
17	Spectrogram 1	2	721.447	721.671	4000.0	18000.0	4492.2	Trill
18	Spectrogram 1	2	759.735	760.005	4000.0	18000.0	6835.9	Trill
19	Spectrogram 1	2	766.988	767.316	4000.0	18000.0	7421.9	Trill
20	Spectrogram 1	2	860.552	860.635	4000.0	18000.0	4882.8	Trill
21	Spectrogram 1	2	871.166	871.402	4000.0	18000.0	7421.9	Trill
22	Spectrogram 1	2	874.317	875.630	4000.0	18000.0	7617.2	Trillphee
23	Spectrogram 1	2	1034.885	1035.164	4000.0	18000.0	7226.6	Trill
24	Spectrogram 1	2	1306.256	1306.605	4000.0	18000.0	9960.9	Trill
25	Spectrogram 1	2	1399.094	1399.330	4000.0	18000.0	4687.5	Trill
26	Spectrogram 1	2	1676.954	1677.221	0.0	19467.2	195.3	Trill
27	Spectrogram 1	2	1762.340	1762.598	4000.0	18000.0	4882.8	Trill
28	Spectrogram 1	2	1777.788	1777.912	4000.0	18000.0	4492.2	Trill
29	Spectrogram 1	2	1780.240	1780.651	4000.0	18000.0	10742.2	Trill
