Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Freq (Hz)	Call Type
1	Spectrogram 1	3	0.169	0.244	2845.5	13211.4	8593.7	Tse
2	Spectrogram 1	3	0.376	0.444	4000.0	18000.0	6640.6	Sd-peep
3	Spectrogram 1	3	0.614	0.689	3048.8	12601.6	6640.6	Tse
4	Spectrogram 1	3	6.611	6.681	2845.5	11585.4	8398.4	Tse
5	Spectrogram 1	3	6.750	6.814	4000.0	18000.0	7421.9	Tse
6	Spectrogram 1	3	7.043	7.124	1859.5	10743.8	7226.6	Tse
7	Spectrogram 1	3	7.241	7.309	2686.0	11157.0	8007.8	Tse
8	Spectrogram 1	3	7.503	7.574	4000.0	18000.0	7617.2	Tse
9	Spectrogram 1	3	7.762	7.839	1239.7	13429.8	5859.4	Tse
10	Spectrogram 1	3	18.692	18.762	4000.0	18000.0	7031.2	Tse
11	Spectrogram 1	3	18.836	18.892	4000.0	18000.0	7421.9	Tse
12	Spectrogram 1	3	18.972	19.048	4000.0	18000.0	7226.6	Tse
13	Spectrogram 1	3	19.312	19.362	4000.0	18000.0	7421.9	Tse
14	Spectrogram 1	3	19.636	19.754	4000.0	18000.0	7421.9	Tse
15	Spectrogram 1	3	19.994	20.077	1652.9	15289.3	7421.9	Tse
16	Spectrogram 1	3	20.156	20.372	4000.0	18000.0	7226.6	Tse
17	Spectrogram 1	3	20.435	20.803	3099.2	16115.7	6835.9	Tse string
18	Spectrogram 1	3	20.890	21.002	4000.0	18000.0	6835.9	Tse
19	Spectrogram 1	3	21.724	21.800	4000.0	18000.0	7226.6	Tse
20	Spectrogram 1	3	21.896	21.946	4000.0	18000.0	7226.6	Tse
21	Spectrogram 1	3	22.202	22.348	4000.0	18000.0	6835.9	Tse
22	Spectrogram 1	3	22.456	22.636	4000.0	18000.0	7226.6	Tse
23	Spectrogram 1	3	22.812	22.876	4000.0	18000.0	6835.9	Tse
24	Spectrogram 1	3	23.095	23.194	2479.3	14462.8	7421.9	Tse
25	Spectrogram 1	3	23.506	23.600	4000.0	18000.0	7421.9	Tse
26	Spectrogram 1	3	24.012	24.082	3719.0	18388.4	6835.9	Tse
27	Spectrogram 1	3	24.172	24.258	4000.0	18000.0	6835.9	Tse
28	Spectrogram 1	3	24.350	24.402	4000.0	18000.0	6835.9	Tse
29	Spectrogram 1	3	24.728	24.798	3925.6	18388.4	7421.9	Tse
30	Spectrogram 1	3	24.852	24.924	4000.0	18000.0	6640.6	Tse
31	Spectrogram 1	3	24.983	25.072	3099.2	14876.0	6445.3	Tse
32	Spectrogram 1	3	25.156	25.210	4000.0	18000.0	6640.6	Tse
33	Spectrogram 1	3	31.206	31.318	4000.0	18000.0	7031.2	Tse
34	Spectrogram 1	3	31.660	31.788	4000.0	18000.0	7226.6	Tse
35	Spectrogram 1	3	31.894	31.944	4000.0	18000.0	7031.2	Tse
36	Spectrogram 1	3	32.196	32.263	1859.5	15289.3	6640.6	Tse
37	Spectrogram 1	3	32.475	32.548	619.8	16115.7	6835.9	Tse
38	Spectrogram 1	3	32.770	32.862	826.4	14876.0	7226.6	Tse
39	Spectrogram 1	3	33.076	33.134	4000.0	18000.0	7226.6	Tse
40	Spectrogram 1	3	33.389	33.475	0.0	14876.0	195.3	Tse
41	Spectrogram 1	3	34.022	34.091	2066.1	11983.5	7031.2	Tse
42	Spectrogram 1	3	34.320	34.416	2272.7	10537.2	7226.6	Tse
43	Spectrogram 1	3	34.626	34.694	4000.0	18000.0	7226.6	Tse
44	Spectrogram 1	3	34.913	35.016	1446.3	11570.2	7226.6	Tse
45	Spectrogram 1	5	35.360	35.794	3719.0	12809.9	8203.1	Trill
46	Spectrogram 1	6	36.428	37.820	6400.6	10843.4	7617.2	Trillphee
47	Spectrogram 1	3	42.426	42.486	4000.0	18000.0	7812.5	Tse
48	Spectrogram 1	3	42.602	42.658	4000.0	18000.0	7617.2	Tse
49	Spectrogram 1	5	52.388	53.627	826.4	14669.4	6640.6	Twitter
50	Spectrogram 1	6	72.251	72.788	4545.5	13429.8	5078.1	Trill
51	Spectrogram 1	5	73.527	74.626	3305.8	18181.8	7031.2	Twitter
52	Spectrogram 1	6	79.895	80.435	5578.5	11363.6	8203.1	Trill
53	Spectrogram 1	5	81.310	82.166	4958.7	12396.7	8593.7	Trillphee
54	Spectrogram 1	5	82.255	82.312	5991.7	10537.2	8984.4	P-peep
55	Spectrogram 1	6	86.493	86.993	4338.8	13636.4	8593.7	Trill
56	Spectrogram 1	5	89.441	89.736	4752.1	11363.6	8398.4	Trill
