Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Freq (Hz)	Call Type
1	Spectrogram 1	4	2.172	3.710	952.4	21904.8	6250.0	Twitter
2	Spectrogram 1	3	8.209	8.388	3539.8	14380.5	8984.4	T-peep
3	Spectrogram 1	3	8.539	8.620	2212.4	19469.0	8789.1	Sa-peep
4	Spectrogram 1	3	8.829	9.806	0.0	21238.9	195.3	Others
5	Spectrogram 1	3	10.038	10.586	1106.2	15265.5	8789.1	Trill
6	Spectrogram 1	3	10.968	11.043	3761.1	20796.5	8984.4	Sa-peep
7	Spectrogram 1	3	12.214	12.286	221.2	23008.8	8789.1	Sa-peep
8	Spectrogram 1	3	12.890	12.955	1769.9	21238.9	8593.7	Sa-peep
9	Spectrogram 1	3	13.120	13.486	4000.0	18000.0	8007.8	Trill
10	Spectrogram 1	3	13.746	14.507	0.0	21238.9	195.3	Others
11	Spectrogram 1	3	14.747	15.338	0.0	17920.4	195.3	Trill
12	Spectrogram 1	3	15.501	15.567	1327.4	21902.7	8203.1	Sa-peep
13	Spectrogram 1	4	17.344	17.409	3318.6	20575.2	8203.1	Sa-peep
14	Spectrogram 1	4	21.502	21.574	1106.2	18805.3	4101.6	T-peep
15	Spectrogram 1	3	21.969	22.067	221.2	22787.6	9179.7	Sa-peep
16	Spectrogram 1	3	22.217	22.305	0.0	21238.9	195.3	Sd-peep
17	Spectrogram 1	3	22.312	22.890	0.0	21902.7	195.3	Others
18	Spectrogram 1	3	23.595	23.667	3097.3	20796.5	8593.7	Sa-peep
19	Spectrogram 1	3	23.772	24.232	4000.0	18000.0	8007.8	Trill
20	Spectrogram 1	3	29.732	29.808	0.0	20200.0	195.3	Tse
21	Spectrogram 1	3	30.281	30.585	3000.0	18200.0	8593.7	Trill
22	Spectrogram 1	3	30.884	30.946	0.0	22200.0	195.3	Tse
23	Spectrogram 1	3	31.557	31.635	0.0	23000.0	195.3	Tse
24	Spectrogram 1	1	33.162	34.785	0.0	17600.0	195.3	Phee
25	Spectrogram 1	3	45.709	45.810	1640.2	9476.7	4492.2	Tse
26	Spectrogram 1	4	47.904	48.005	600.0	19000.0	7421.9	Tse
27	Spectrogram 1	4	48.727	48.854	0.0	22222.2	195.3	Sd-peep
28	Spectrogram 1	4	48.864	49.230	0.0	22222.2	195.3	Others
29	Spectrogram 1	1	49.400	50.990	0.0	15200.0	195.3	Phee
30	Spectrogram 1	3	51.412	51.639	4920.6	10387.9	9179.7	Trill
31	Spectrogram 1	3	54.080	54.168	4000.0	17400.0	10156.2	T-peep
32	Spectrogram 1	3	54.305	54.707	3400.0	14600.0	8203.1	Trill
33	Spectrogram 1	3	57.662	58.074	3400.0	15600.0	8984.4	Trill
34	Spectrogram 1	3	58.782	58.864	0.0	20400.0	195.3	Sd-peep
35	Spectrogram 1	3	58.874	59.301	0.0	20000.0	195.3	Others
36	Spectrogram 1	3	59.494	60.052	2800.0	14800.0	8398.4	Trill
37	Spectrogram 1	3	60.768	61.362	0.0	18600.0	195.3	Others
38	Spectrogram 1	3	62.091	62.731	0.0	20400.0	195.3	Others
39	Spectrogram 1	3	64.046	64.095	3400.0	19800.0	10546.9	Tse
