Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Freq (Hz)	Call Type	Energy Diff	Energy Par	AHR	Exception	Energy Diff (wl)	Energy Par (wl)	From
1	Spectrogram 1	1	19.068	19.532	4000.0	18000.0	7031.2	Trill	4.652412	8.718131	43.530055	2.170867			
3	Spectrogram 1	1	69.450	69.590	4000.0	18000.0	6250.0	Trill	7.351546	7.419664	48.855683	3.438520			
251	Spectrogram 1	1	93.758	93.866	4086.5	17067.3	9570.3	Phee	0	0	0	0	0	0	0
7	Spectrogram 1	1	120.052	120.690	4000.0	18000.0	7617.2	Trill	5.082569	9.769682	62.877706	3.319793			
252	Spectrogram 1	1	137.430	137.819	3846.2	17548.1	6445.3	Trill	0	0	0	0	0	0	0
253	Spectrogram 1	1	171.174	171.678	4567.3	17788.5	7421.9	Trill	0	0	0	0	0	0	0
255	Spectrogram 1	1	207.129	207.335	2884.6	17788.5	7031.2	Trill	0	0	0	0	0	0	0
18	Spectrogram 1	1	335.274	335.678	4000.0	18000.0	7031.2	Trill	5.908174	9.951245	58.327609	3.490230			
22	Spectrogram 1	1	491.188	491.352	4000.0	18000.0	7031.2	Trilll	5.036432	8.511986	62.366257	3.278879			
23	Spectrogram 1	1	492.064	492.374	4000.0	18000.0	8203.1	Phee	5.766642	12.759298	113.237151	4.956954			
257	Spectrogram 1	1	612.993	613.724	3605.8	18269.2	6835.9	Trill	0	0	0	0	0	0	0
28	Spectrogram 1	1	717.088	717.510	4000.0	18000.0	6250.0	Trill	6.600789	10.702444	58.093630	3.753685			
31	Spectrogram 1	1	748.786	748.914	4000.0	18000.0	7617.2	Trill	6.364203	12.170749	84.289130	4.635913			
32	Spectrogram 1	1	749.089	749.142	4040.4	16414.1	8203.1	Twitter	0	0	0	0			
33	Spectrogram 1	1	749.204	749.261	2525.3	17676.8	7812.5	Twitter	0	0	0	0			
34	Spectrogram 1	1	749.294	749.363	3030.3	18181.8	7617.2	Twitter	0	0	0	0			
35	Spectrogram 1	1	749.413	749.476	3535.4	17171.7	7812.5	Twitter	0	0	0	0			
37	Spectrogram 1	1	843.284	843.652	4000.0	18000.0	7226.6	Trill	5.470721	11.976515	79.264361	4.039671			
38	Spectrogram 1	1	843.932	844.360	4000.0	18000.0	8398.4	Phee	6.459715	15.332274	100.312310	5.090027			
39	Spectrogram 1	1	844.520	844.996	4000.0	18000.0	8203.1	Phee	7.230586	18.369103	108.831660	5.686600			
41	Spectrogram 1	1	876.510	876.970	4000.0	18000.0	7031.2	Trill	7.807437	12.667190	83.841809	5.296411			
48	Spectrogram 1	1	994.056	994.129	3030.3	16919.2	8203.1	Twitter	0	0	0	0			
49	Spectrogram 1	1	994.162	994.225	2272.7	17424.2	8007.8	Twitter	0	0	0	0			
50	Spectrogram 1	1	994.294	994.357	1515.2	18181.8	7617.2	Twitter	0	0	0	0			
51	Spectrogram 1	1	994.400	994.473	2020.2	17676.8	7812.5	Twitter	0	0	0	0			
52	Spectrogram 1	1	994.518	994.574	4000.0	18000.0	7421.9	Twitter	6.157778	17.256383	39.845446	2.299882			
53	Spectrogram 1	1	994.629	994.682	3282.8	17424.2	7226.6	Twitter	0	0	0	0			
54	Spectrogram 1	1	994.748	994.804	3030.3	16161.6	8398.4	Twitter	0	0	0	0			
55	Spectrogram 1	1	994.834	994.874	3030.3	15656.6	8007.8	Twitter	0	0	0	0			
56	Spectrogram 1	1	1145.149	1145.553	3703.7	18055.6	7226.6	Trill	0	0	0	0			
57	Spectrogram 1	1	1145.745	1145.977	4166.7	18287.0	7226.6	Trill	0	0	0	0			
249	Spectrogram 1	1	1207.139	1207.245	3960.4	18811.9	5664.1	Trill	0	0	0	0	0	0	0
68	Spectrogram 1	1	1836.248	1836.788	4000.0	18000.0	5078.1	Trill	5.177543	7.624832	52.951687	2.928077			
259	Spectrogram 1	1	1853.293	1853.649	4567.3	17548.1	5468.7	Trill	0	0	0	0	0	0	0
74	Spectrogram 1	1	2517.363	2517.744	4000.0	18000.0	5664.1	Trill	5.188673	6.347165	45.983721	2.524656			
76	Spectrogram 1	1	2585.990	2586.282	4000.0	18000.0	7031.2	Trill	4.783428	7.499560	51.851951	2.711269			
81	Spectrogram 1	1	2824.624	2824.941	4000.0	18000.0	5468.7	Sd-peep	6.839616	10.004715	70.006264	4.382225			
260	Spectrogram 1	1	2847.208	2847.684	4326.9	18269.2	7031.2	Trill	0	0	0	0	0	0	0
85	Spectrogram 1	1	2856.103	2856.573	3935.2	17824.1	7421.9	Trill	0	0	0	0			
261	Spectrogram 1	1	2940.099	2940.321	4086.5	18269.2	6835.9	Trill	0	0	0	0	0	0	0
264	Spectrogram 1	1	3015.039	3015.114	4326.9	17548.1	8007.8	Twitter	0	0	0	0	0	0	0
265	Spectrogram 1	1	3015.139	3015.237	3846.2	17548.1	7617.2	Twitter	0	0	0	0	0	0	0
266	Spectrogram 1	1	3015.305	3015.365	4326.9	16826.9	7617.2	Twitter	0	0	0	0	0	0	0
267	Spectrogram 1	1	3015.423	3015.483	3365.4	17307.7	7031.2	Twitter	0	0	0	0	0	0	0
