Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Freq (Hz)	Call Type	Energy Diff	Energy Par	AHR	Exception
1	Spectrogram 1	1	2.619	3.675	3022.0	15934.1	8789.1	Trillphee	0	0	0	0
2	Spectrogram 1	2	33.138	33.518	4000.0	18000.0	7617.2	Trill	9.715265	19.671070	66.307954	5.299315
3	Spectrogram 1	2	33.654	33.926	4000.0	18000.0	8203.1	Trill	8.213788	16.129134	62.357518	4.572679
4	Spectrogram 1	6	155.878	156.000	4000.0	18000.0	6250.0	Twitter	-0.858916	5.138895	39.817596	0.347332
5	Spectrogram 1	6	156.028	156.168	4000.0	18000.0	6054.7	Twitter	-0.933088	4.234122	39.432874	0.322789
6	Spectrogram 1	6	156.178	156.312	4000.0	18000.0	6054.7	Twitter	-1.931798	5.190037	39.646137	0.653066
7	Spectrogram 1	6	156.316	156.456	4000.0	18000.0	5859.4	Twitter	-0.624514	3.522290	47.916234	0.272992
8	Spectrogram 1	2	177.640	177.690	4000.0	18000.0	6835.9	Twitter	8.141882	19.643930	38.093520	2.533155
9	Spectrogram 1	2	177.785	177.873	4381.4	18556.7	6640.6	Twitter	0	0	0	0
10	Spectrogram 1	2	177.934	178.034	4000.0	18000.0	6640.6	Twitter	5.102439	16.486156	37.081717	1.734615
11	Spectrogram 1	2	178.088	178.163	3571.4	18131.9	6640.6	Twitter	0	0	0	0
12	Spectrogram 1	2	178.216	178.290	4000.0	18000.0	6640.6	Twitter	5.961385	18.725506	34.917300	1.640375
13	Spectrogram 1	2	199.798	199.980	4000.0	18000.0	8203.1	Trill	8.511242	16.138743	56.572870	4.339194
14	Spectrogram 1	2	200.006	200.278	4000.0	18000.0	8398.4	Trill	7.494391	14.455105	54.084312	3.846168
15	Spectrogram 1	6	304.314	304.844	4000.0	18000.0	8007.8	Trill	-3.603394	6.909160	49.997801	1.648694
16	Spectrogram 1	5	326.890	327.106	3092.8	18299.0	8398.4	Trill	0	0	0	0
17	Spectrogram 1	5	329.670	330.020	4000.0	18000.0	8398.4	Trill	2.185676	1.958778	39.606453	0.453653
18	Spectrogram 1	2	333.384	333.476	4000.0	18000.0	6835.9	Sd-peep	4.824229	11.119297	40.877002	2.023849
19	Spectrogram 1	5	340.392	340.490	4000.0	18000.0	15820.3	Trill	0.881802	2.826050	50.430259	0.451038
20	Spectrogram 1	5	340.518	340.586	4000.0	18000.0	16406.2	Trill	1.070258	2.303559	37.725149	0.348433
21	Spectrogram 1	6	359.862	359.960	4000.0	18000.0	8984.4	Trill	-2.196354	2.213434	42.620713	0.627608
22	Spectrogram 1	6	359.988	360.110	4000.0	18000.0	15625.0	Trill	-2.275288	1.875691	29.737774	0.464599
23	Spectrogram 1	6	368.742	368.828	4000.0	18000.0	8789.1	Trill	-1.046797	3.476327	57.439186	0.657991
24	Spectrogram 1	5	450.394	450.504	4000.0	18000.0	9375.0	Trill	0.941710	3.095208	35.012683	0.283652
25	Spectrogram 1	6	453.934	454.560	4000.0	18000.0	8593.7	Trillphee	-2.257078	3.993366	29.611272	0.388230
26	Spectrogram 1	5	471.244	471.312	4000.0	18000.0	8593.7	P-peep	2.622495	2.988920	28.855444	0.434169
27	Spectrogram 1	6	497.422	497.610	4000.0	18000.0	15820.3	Trillphee	-1.636362	1.885234	38.086329	0.300622
28	Spectrogram 1	5	522.006	522.538	4000.0	18000.0	9179.7	Trillphee	4.150466	6.461562	41.435792	1.295136
29	Spectrogram 1	2	558.194	559.276	4000.0	18000.0	7812.5	Phee	5.633988	29.728090	53.866232	3.157663
30	Spectrogram 1	2	559.436	560.512	4000.0	18000.0	8007.8	Phee	5.326335	29.772517	50.577035	2.858682
31	Spectrogram 1	5	681.276	681.404	4000.0	18000.0	8789.1	Trill	3.619356	3.212565	31.123091	0.737892
32	Spectrogram 1	5	693.936	694.786	4000.0	18000.0	8398.4	Trillphee	1.921129	3.883032	53.887595	0.839993
33	Spectrogram 1	5	704.230	704.328	4000.0	18000.0	8789.1	Trill	3.985525	6.546180	43.628087	1.748954
34	Spectrogram 1	5	704.374	704.508	4000.0	18000.0	8789.1	P-peep	1.191291	3.328038	31.529319	0.364750
35	Spectrogram 1	6	726.370	727.137	4000.0	18000.0	8789.1	Trillphee	-6.316732	8.669926	51.807654	3.065964
36	Spectrogram 1	6	732.550	732.912	4000.0	18000.0	8593.7	Trill	-1.364919	3.950704	35.602628	0.313531
37	Spectrogram 1	6	755.794	755.874	4000.0	18000.0	4687.5	Trill	-1.069429	1.884791	61.308087	0.422420
38	Spectrogram 1	5	760.774	760.860	4000.0	18000.0	8398.4	Trill	2.391646	3.666892	44.808732	1.149092
39	Spectrogram 1	5	763.472	763.979	4000.0	18000.0	8398.4	P-peep	5.996773	2.952613	32.482741	0.727689
40	Spectrogram 1	5	770.083	770.302	2472.5	16208.8	9375.0	Trill	0	0	0	0
41	Spectrogram 1	6	786.142	786.252	4000.0	18000.0	8984.4	Trill	-1.164401	2.342793	78.730793	0.679980
42	Spectrogram 1	6	786.364	786.438	4000.0	18000.0	8984.4	Trillphee	-2.171237	1.962825	41.556480	0.541484
43	Spectrogram 1	5	803.450	804.052	4000.0	18000.0	9179.7	Phee	2.652518	1.339608	65.180106	0.510872
44	Spectrogram 1	5	811.674	812.536	4000.0	18000.0	8789.1	Phee	2.804882	2.560941	45.923792	0.676848
45	Spectrogram 1	6	818.323	818.405	4120.9	16758.2	6250.0	Twitter	0	0	0	0
46	Spectrogram 1	6	818.462	818.569	4000.0	18000.0	6250.0	Twitter	-5.573702	4.805085	36.238390	1.269328
47	Spectrogram 1	6	818.618	818.722	4000.0	18000.0	6250.0	Twitter	-5.087231	3.325742	32.460665	0.910212
48	Spectrogram 1	6	818.765	818.841	4000.0	18000.0	6250.0	Twitter	-4.668870	1.982344	27.932864	0.792795
49	Spectrogram 1	6	818.899	818.968	4000.0	18000.0	6054.7	Twitter	-5.010163	2.177902	34.088345	0.518770
