Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Freq (Hz)	Call Type	Energy Diff	Energy Par	Energy Diff (wl)	Energy Par (wl)	AHR	Exception
1	Spectrogram 1	1	72.550	72.780	4000.0	18000.0	8203.1	Trill	5.064543	8.732470	NaN	NaN	59.002598	0.000000
2	Spectrogram 1	1	73.090	73.270	4000.0	18000.0	8593.7	Trillphee	4.449845	8.829506	NaN	NaN	49.324184	0.000000
3	Spectrogram 1	6	74.100	74.230	4000.0	18000.0	8593.7	Trill	3.649470	7.814038	-5.610677	6.812164	31.182986	0.000000
4	Spectrogram 1	2	82.760	82.830	4000.0	18000.0	7617.2	Trill	6.759227	11.949712	NaN	NaN	49.766731	0.000000
5	Spectrogram 1	1	89.580	90.210	4000.0	18000.0	8398.4	Trillphee	8.230880	16.032621	NaN	NaN	88.328705	0.000000
6	Spectrogram 1	6	95.570	95.660	4000.0	18000.0	7812.5	Trill	7.111882	8.687213	-2.467421	3.649196	49.691052	0.000000
7	Spectrogram 1	2	112.540	113.390	4000.0	18000.0	7812.5	Phee	4.770299	30.983254	NaN	NaN	98.683271	0.000000
8	Spectrogram 1	6	113.100	113.890	4000.0	18000.0	8007.8	Phee	5.392833	24.013524	-1.732365	8.798863	87.525885	0.000000
9	Spectrogram 1	6	114.350	114.380	4000.0	18000.0	6640.6	Twitter	6.577179	21.195144	-4.703139	10.227257	60.781311	0.000000
10	Spectrogram 1	6	114.690	114.710	4000.0	18000.0	6445.3	Twitter	6.785069	21.576106	-6.304249	13.310158	43.107585	0.000000
11	Spectrogram 1	6	128.260	128.500	4000.0	18000.0	7617.2	Trill	4.383541	7.900216	-7.024519	8.716702	43.744749	0.000000
12	Spectrogram 1	6	134.440	134.560	4000.0	18000.0	6640.6	Trill	5.815487	6.596007	-7.144031	0.752720	30.810422	0.000000
13	Spectrogram 1	5	165.020	165.970	4000.0	18000.0	7812.5	Phee	3.548628	26.069644	0.931955	8.637164	82.318474	0.000000
14	Spectrogram 1	5	166.430	166.610	4000.0	18000.0	5078.1	Trill	6.781224	11.720910	6.692136	0.249433	45.822799	0.000000
15	Spectrogram 1	5	169.550	169.660	4000.0	18000.0	6835.9	Trill	8.191329	19.449787	0.104289	3.123642	90.711046	1.000000
16	Spectrogram 1	5	216.560	216.650	4000.0	18000.0	6640.6	Phee	5.145003	14.928081	7.133045	1.789360	62.913065	0.000000
17	Spectrogram 1	5	300.710	300.760	4000.0	18000.0	8398.4	Trill	3.502480	4.449600	3.294285	4.806259	28.897724	0.000000
18	Spectrogram 1	5	375.410	375.490	4000.0	18000.0	8007.8	Trill	6.323256	11.945216	2.705900	4.382176	60.439888	0.000000
19	Spectrogram 1	5	375.530	375.670	4000.0	18000.0	7812.5	Trill	4.379057	7.454765	2.386749	4.255001	39.794965	0.000000
20	Spectrogram 1	6	384.010	384.060	4000.0	18000.0	5078.1	Trillphee	8.861706	10.264525	-0.200953	1.824470	32.644154	1.000000
21	Spectrogram 1	5	391.320	391.380	4000.0	18000.0	8789.1	P-peep	3.455238	5.733136	5.484746	5.979683	33.438373	0.000000
22	Spectrogram 1	5	405.520	405.560	4000.0	18000.0	4882.8	Trill	7.305382	8.860099	1.435917	2.079064	31.539819	1.000000
23	Spectrogram 1	6	413.000	413.050	4000.0	18000.0	5468.7	Sd-peep	7.015285	7.980182	-7.355142	2.177730	31.414549	0.000000
24	Spectrogram 1	6	424.360	424.470	4000.0	18000.0	8203.1	Trill	2.998821	5.948447	-4.080132	7.945082	35.348548	0.000000
25	Spectrogram 1	1	444.450	444.560	4000.0	18000.0	8203.1	P-peep	5.249064	16.141294	NaN	NaN	85.465218	0.000000
26	Spectrogram 1	1	445.190	445.580	4000.0	18000.0	8398.4	Trillphee	4.815281	16.342137	NaN	NaN	84.046070	0.000000
27	Spectrogram 1	1	445.680	445.850	4000.0	18000.0	8593.7	Trillphee	4.777225	14.812065	NaN	NaN	69.940921	0.000000
28	Spectrogram 1	1	482.510	482.950	4000.0	18000.0	8398.4	Phee	5.779919	19.784827	NaN	NaN	84.410269	0.000000
29	Spectrogram 1	1	483.050	483.130	4000.0	18000.0	8398.4	P-peep	5.403347	16.788012	NaN	NaN	71.995353	0.000000
30	Spectrogram 1	6	486.200	487.240	4000.0	18000.0	8398.4	Phee	3.308563	25.182837	-3.520008	12.389428	79.029449	0.000000
31	Spectrogram 1	6	487.290	488.070	4000.0	18000.0	8398.4	Phee	2.906071	20.551299	-2.013487	9.934648	60.882309	0.000000
32	Spectrogram 1	6	488.360	489.390	4000.0	18000.0	8203.1	Phee	2.677835	28.134881	-2.522380	14.409281	70.505618	0.000000
33	Spectrogram 1	6	489.450	489.850	4000.0	18000.0	8203.1	Phee	3.462170	19.466776	-1.966518	7.877297	64.716128	0.000000
34	Spectrogram 1	5	493.020	493.060	4000.0	18000.0	15625.0	Twitter	9.060239	13.210214	1.911557	3.165166	61.451393	1.000000
35	Spectrogram 1	5	493.170	493.200	4000.0	18000.0	6250.0	Tse	10.852499	16.184805	1.285111	2.650593	67.473296	1.000000
36	Spectrogram 1	5	493.340	493.380	4000.0	18000.0	11914.1	Twitter	11.039428	17.450687	0.565162	2.682345	66.513959	1.000000
37	Spectrogram 1	5	493.500	493.540	4000.0	18000.0	4296.9	Twitter	9.562279	18.494552	0.042132	2.733989	58.664290	1.000000
38	Spectrogram 1	6	493.650	493.700	4000.0	18000.0	6445.3	Twitter	9.531767	18.923836	-0.342436	4.104338	52.405807	1.000000
39	Spectrogram 1	6	493.820	493.850	4000.0	18000.0	6445.3	Twitter	9.825049	21.761668	-1.724815	6.364738	49.572013	0.000000
40	Spectrogram 1	6	493.960	493.990	4000.0	18000.0	6445.3	Twitter	9.545614	20.858786	-0.955311	5.439398	51.246791	1.000000
41	Spectrogram 1	5	494.030	494.130	4000.0	18000.0	6250.0	Twitter	8.102567	20.228960	1.219669	6.139116	56.391760	1.000000
42	Spectrogram 1	6	494.200	494.250	4000.0	18000.0	6445.3	Twitter	8.214221	16.083723	-0.274945	2.674712	52.425389	1.000000
43	Spectrogram 1	6	494.340	494.370	4000.0	18000.0	16210.9	Twitter	8.598622	14.110334	-0.339544	2.172719	51.925820	1.000000
44	Spectrogram 1	6	494.450	494.480	4000.0	18000.0	11523.4	Trill	7.698672	12.657800	-0.167542	2.006942	60.117033	1.000000
45	Spectrogram 1	6	496.270	496.300	4000.0	18000.0	9960.9	Tse	5.612817	25.917428	-1.419870	6.402621	49.013086	0.000000
46	Spectrogram 1	1	502.510	502.600	4000.0	18000.0	6640.6	Trill	5.508355	11.049440	NaN	NaN	59.234152	0.000000
47	Spectrogram 1	6	515.680	515.970	4000.0	18000.0	8203.1	Trill	3.570228	6.761325	-4.200866	8.614967	35.472946	0.000000
48	Spectrogram 1	6	518.850	518.900	4000.0	18000.0	7617.2	Trill	3.161105	10.099744	-9.796941	22.337897	52.540097	0.000000
49	Spectrogram 1	6	518.980	519.020	4000.0	18000.0	7812.5	Trill	1.296814	7.015377	-8.230137	17.968915	37.297883	0.000000
50	Spectrogram 1	6	519.060	519.220	4000.0	18000.0	7617.2	Trill	2.198389	5.132579	-4.460635	10.291638	29.727567	0.000000
51	Spectrogram 1	5	548.460	548.750	4000.0	18000.0	13867.2	Trill	8.293592	9.505649	0.044154	1.804967	56.329469	1.000000
52	Spectrogram 1	6	557.650	557.710	4000.0	18000.0	6445.3	Trill	10.872526	12.235755	-0.154289	1.994830	62.089727	1.000000
53	Spectrogram 1	6	584.930	584.970	4000.0	18000.0	8203.1	Trill	2.932196	6.520484	-8.846516	12.614283	33.535879	0.000000
54	Spectrogram 1	5	609.910	609.970	4000.0	18000.0	8203.1	Trill	7.083108	11.295302	11.156980	1.832509	57.266716	0.000000
55	Spectrogram 1	5	610.040	610.100	4000.0	18000.0	8007.8	Trill	4.313607	7.264938	5.489676	2.957209	38.489181	0.000000
56	Spectrogram 1	1	625.080	625.140	4000.0	18000.0	8203.1	Trill	10.118957	14.429978	NaN	NaN	83.909654	0.000000
57	Spectrogram 1	1	625.450	625.640	4000.0	18000.0	8398.4	Trillphee	5.978272	10.671214	NaN	NaN	65.271725	0.000000
58	Spectrogram 1	1	625.780	625.990	4000.0	18000.0	8398.4	Trillphee	5.030920	10.372626	NaN	NaN	57.346396	0.000000
59	Spectrogram 1	6	655.950	655.990	4000.0	18000.0	5273.4	Trill	9.036172	10.365937	-0.273327	0.799292	30.603166	1.000000
60	Spectrogram 1	1	702.310	702.450	4000.0	18000.0	8007.8	Trill	4.999211	9.941396	NaN	NaN	54.974152	0.000000
61	Spectrogram 1	1	702.830	702.970	4000.0	18000.0	8203.1	Trillphee	5.485322	9.979811	NaN	NaN	72.300796	0.000000
62	Spectrogram 1	6	711.460	711.520	4000.0	18000.0	6835.9	Phee	7.335035	17.863992	-0.748816	2.953752	95.744569	1.000000
63	Spectrogram 1	6	713.900	713.930	4000.0	18000.0	4882.8	Tse	9.572373	19.374860	-4.280514	1.522467	63.211275	0.000000
64	Spectrogram 1	5	714.160	714.190	4000.0	18000.0	7031.2	Twitter	10.300082	18.609228	0.044750	2.003960	50.761822	1.000000
65	Spectrogram 1	6	714.300	714.330	4000.0	18000.0	6835.9	Twitter	9.698467	19.137118	-5.028777	3.474170	48.605888	0.000000
66	Spectrogram 1	5	714.750	714.790	4000.0	18000.0	4882.8	Twitter	11.189962	23.180992	0.066374	1.812740	51.229838	1.000000
67	Spectrogram 1	6	714.900	714.930	4000.0	18000.0	7617.2	Twitter	12.238253	20.940759	-2.815958	2.141710	60.734789	1.000000
68	Spectrogram 1	6	715.050	715.090	4000.0	18000.0	6640.6	Twitter	13.022205	22.856298	-2.439013	3.044410	65.870885	1.000000
69	Spectrogram 1	5	715.190	715.240	4000.0	18000.0	7226.6	Twitter	13.461749	21.435463	0.016408	2.502541	67.850617	1.000000
70	Spectrogram 1	5	715.330	715.390	4000.0	18000.0	6640.6	Twitter	10.692310	18.047043	0.679340	2.554442	65.635734	1.000000
71	Spectrogram 1	6	715.590	715.640	4000.0	18000.0	4101.6	Trill	10.183411	16.416661	-0.620100	1.948036	63.570792	1.000000
72	Spectrogram 1	6	716.540	716.560	4000.0	18000.0	8007.8	Twitter	12.129352	20.235552	-1.104003	1.836324	61.183792	1.000000
73	Spectrogram 1	5	716.700	716.730	4000.0	18000.0	7226.6	Twitter	11.023624	22.025521	2.734951	5.450226	66.239574	0.000000
74	Spectrogram 1	6	716.850	716.880	4000.0	18000.0	6835.9	Twitter	13.004189	22.759248	-0.252878	4.439977	72.520286	1.000000
75	Spectrogram 1	6	716.980	717.020	4000.0	18000.0	6835.9	Twitter	11.888628	22.588531	-1.519798	5.767819	64.363563	1.000000
76	Spectrogram 1	6	717.120	717.160	4000.0	18000.0	6835.9	Twitter	12.068704	22.528562	-0.464787	5.072263	72.328013	1.000000
77	Spectrogram 1	6	717.260	717.300	4000.0	18000.0	6835.9	Twitter	11.624121	22.777146	-1.511895	4.729835	64.061423	1.000000
78	Spectrogram 1	6	717.380	717.440	4000.0	18000.0	6640.6	Twitter	10.418632	20.997847	-0.166057	3.945387	68.921760	1.000000
79	Spectrogram 1	6	717.510	717.570	4000.0	18000.0	6640.6	Twitter	10.587830	20.273711	-0.580814	3.349300	80.535422	1.000000
80	Spectrogram 1	5	717.640	717.690	4000.0	18000.0	6250.0	Twitter	7.962510	16.642384	0.122309	2.473966	53.748245	1.000000
81	Spectrogram 1	6	719.830	719.860	4000.0	18000.0	6640.6	Twitter	7.577414	17.159274	-0.474583	3.199857	56.921120	1.000000
82	Spectrogram 1	6	730.310	730.350	4000.0	18000.0	6445.3	Trill	4.805264	13.000436	-2.212452	4.562413	74.286863	0.000000
83	Spectrogram 1	1	736.800	737.310	4000.0	18000.0	8398.4	Trillphee	6.257602	13.257423	NaN	NaN	68.504809	0.000000
84	Spectrogram 1	1	737.430	737.590	4000.0	18000.0	8593.7	Trillphee	4.411758	9.321355	NaN	NaN	57.392824	0.000000
85	Spectrogram 1	5	746.680	746.750	4000.0	18000.0	8789.1	Trill	0.811913	6.407983	2.861960	8.216889	29.485625	2.000000
86	Spectrogram 1	1	754.090	754.190	4000.0	18000.0	8203.1	Trillphee	7.852556	14.346263	NaN	NaN	93.124298	0.000000
87	Spectrogram 1	1	754.300	754.360	4000.0	18000.0	8398.4	Phee	5.684508	18.956697	NaN	NaN	58.512724	0.000000
88	Spectrogram 1	6	775.700	775.740	4000.0	18000.0	4687.5	Trill	3.072259	6.540652	-5.404963	2.234322	32.883531	0.000000
89	Spectrogram 1	1	789.820	790.050	4000.0	18000.0	7812.5	Trill	4.657411	11.025965	NaN	NaN	66.851359	0.000000
90	Spectrogram 1	6	796.880	796.920	4000.0	18000.0	4296.9	Twitter	11.676206	13.864690	-2.229289	0.914843	59.476315	1.000000
91	Spectrogram 1	5	813.370	813.490	4000.0	18000.0	4492.2	Trill	10.248714	10.512843	2.410637	0.542041	30.935738	1.000000
92	Spectrogram 1	5	813.590	813.690	4000.0	18000.0	8398.4	Trill	9.957248	14.139313	1.621767	2.890361	77.323300	0.000000
93	Spectrogram 1	5	816.470	816.550	4000.0	18000.0	8398.4	Trill	3.507332	7.064224	3.455075	3.654610	38.805057	0.000000
94	Spectrogram 1	5	827.140	827.510	4000.0	18000.0	8203.1	Trill	9.176894	12.235036	0.707091	2.531475	71.278922	1.000000
95	Spectrogram 1	5	838.300	838.590	4000.0	18000.0	8203.1	Trill	7.300789	9.384213	1.614420	3.152323	54.991352	0.000000
96	Spectrogram 1	1	846.910	847.510	4000.0	18000.0	8203.1	Phee	5.093245	12.925994	NaN	NaN	66.340312	0.000000
97	Spectrogram 1	1	847.550	848.280	4000.0	18000.0	8398.4	Phee	8.603631	22.117863	NaN	NaN	102.652276	0.000000
98	Spectrogram 1	1	848.350	848.430	4000.0	18000.0	8398.4	Trillphee	5.035186	11.726829	NaN	NaN	53.859705	0.000000
99	Spectrogram 1	5	870.680	871.020	4000.0	18000.0	7812.5	Trill	12.683464	15.173191	1.916576	3.482880	90.385838	0.000000
100	Spectrogram 1	5	879.140	879.240	4000.0	18000.0	9179.7	Trill	11.683410	16.420366	1.106305	3.472965	87.555121	0.000000
101	Spectrogram 1	6	894.000	894.220	4000.0	18000.0	8007.8	Trill	4.678417	16.316720	-3.044520	3.345487	49.245648	0.000000
102	Spectrogram 1	6	897.380	897.490	4000.0	18000.0	6835.9	Trill	6.973281	15.458321	-0.450681	2.972315	73.284927	1.000000
103	Spectrogram 1	6	913.260	913.380	4000.0	18000.0	9765.6	Sd-peep	10.506981	13.699575	-2.266874	0.564953	79.159596	1.000000
104	Spectrogram 1	6	913.460	913.490	4000.0	18000.0	4296.9	Trill	6.497901	7.075972	-3.202872	1.482167	43.572052	0.000000
105	Spectrogram 1	6	965.150	965.180	4000.0	18000.0	7031.2	Twitter	6.468117	15.599521	-3.612432	5.615555	53.057771	0.000000
106	Spectrogram 1	6	965.290	965.320	4000.0	18000.0	6835.9	Twitter	6.930506	13.882256	-2.259690	4.456529	48.797498	1.000000
107	Spectrogram 1	6	965.440	965.470	4000.0	18000.0	6835.9	Trill	6.231056	14.196667	-1.514364	3.604157	52.424777	0.000000
108	Spectrogram 1	6	965.850	965.880	4000.0	18000.0	6640.6	Twitter	7.030576	14.286612	-2.824554	3.495064	71.030254	1.000000
109	Spectrogram 1	6	974.740	974.810	4000.0	18000.0	5859.4	Sd-peep	10.170191	10.146055	-3.708104	1.575811	28.602127	0.000000
110	Spectrogram 1	6	994.720	994.820	4000.0	18000.0	4101.6	Trill	4.764842	8.373533	-4.965982	1.562951	39.236479	0.000000
111	Spectrogram 1	5	1005.090	1005.160	4000.0	18000.0	8398.4	Trill	4.499423	7.519262	4.839917	1.435603	39.051252	0.000000
112	Spectrogram 1	5	1005.220	1005.340	4000.0	18000.0	14257.8	Trill	4.989995	7.276089	4.637164	1.024065	34.375631	0.000000
113	Spectrogram 1	1	1010.290	1010.320	4000.0	18000.0	7812.5	Tse	9.743820	10.299453	NaN	NaN	35.226056	0.000000
114	Spectrogram 1	6	1032.740	1032.840	4000.0	18000.0	7812.5	Trill	3.837589	7.748882	-8.974833	6.296887	33.891197	0.000000
115	Spectrogram 1	6	1032.880	1032.960	4000.0	18000.0	8789.1	Trill	4.887979	7.852789	-6.550051	4.319558	37.940812	0.000000
116	Spectrogram 1	6	1055.780	1055.920	4000.0	18000.0	4296.9	Trill	11.115984	16.849036	-2.020098	1.395838	76.756366	1.000000
117	Spectrogram 1	6	1149.380	1150.910	4000.0	18000.0	7031.2	Phee	6.208890	22.116546	-1.080238	4.834922	94.870085	0.000000
118	Spectrogram 1	5	1153.970	1153.990	4000.0	18000.0	7812.5	Phee	7.813035	21.088641	9.174672	12.945087	55.160943	0.000000
119	Spectrogram 1	5	1154.220	1154.240	4000.0	18000.0	7617.2	Tse	8.190249	22.848220	12.641547	17.740428	61.766178	0.000000
120	Spectrogram 1	5	1154.450	1154.480	4000.0	18000.0	8593.7	Twitter	5.467163	18.299564	6.777539	12.551383	58.804811	0.000000
121	Spectrogram 1	6	1155.010	1155.040	4000.0	18000.0	6054.7	Twitter	8.840978	22.092223	-3.145160	7.897473	57.288427	0.000000
122	Spectrogram 1	6	1155.130	1155.210	4000.0	18000.0	6250.0	Twitter	7.631982	18.515407	-1.874938	6.449103	55.764206	0.000000
123	Spectrogram 1	6	1155.310	1155.360	4000.0	18000.0	6054.7	Twitter	8.093189	21.358673	-2.637653	7.015353	58.858702	0.000000
124	Spectrogram 1	6	1155.450	1155.510	4000.0	18000.0	5859.4	Twitter	7.075783	19.145008	-1.736251	5.930639	56.112188	1.000000
125	Spectrogram 1	6	1155.620	1155.980	4000.0	18000.0	6250.0	Phee	7.107939	21.465470	-1.917393	7.241593	82.571533	0.000000
126	Spectrogram 1	6	1156.040	1156.130	4000.0	18000.0	6445.3	Phee	7.351697	20.674519	-1.946842	8.481661	81.746436	0.000000
127	Spectrogram 1	6	1156.210	1156.290	4000.0	18000.0	6640.6	Trill	7.346348	19.307095	-7.507151	15.088427	68.049506	0.000000
128	Spectrogram 1	6	1156.350	1156.380	4000.0	18000.0	6835.9	Twitter	5.784198	18.399877	-2.372155	8.842058	64.729244	0.000000
129	Spectrogram 1	6	1156.670	1156.700	4000.0	18000.0	7226.6	Twitter	7.890706	20.396029	-6.108863	12.159152	71.560248	0.000000
