Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Freq (Hz)	Call Type
1	Spectrogram 1	1	0.183	2.900	5381.9	21006.9	9765.6	Noise
2	Spectrogram 1	2	0.248	10.372	2951.4	15972.2	5273.4	Noise
3	Spectrogram 1	3	0.276	10.082	1736.1	17708.3	2148.4	Noise
4	Spectrogram 1	4	0.506	4.488	2951.4	17361.1	4296.9	Noise
5	Spectrogram 1	4	5.083	8.414	2430.6	16666.7	5078.1	Noise
6	Spectrogram 1	1	11.786	18.833	2604.2	18055.6	10156.2	Noise
7	Spectrogram 1	2	10.681	18.715	2430.6	18750.0	5078.1	Noise
8	Spectrogram 1	3	10.756	19.053	0.0	18229.2	195.3	Noise
9	Spectrogram 1	4	9.599	19.006	3819.4	18229.2	8203.1	Noise
10	Spectrogram 1	1	19.726	24.627	0.0	19791.7	195.3	Noise
11	Spectrogram 1	2	19.141	28.571	1388.9	15451.4	3515.6	Noise
12	Spectrogram 1	3	19.333	28.632	4861.1	18750.0	4882.8	Noise
13	Spectrogram 1	4	19.899	28.651	2256.9	19270.8	4882.8	Noise
14	Spectrogram 1	1	29.302	38.545	2951.4	18750.0	11132.8	Noise
15	Spectrogram 1	2	29.049	38.695	7986.1	20312.5	10546.9	Noise
16	Spectrogram 1	3	28.890	38.527	2083.3	17708.3	6835.9	Noise
17	Spectrogram 1	4	28.969	38.733	2256.9	18750.0	10351.6	Noise
18	Spectrogram 1	2	39.750	57.838	3993.1	19965.3	4492.2	Noise
19	Spectrogram 1	1	42.546	47.290	694.4	14930.6	1562.5	Noise
20	Spectrogram 1	3	39.737	58.394	1041.7	18576.4	9375.0	Noise
21	Spectrogram 1	1	54.345	73.837	2430.6	20312.5	2539.1	Noise
22	Spectrogram 1	2	58.505	72.352	0.0	21354.2	195.3	Noise
23	Spectrogram 1	3	59.062	79.150	0.0	20312.5	195.3	Noise
24	Spectrogram 1	4	54.702	78.925	1041.7	19965.3	5859.4	Noise
25	Spectrogram 1	2	75.012	97.207	2083.3	17708.3	5078.1	Noise
26	Spectrogram 1	3	79.742	102.520	3645.8	20138.9	8593.7	Noise
27	Spectrogram 1	4	82.220	95.524	694.4	18055.6	3515.6	Noise
28	Spectrogram 1	1	98.801	103.531	0.0	16666.7	195.3	Noise
29	Spectrogram 1	4	98.880	100.669	0.0	18229.2	195.3	Noise
30	Spectrogram 1	1	105.678	112.899	0.0	18750.0	195.3	Noise
31	Spectrogram 1	2	108.528	136.891	4736.8	18421.1	7812.5	Noise
32	Spectrogram 1	3	108.581	128.458	1315.8	20000.0	8007.8	Noise
33	Spectrogram 1	4	108.634	136.785	1842.1	17894.7	7617.2	Noise
