Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Freq (Hz)	Call Type
421	Spectrogram 1	1	2245.314057229	2245.353809866	1805.1	11462.1	4101.6	egg
425	Spectrogram 1	1	2256.892655167	2256.935720523	1353.8	6317.7	3027.3	egg
430	Spectrogram 1	1	2264.342717822	2264.389095898	1805.1	9115.5	2246.1	egg
472	Spectrogram 1	1	2321.856284318	2321.899349674	1173.3	9747.3	2539.1	egg
474	Spectrogram 1	1	2324.095294045	2324.135046682	992.8	7491.0	2539.1	egg
475	Spectrogram 1	1	2324.204613796	2324.247679153	2075.8	10108.3	2636.7	egg
13	Spectrogram 1	1	165.691823930	166.635949057	4000.0	18000.0	8691.4	phee
15	Spectrogram 1	1	167.119606140	167.815277286	4000.0	18000.0	8203.1	phee
17	Spectrogram 1	1	168.275745330	168.911787521	4000.0	18000.0	8203.1	phee
179	Spectrogram 1	1	2183.498020000	2183.548020000	4000.0	18000.0	7812.5	phee
181	Spectrogram 1	1	2184.834020000	2185.580218961	4000.0	18000.0	8496.1	phee
183	Spectrogram 1	1	2185.956020000	2186.648020000	4000.0	18000.0	8496.1	phee
258	Spectrogram 1	1	2311.254020000	2311.306020000	4000.0	18000.0	6152.3	phee
401	Spectrogram 1	1	2725.736020000	2725.856020000	4000.0	18000.0	6152.3	phee
227	Spectrogram 1	1	2263.598020000	2263.656020000	4000.0	18000.0	7421.9	sd-peep
228	Spectrogram 1	1	2263.780020000	2263.830020000	4000.0	18000.0	8203.1	sd-peep
252	Spectrogram 1	1	2307.888020000	2307.972020000	4000.0	18000.0	7226.6	sd-peep
253	Spectrogram 1	1	2308.066020000	2308.132020000	4000.0	18000.0	7128.9	sd-peep
259	Spectrogram 1	1	2314.752020000	2314.812020000	4000.0	18000.0	7324.2	sd-peep
260	Spectrogram 1	1	2316.686020000	2316.740020000	4000.0	18000.0	7226.6	sd-peep
261	Spectrogram 1	1	2316.830020000	2316.884020000	4000.0	18000.0	7128.9	sd-peep
262	Spectrogram 1	1	2317.916020000	2318.012020000	4000.0	18000.0	7226.6	sd-peep
263	Spectrogram 1	1	2319.730020000	2319.809023516	4000.0	18000.0	7226.6	sd-peep
264	Spectrogram 1	1	2319.948157745	2320.007786701	4000.0	18000.0	8789.1	sd-peep
279	Spectrogram 1	1	2360.812020000	2360.894020000	4000.0	18000.0	9570.3	sd-peep
280	Spectrogram 1	1	2360.980020000	2361.056020000	4000.0	18000.0	7519.5	sd-peep
281	Spectrogram 1	1	2361.174020000	2361.276020000	4000.0	18000.0	7128.9	sd-peep
287	Spectrogram 1	1	2369.170020000	2369.238020000	4000.0	18000.0	7324.2	sd-peep
288	Spectrogram 1	1	2369.412020000	2369.490020000	4000.0	18000.0	7324.2	sd-peep
289	Spectrogram 1	1	2369.550020000	2369.648020000	4000.0	18000.0	7226.6	sd-peep
290	Spectrogram 1	1	2369.756020000	2369.842020000	4000.0	18000.0	7226.6	sd-peep
301	Spectrogram 1	1	2393.180020000	2393.269015832	4000.0	18000.0	7714.8	sd-peep
