Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Freq (Hz)	Call Type	Energy Diff	Energy Par	Energy Diff (wl)	Energy Par (wl)	AHR	Exception
1	Spectrogram 1	1	49.170000	49.200000	4000.000000	18000.000000	8000.000000	Noise	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
2	Spectrogram 1	1	120.340000	120.360000	4000.000000	18000.000000	8000.000000	Noise	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3	Spectrogram 1	1	269.050000	269.070000	4000.000000	18000.000000	8000.000000	Noise	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
4	Spectrogram 1	1	278.970000	278.990000	4000.000000	18000.000000	8000.000000	Noise	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5	Spectrogram 1	1	318.640000	318.660000	4000.000000	18000.000000	8000.000000	Noise	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6	Spectrogram 1	1	374.270000	374.290000	4000.000000	18000.000000	8000.000000	Noise	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
7	Spectrogram 1	1	387.730000	387.750000	4000.000000	18000.000000	8000.000000	Noise	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
8	Spectrogram 1	1	622.860000	622.880000	4000.000000	18000.000000	8000.000000	Noise	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
9	Spectrogram 1	1	628.720000	628.740000	4000.000000	18000.000000	8000.000000	Noise	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
10	Spectrogram 1	1	628.820000	628.840000	4000.000000	18000.000000	8000.000000	Noise	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
11	Spectrogram 1	1	720.600000	720.620000	4000.000000	18000.000000	8000.000000	Noise	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
12	Spectrogram 1	1	720.740000	720.760000	4000.000000	18000.000000	8000.000000	Noise	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
13	Spectrogram 1	1	720.820000	720.840000	4000.000000	18000.000000	8000.000000	Noise	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
14	Spectrogram 1	1	894.830000	894.860000	4000.000000	18000.000000	8000.000000	Noise	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
15	Spectrogram 1	1	1062.970000	1063.050000	4000.000000	18000.000000	8000.000000	Noise	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
16	Spectrogram 1	1	1063.280000	1063.390000	4000.000000	18000.000000	8000.000000	Noise	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
17	Spectrogram 1	1	1355.040000	1355.060000	4000.000000	18000.000000	8000.000000	Noise	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
18	Spectrogram 1	1	1438.310000	1438.350000	4000.000000	18000.000000	8000.000000	Noise	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
19	Spectrogram 1	1	1598.470000	1598.490000	4000.000000	18000.000000	8000.000000	Noise	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
20	Spectrogram 1	1	1600.710000	1600.740000	4000.000000	18000.000000	8000.000000	Noise	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
21	Spectrogram 1	1	1628.130000	1628.170000	4000.000000	18000.000000	8000.000000	Noise	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
22	Spectrogram 1	1	1708.070000	1708.090000	4000.000000	18000.000000	8000.000000	Noise	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
23	Spectrogram 1	1	1764.780000	1764.810000	4000.000000	18000.000000	8000.000000	Noise	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
24	Spectrogram 1	1	1872.190000	1872.220000	4000.000000	18000.000000	8000.000000	Noise	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
25	Spectrogram 1	1	1917.360000	1917.380000	4000.000000	18000.000000	8000.000000	Noise	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
26	Spectrogram 1	1	1946.300000	1946.320000	4000.000000	18000.000000	8000.000000	Noise	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
27	Spectrogram 1	1	1954.050000	1954.070000	4000.000000	18000.000000	8000.000000	Noise	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
28	Spectrogram 1	1	1981.970000	1981.990000	4000.000000	18000.000000	8000.000000	Noise	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
