Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Freq (Hz)	Call Type	Energy Diff	Energy Par	Energy Diff (wl)	Energy Par (wl)	AHR	Exception
1	Spectrogram 1	1	60.289	61.324	4000.0	18000.0	8984.4	Trill	11.033019	30.000000	NaN	NaN	132.279750	0.000000
2	Spectrogram 1	1	66.943	67.237	4000.0	18000.0	7421.9	Trill	5.929825	18.773926	NaN	NaN	44.692436	0.000000
3	Spectrogram 1	1	69.410	69.748	4000.0	18000.0	7617.2	Trill	7.356726	20.980941	NaN	NaN	51.395292	0.000000
4	Spectrogram 1	1	89.864	90.318	4000.0	18000.0	8789.1	Trill	6.649227	25.159781	NaN	NaN	71.793100	0.000000
7	Spectrogram 1	1	109.140	109.924	4000.0	18000.0	8398.4	Trillphee	12.338663	30.000000	NaN	NaN	101.258378	0.000000
8	Spectrogram 1	1	118.340	119.183	4000.0	18000.0	8789.1	Trill	7.794964	23.855829	NaN	NaN	87.348531	0.000000
9	Spectrogram 1	1	123.620	124.452	4000.0	18000.0	8984.4	Trill	9.131022	27.326922	NaN	NaN	84.606054	0.000000
10	Spectrogram 1	1	137.840	138.620	4000.0	18000.0	8984.4	Phee	7.276301	30.000000	NaN	NaN	33.166124	0.000000
11	Spectrogram 1	1	138.930	139.567	4000.0	18000.0	8984.4	Phee	7.828796	30.000000	NaN	NaN	30.209117	0.000000
12	Spectrogram 1	1	139.950	140.612	4000.0	18000.0	8593.7	Phee	7.934799	27.439940	NaN	NaN	32.946262	0.000000
13	Spectrogram 1	1	150.430	150.704	4000.0	18000.0	9375.0	Trill	11.223958	29.003564	NaN	NaN	65.357573	0.000000
17	Spectrogram 1	1	165.392	166.068	4000.0	18000.0	8789.1	Phee	9.514832	28.104919	NaN	NaN	43.971834	0.000000
18	Spectrogram 1	1	166.440	167.071	4000.0	18000.0	8789.1	Phee	9.127186	28.298751	NaN	NaN	38.972108	0.000000
19	Spectrogram 1	1	167.480	168.104	4000.0	18000.0	8203.1	Phee	9.811258	29.872459	NaN	NaN	39.345343	0.000000
20	Spectrogram 1	1	168.460	169.077	4000.0	18000.0	8593.7	Phee	9.035351	28.368795	NaN	NaN	40.072080	0.000000
21	Spectrogram 1	1	169.500	170.122	4000.0	18000.0	8593.7	Phee	7.246672	27.553312	NaN	NaN	35.923578	0.000000
22	Spectrogram 1	1	174.940	175.457	4000.0	18000.0	8007.8	Phee	9.516934	30.000000	NaN	NaN	42.834787	0.000000
24	Spectrogram 1	1	176.410	176.949	4000.0	18000.0	8203.1	Phee	9.782035	29.107982	NaN	NaN	31.178768	0.000000
25	Spectrogram 1	1	177.390	177.954	4000.0	18000.0	8398.4	Phee	10.281305	28.999561	NaN	NaN	30.137809	0.000000
244	Spectrogram 1	1	178.330	178.892	4184.5	16094.4	8203.1	Phee						
26	Spectrogram 1	1	179.220	179.933	4000.0	18000.0	9179.7	Phee	8.858969	30.000000	NaN	NaN	29.626339	0.000000
27	Spectrogram 1	1	223.400	224.044	4000.0	18000.0	8984.4	Trillphee	10.235552	30.034092	NaN	NaN	51.479662	0.000000
28	Spectrogram 1	1	224.480	225.147	4000.0	18000.0	8789.1	Phee	10.639120	28.876620	NaN	NaN	39.755320	0.000000
29	Spectrogram 1	1	225.550	226.248	4000.0	18000.0	8984.4	Phee	11.238382	27.801284	NaN	NaN	38.066761	0.000000
30	Spectrogram 1	1	233.290	233.600	4000.0	18000.0	7421.9	Trill	10.768638	27.806389	NaN	NaN	60.478630	0.000000
31	Spectrogram 1	1	244.350	244.690	4000.0	18000.0	8203.1	Trill	8.045444	26.873295	NaN	NaN	62.347993	0.000000
36	Spectrogram 1	1	252.580	253.507	4000.0	18000.0	8789.1	Trillphee	8.605183	27.346554	NaN	NaN	46.828427	0.000000
37	Spectrogram 1	1	254.000	254.731	4000.0	18000.0	8593.7	Phee	9.210440	27.597106	NaN	NaN	37.174696	0.000000
40	Spectrogram 1	1	284.510	285.264	4000.0	18000.0	9179.7	Phee	9.044650	30.000000	NaN	NaN	39.038448	0.000000
41	Spectrogram 1	1	285.682	286.348	4000.0	18000.0	8984.4	Phee	7.126561	27.499261	NaN	NaN	32.178488	0.000000
42	Spectrogram 1	1	286.750	287.397	4000.0	18000.0	8984.4	Phee	6.071295	25.028218	NaN	NaN	32.201339	0.000000
43	Spectrogram 1	1	287.831	288.572	4000.0	18000.0	8203.1	Phee	5.581362	28.332430	NaN	NaN	40.575858	0.000000
48	Spectrogram 1	1	323.470	324.160	4000.0	18000.0	8984.4	Phee	13.124945	30.000000	NaN	NaN	41.188907	0.000000
49	Spectrogram 1	1	324.510	325.224	4000.0	18000.0	8398.4	Phee	14.507781	30.000000	NaN	NaN	30.818071	0.000000
50	Spectrogram 1	1	325.580	326.240	4000.0	18000.0	8398.4	Phee	13.192835	30.000000	NaN	NaN	30.297834	0.000000
51	Spectrogram 1	1	326.580	327.230	4000.0	18000.0	8007.8	Phee	12.356783	28.516484	NaN	NaN	32.150057	0.000000
246	Spectrogram 1	1	335.164	335.752	5257.5	20922.7	8789.1	Phee						
52	Spectrogram 1	1	336.060	336.679	4000.0	18000.0	8789.1	Phee	8.892058	30.000000	NaN	NaN	28.990499	0.000000
53	Spectrogram 1	1	337.060	337.714	4000.0	18000.0	8593.7	Phee	10.028494	29.520134	NaN	NaN	29.968287	0.000000
54	Spectrogram 1	1	338.090	338.763	4000.0	18000.0	8593.7	Phee	10.895171	30.000000	NaN	NaN	32.141909	0.000000
247	Spectrogram 1	1	357.429	358.040	5794.0	19420.6	8789.1	Phee						
248	Spectrogram 1	1	358.376	358.970	5686.7	18669.5	8789.1	Phee						
55	Spectrogram 1	1	359.280	359.885	4000.0	18000.0	8789.1	Phee	10.946848	30.000000	NaN	NaN	29.967411	0.000000
