Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Freq (Hz)	Call Type
1	Spectrogram 1	1	27.03	27.5	4000.0	18000.0	18000.0	Trill
2	Spectrogram 1	1	58.49	59.42	4000.0	18000.0	18000.0	Twitter
3	Spectrogram 1	1	109.06	110.06	4000.0	18000.0	18000.0	Trillphee
4	Spectrogram 1	1	143.16	143.61	4000.0	18000.0	18000.0	Trill
5	Spectrogram 1	1	168.12	169.09	4000.0	18000.0	18000.0	Trill
6	Spectrogram 1	1	174.56	175.21	4000.0	18000.0	18000.0	Trill
7	Spectrogram 1	1	175.39	176.04	4000.0	18000.0	18000.0	Trill
8	Spectrogram 1	1	176.2	176.59	4000.0	18000.0	18000.0	Trill
9	Spectrogram 1	1	185.07	185.16	4000.0	18000.0	18000.0	Twitter
10	Spectrogram 1	1	185.23	186.16	4000.0	18000.0	18000.0	Twitter
11	Spectrogram 1	1	193.38	194.61	4000.0	18000.0	18000.0	Trill
12	Spectrogram 1	1	194.82	195.27	4000.0	18000.0	18000.0	Trill
13	Spectrogram 1	1	195.4	195.86	4000.0	18000.0	18000.0	Trill
14	Spectrogram 1	1	196.0	196.05	4000.0	18000.0	18000.0	Twitter
15	Spectrogram 1	1	200.59	200.65	4000.0	18000.0	18000.0	Tsik
16	Spectrogram 1	1	200.96	201.57	4000.0	18000.0	18000.0	Trill
17	Spectrogram 1	1	201.75	202.37	4000.0	18000.0	18000.0	Trill
18	Spectrogram 1	1	202.53	202.9	4000.0	18000.0	18000.0	Trill
19	Spectrogram 1	1	207.73	207.91	4000.0	18000.0	18000.0	Tse
20	Spectrogram 1	1	208.48	208.56	4000.0	18000.0	18000.0	Tsik
21	Spectrogram 1	1	212.96	213.06	4000.0	18000.0	18000.0	Tse
22	Spectrogram 1	1	213.25	213.91	4000.0	18000.0	18000.0	Trill
23	Spectrogram 1	1	214.13	214.86	4000.0	18000.0	18000.0	Trill
24	Spectrogram 1	1	215.02	215.56	4000.0	18000.0	18000.0	Trill
25	Spectrogram 1	1	215.72	215.78	4000.0	18000.0	18000.0	Twitter
26	Spectrogram 1	1	222.54	222.59	4000.0	18000.0	18000.0	Tsik
27	Spectrogram 1	1	223.24	223.37	4000.0	18000.0	18000.0	Tsik
28	Spectrogram 1	1	223.89	224.02	4000.0	18000.0	18000.0	Tsik
29	Spectrogram 1	1	227.03	227.22	4000.0	18000.0	18000.0	Tse
30	Spectrogram 1	1	228.7	228.83	4000.0	18000.0	18000.0	Tse
31	Spectrogram 1	1	229.78	229.93	4000.0	18000.0	18000.0	Sd-peep
32	Spectrogram 1	1	234.95	235.22	4000.0	18000.0	18000.0	Tse
33	Spectrogram 1	1	325.48	326.68	4000.0	18000.0	18000.0	Trill
34	Spectrogram 1	1	326.77	327.23	4000.0	18000.0	18000.0	Trill
35	Spectrogram 1	1	327.37	327.73	4000.0	18000.0	18000.0	Trill
36	Spectrogram 1	1	330.24	330.27	4000.0	18000.0	18000.0	Sd-peep
37	Spectrogram 1	1	330.65	330.79	4000.0	18000.0	18000.0	Sd-peep
38	Spectrogram 1	1	331.01	331.05	4000.0	18000.0	18000.0	Sd-peep
39	Spectrogram 1	1	347.4	347.46	4000.0	18000.0	18000.0	Sd-peep
40	Spectrogram 1	1	347.71	348.33	4000.0	18000.0	18000.0	Trill
41	Spectrogram 1	1	348.43	349.13	4000.0	18000.0	18000.0	Trill
42	Spectrogram 1	1	349.26	349.92	4000.0	18000.0	18000.0	Trill
43	Spectrogram 1	1	350.06	350.44	4000.0	18000.0	18000.0	Trill
44	Spectrogram 1	1	355.16	356.51	4000.0	18000.0	18000.0	Twitter
45	Spectrogram 1	1	362.25	362.3	4000.0	18000.0	18000.0	Tse
46	Spectrogram 1	1	363.1	363.23	4000.0	18000.0	18000.0	Sd-peep
47	Spectrogram 1	1	365.86	365.94	4000.0	18000.0	18000.0	Tse
48	Spectrogram 1	1	368.49	368.66	4000.0	18000.0	18000.0	Sd-peep
49	Spectrogram 1	1	368.9	369.04	4000.0	18000.0	18000.0	Sd-peep
50	Spectrogram 1	1	421.66	421.72	4000.0	18000.0	18000.0	Tse
51	Spectrogram 1	1	421.95	422.01	4000.0	18000.0	18000.0	Tse
52	Spectrogram 1	1	446.12	446.21	4000.0	18000.0	18000.0	Sd-peep
53	Spectrogram 1	1	449.54	449.59	4000.0	18000.0	18000.0	Tse
54	Spectrogram 1	1	450.43	450.53	4000.0	18000.0	18000.0	Sd-peep
55	Spectrogram 1	1	461.28	461.35	4000.0	18000.0	18000.0	Sd-peep
56	Spectrogram 1	1	464.26	464.63	4000.0	18000.0	18000.0	Trill
57	Spectrogram 1	1	464.87	464.98	4000.0	18000.0	18000.0	Tse
58	Spectrogram 1	1	465.25	465.35	4000.0	18000.0	18000.0	Tse
59	Spectrogram 1	1	468.3	468.38	4000.0	18000.0	18000.0	Tse
60	Spectrogram 1	1	489.21	489.63	4000.0	18000.0	18000.0	Tse
61	Spectrogram 1	1	489.99	490.82	4000.0	18000.0	18000.0	Tse
62	Spectrogram 1	1	490.88	490.95	4000.0	18000.0	18000.0	Tse
63	Spectrogram 1	1	491.03	491.1	4000.0	18000.0	18000.0	Tse
64	Spectrogram 1	1	491.16	491.22	4000.0	18000.0	18000.0	Tse
65	Spectrogram 1	1	491.38	491.43	4000.0	18000.0	18000.0	Sd-peep
66	Spectrogram 1	1	491.49	491.55	4000.0	18000.0	18000.0	Tse
67	Spectrogram 1	1	492.01	492.2	4000.0	18000.0	18000.0	Sd-peep
68	Spectrogram 1	1	501.65	501.72	4000.0	18000.0	18000.0	Sd-peep
69	Spectrogram 1	1	546.17	546.24	4000.0	18000.0	18000.0	Tsik
70	Spectrogram 1	1	550.36	550.42	4000.0	18000.0	18000.0	Tse
71	Spectrogram 1	1	550.76	550.92	4000.0	18000.0	18000.0	Tse
72	Spectrogram 1	1	550.98	551.52	4000.0	18000.0	18000.0	Trill
73	Spectrogram 1	1	551.68	552.33	4000.0	18000.0	18000.0	Trill
74	Spectrogram 1	1	552.44	552.96	4000.0	18000.0	18000.0	Trill
75	Spectrogram 1	1	553.06	553.65	4000.0	18000.0	18000.0	Trill
76	Spectrogram 1	1	556.26	556.34	4000.0	18000.0	18000.0	Tse
77	Spectrogram 1	1	557.29	557.43	4000.0	18000.0	18000.0	Tse
78	Spectrogram 1	1	561.68	561.74	4000.0	18000.0	18000.0	Tsik
79	Spectrogram 1	1	562.23	562.3	4000.0	18000.0	18000.0	Tse
80	Spectrogram 1	1	565.57	565.64	4000.0	18000.0	18000.0	Tse
81	Spectrogram 1	1	566.16	566.34	4000.0	18000.0	18000.0	Tse
82	Spectrogram 1	1	580.12	580.17	4000.0	18000.0	18000.0	Tse
83	Spectrogram 1	1	584.48	584.54	4000.0	18000.0	18000.0	Tse
84	Spectrogram 1	1	713.79	713.91	4000.0	18000.0	18000.0	Trill
85	Spectrogram 1	1	730.05	730.57	4000.0	18000.0	18000.0	Trill
86	Spectrogram 1	1	828.22	828.92	4000.0	18000.0	18000.0	Trill
87	Spectrogram 1	1	829.06	829.55	4000.0	18000.0	18000.0	Trill
88	Spectrogram 1	1	829.7	830.15	4000.0	18000.0	18000.0	Trill
89	Spectrogram 1	1	906.82	907.9	4000.0	18000.0	18000.0	Twitter
90	Spectrogram 1	1	913.32	914.03	4000.0	18000.0	18000.0	Trill
91	Spectrogram 1	1	914.18	914.65	4000.0	18000.0	18000.0	Trill
92	Spectrogram 1	1	914.87	915.05	4000.0	18000.0	18000.0	Trill
93	Spectrogram 1	1	968.58	968.77	4000.0	18000.0	18000.0	Trill
94	Spectrogram 1	1	1491.3	1491.98	4000.0	18000.0	18000.0	Trill
95	Spectrogram 1	1	1593.59	1593.87	4000.0	18000.0	18000.0	Trill
96	Spectrogram 1	1	1597.6	1598.23	4000.0	18000.0	18000.0	Trill
97	Spectrogram 1	1	1670.71	1671.2	4000.0	18000.0	18000.0	Trill
98	Spectrogram 1	1	1778.71	1778.93	4000.0	18000.0	18000.0	Trill
99	Spectrogram 1	1	1781.23	1781.42	4000.0	18000.0	18000.0	Trill
100	Spectrogram 1	1	1924.48	1924.7	4000.0	18000.0	18000.0	Trill
101	Spectrogram 1	1	1932.39	1932.66	4000.0	18000.0	18000.0	Trill
102	Spectrogram 1	1	1961.55	1961.84	4000.0	18000.0	18000.0	Trill
103	Spectrogram 1	1	1970.61	1970.87	4000.0	18000.0	18000.0	Trill
104	Spectrogram 1	1	2010.36	2010.62	4000.0	18000.0	18000.0	Trill
105	Spectrogram 1	1	2050.79	2051.19	4000.0	18000.0	18000.0	Trill
106	Spectrogram 1	1	2056.27	2056.86	4000.0	18000.0	18000.0	Trill
107	Spectrogram 1	1	2080.2	2080.61	4000.0	18000.0	18000.0	Trill
108	Spectrogram 1	1	2096.82	2097.29	4000.0	18000.0	18000.0	Trill
109	Spectrogram 1	1	2101.28	2101.75	4000.0	18000.0	18000.0	Trill
110	Spectrogram 1	1	2106.24	2106.45	4000.0	18000.0	18000.0	Trill
111	Spectrogram 1	1	2107.76	2107.83	4000.0	18000.0	18000.0	Twitter
112	Spectrogram 1	1	2107.92	2107.95	4000.0	18000.0	18000.0	Twitter
113	Spectrogram 1	1	2111.95	2112.2	4000.0	18000.0	18000.0	Trill
114	Spectrogram 1	1	2295.51	2295.79	4000.0	18000.0	18000.0	Trill
115	Spectrogram 1	1	2297.8	2298.03	4000.0	18000.0	18000.0	Trill
116	Spectrogram 1	1	2320.81	2321.12	4000.0	18000.0	18000.0	Trill
117	Spectrogram 1	1	2389.11	2389.59	4000.0	18000.0	18000.0	Trill
118	Spectrogram 1	1	2395.36	2395.66	4000.0	18000.0	18000.0	Trill
119	Spectrogram 1	1	2447.86	2447.93	4000.0	18000.0	18000.0	Trill
120	Spectrogram 1	1	2876.09	2876.32	4000.0	18000.0	18000.0	Trill
121	Spectrogram 1	1	2877.0	2877.92	4000.0	18000.0	18000.0	Phee
122	Spectrogram 1	1	2878.21	2878.27	4000.0	18000.0	18000.0	Phee
123	Spectrogram 1	1	2878.6	2879.43	4000.0	18000.0	18000.0	Phee
124	Spectrogram 1	1	2880.11	2880.78	4000.0	18000.0	18000.0	Phee
125	Spectrogram 1	1	3075.47	3075.59	4000.0	18000.0	18000.0	Trill
126	Spectrogram 1	1	3313.77	3315.17	4000.0	18000.0	18000.0	Phee
127	Spectrogram 1	1	3443.72	3444.03	4000.0	18000.0	18000.0	Trill
128	Spectrogram 1	1	3593.68	3593.98	4000.0	18000.0	18000.0	Trill
129	Spectrogram 1	1	3663.59	3663.88	4000.0	18000.0	18000.0	Trill
130	Spectrogram 1	1	3671.41	3671.72	4000.0	18000.0	18000.0	Trill
131	Spectrogram 1	1	4037.53	4037.8	4000.0	18000.0	18000.0	Trill
132	Spectrogram 1	1	4096.28	4096.57	4000.0	18000.0	18000.0	Trill
133	Spectrogram 1	1	4141.26	4141.48	4000.0	18000.0	18000.0	Trill
134	Spectrogram 1	1	4160.43	4161.46	4000.0	18000.0	18000.0	Trillphee
135	Spectrogram 1	1	4161.93	4162.88	4000.0	18000.0	18000.0	Phee
136	Spectrogram 1	1	4282.24	4282.52	4000.0	18000.0	18000.0	Trill
137	Spectrogram 1	1	4536.08	4536.28	4000.0	18000.0	18000.0	Trill
138	Spectrogram 1	1	4633.23	4633.47	4000.0	18000.0	18000.0	Trill
139	Spectrogram 1	1	4720.22	4720.52	4000.0	18000.0	18000.0	Trill
140	Spectrogram 1	1	4858.55	4858.92	4000.0	18000.0	18000.0	Trill
